t_idx,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20,cost_21,cost_22,cost_23,cost_24,cost_25,cost_26,cost_27,cost_28,cost_29,cost_30,cost_31,cost_32,cost_33,cost_34,cost_35,cost_36,cost_37,cost_38,cost_39,cost_40,cost_41,cost_42,cost_43,cost_44,cost_45,cost_46,cost_47,cost_48,cost_49,cost_50,cost_51,cost_52,cost_53,cost_54,cost_55,cost_56,cost_57,cost_58,cost_59,cost_60,cost_61,cost_62,cost_63,cost_64,cost_65,cost_66,cost_67,cost_68,cost_69,cost_70,cost_71,cost_72,cost_73,cost_74,cost_75,cost_76,cost_77,cost_78,cost_79,cost_80,cost_81,cost_82,cost_83,cost_84,cost_85,cost_86,cost_87,cost_88,cost_89,cost_90,cost_91,cost_92,cost_93,cost_94,cost_95,cost_96,cost_97,cost_98,cost_99,cost_100,cost_101,cost_102,cost_103,cost_104,cost_105,cost_106,cost_107,cost_108,cost_109,cost_110,cost_111,cost_112,cost_113,cost_114,cost_115,cost_116,cost_117,cost_118,cost_119,cost_120,cost_121,cost_122,cost_123,cost_124,cost_125,cost_126,cost_127,cost_128,cost_129,cost_130,cost_131,cost_132,cost_133,cost_134,cost_135,cost_136,cost_137,cost_138,cost_139,cost_140,cost_141,cost_142,cost_143,cost_144,cost_145,cost_146,cost_147,cost_148,cost_149,cost_150,cost_151,cost_152,cost_153,cost_154,cost_155,cost_156,cost_157,cost_158,cost_159,cost_160,cost_161,cost_162,cost_163,cost_164,cost_165,cost_166,cost_167,cost_168,cost_169,cost_170,cost_171,cost_172,cost_173,cost_174,cost_175,cost_176,cost_177,cost_178,cost_179,cost_180,cost_181,cost_182,cost_183,cost_184,cost_185,cost_186,cost_187,cost_188,cost_189,cost_190,cost_191,cost_192,cost_193,cost_194,cost_195,cost_196,cost_197,cost_198,cost_199,cost_200,cost_201,cost_202,cost_203,cost_204,cost_205,cost_206,cost_207,cost_208,cost_209,cost_210,cost_211,cost_212,cost_213,cost_214,cost_215,cost_216,cost_217,cost_218,cost_219,cost_220,cost_221,cost_222,cost_223,cost_224
0,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
1,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
2,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
3,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
4,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
5,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
6,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
7,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
8,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
9,3.69122,3.55862,3.40932,3.24634,3.07303,2.89294,2.70976,2.52712,2.34858,2.17745,2.01674,1.86914,1.76708,1.74311,1.75683,3.51718,3.39691,3.26148,3.11381,2.95713,2.79486,2.63051,2.46756,2.30933,2.15892,2.01909,1.89228,1.78994,1.7604,1.77375,3.34328,3.23532,3.11373,2.98134,2.84126,2.69679,2.55127,2.40799,2.27008,2.1404,2.02148,1.91549,1.82419,1.78392,1.7952,3.16952,3.07384,2.96606,2.84892,2.72543,2.59873,2.47203,2.34843,2.23084,2.1219,2.0239,1.93876,1.86798,1.81788,1.82119,2.99591,2.91249,2.81849,2.71657,2.60963,2.5007,2.3928,2.28887,2.1916,2.10342,2.02636,1.96209,1.91185,1.8765,1.85857,2.82245,2.75126,2.67101,2.58429,2.49388,2.40268,2.31357,2.2293,2.15237,2.08496,2.02886,1.98549,1.95582,1.94046,1.93963,2.64914,2.59015,2.52363,2.45207,2.37816,2.30468,2.23435,2.16974,2.11314,2.06651,2.03141,2.00895,1.99989,2.00455,2.02291,2.47599,2.42917,2.37634,2.31992,2.26249,2.2067,2.15513,2.11017,2.07392,2.04809,2.03399,2.03249,2.04406,2.06876,2.10634,2.303,2.26832,2.22916,2.18784,2.14685,2.10874,2.07591,2.05061,2.0347,2.02969,2.03662,2.0561,2.08833,2.13311,2.18994,2.13017,2.10761,2.08208,2.05583,2.03127,2.01079,1.99671,1.99104,1.99549,2.01131,2.03929,2.07978,2.1327,2.1976,2.2737,1.97305,1.94704,1.9351,1.9239,1.91572,1.91287,1.9175,1.93148,1.95628,1.99295,2.04201,2.10354,2.17719,2.26223,2.35763,1.84196,1.80068,1.78824,1.79204,1.80022,1.81498,1.8383,1.87191,1.91708,1.97461,2.04477,2.12738,2.22178,2.327,2.44173,1.7315,1.67527,1.64543,1.66027,1.68478,1.7171,1.75911,1.81235,1.87789,1.9563,2.04759,2.15129,2.26649,2.39192,2.52601,1.63655,1.56601,1.51883,1.52857,1.56938,1.61925,1.67993,1.75278,1.8387,1.93801,2.05046,2.1753,2.31132,2.45698,2.61047,1.55228,1.46835,1.40816,1.39741,1.45403,1.52142,1.60074,1.69322,1.79952,1.91974,2.05338,2.19938,2.35627,2.52221,2.69512
