t_idx,obstacle,path,alignment,goal,center
0,0,0.0761497,0.57123,0.0962363,0.197058
1,0,0.0761497,0.57123,0.0962363,0.197058
2,0,0.0761497,0.57123,0.0962363,0.197058
3,0,0.0761497,0.57123,0.0962363,0.197058
4,0,0.0761497,0.57123,0.0962363,0.197058
5,0,0.0761497,0.57123,0.0962363,0.197058
6,0,0.0761497,0.57123,0.0962363,0.197058
7,0,0.0761497,0.57123,0.0962363,0.197058
8,0,0.0761497,0.57123,0.0962363,0.197058
9,0,0.0761497,0.57123,0.0962363,0.197058
10,0,0.0761497,0.57123,0.0962363,0.197058
11,0,0.0761497,0.57123,0.0962363,0.197058
12,0,0.0761497,0.57123,0.0962363,0.197058
13,0,0.0761497,0.57123,0.0962363,0.197058
14,0,0.0761497,0.57123,0.0962363,0.197058
15,0,0.0761497,0.57123,0.0962363,0.197058
16,0,0.0761497,0.57123,0.0962363,0.197058
17,0,0.0761497,0.57123,0.0962363,0.197058
18,0,0.0761497,0.57123,0.0962363,0.197058
19,0,0.0761497,0.57123,0.0962363,0.197058
20,0,0.0761485,0.571229,0.096237,0.197059
21,0,0.0761485,0.571229,0.096237,0.197059
22,0,0.0761485,0.571229,0.096237,0.197059
23,0,0.0761485,0.571229,0.096237,0.197059
24,0,0.0761485,0.571229,0.096237,0.197059
25,0,0.0761485,0.571229,0.096237,0.197059
26,0,0.0761485,0.571229,0.096237,0.197059
27,0,0.0761485,0.571229,0.096237,0.197059
28,0,0.0761485,0.571229,0.096237,0.197059
29,0,0.0761485,0.571229,0.096237,0.197059
30,0,0.0761485,0.571229,0.096237,0.197059
31,0,0.0761485,0.571229,0.096237,0.197059
32,0,0.0761485,0.571229,0.096237,0.197059
33,0,0.0761485,0.571229,0.096237,0.197059
34,0,0.0761485,0.571229,0.096237,0.197059
35,0,0.0761485,0.571229,0.096237,0.197059
36,0,0.0761485,0.571229,0.096237,0.197059
37,0,0.0761485,0.571229,0.096237,0.197059
38,0,0.0761485,0.571229,0.096237,0.197059
39,0,0.0761485,0.571229,0.096237,0.197059
40,0,0.0761485,0.571229,0.096237,0.197059
41,0,0.0761485,0.571229,0.096237,0.197059
42,0,0.0761485,0.571229,0.096237,0.197059
43,0,0.0761485,0.571229,0.096237,0.197059
44,0,0.0761485,0.571229,0.096237,0.197059
45,0,0.0761485,0.571229,0.096237,0.197059
46,0,0.0761485,0.571229,0.096237,0.197059
47,0,0.0761485,0.571229,0.096237,0.197059
48,0,0.0761485,0.571229,0.096237,0.197059
49,0,0.0761485,0.571229,0.096237,0.197059
50,0,0.0761485,0.571229,0.096237,0.197059
51,0,0.0761485,0.571229,0.096237,0.197059
52,0,0.0761485,0.571229,0.096237,0.197059
53,0,0.0761485,0.571229,0.096237,0.197059
