t_idx,best_total_cost
0,1.39741
1,1.39741
2,1.39741
3,1.39741
4,1.39741
5,1.39741
6,1.39741
7,1.39741
8,1.39741
9,1.39741
10,1.39741
11,1.39741
12,1.39741
13,1.39741
14,1.39741
15,1.39741
16,1.39741
17,1.39741
18,1.39741
19,1.39741
20,1.39741
21,1.39741
22,1.39741
23,1.39741
24,1.39741
25,1.39741
26,1.39741
27,1.39741
28,1.39741
29,1.39741
30,1.39741
31,1.39741
32,1.39741
33,1.39741
34,1.39741
35,1.39741
36,1.39741
37,1.39741
38,1.39741
39,1.39741
40,1.39741
41,1.39741
42,1.39741
43,1.39741
44,1.39741
45,1.39741
46,1.39741
47,1.39741
48,1.39741
49,1.39741
50,1.39741
51,1.39741
52,1.39741
53,1.39741
54,1.39741
55,1.39741
56,1.39741
57,1.39741
58,1.39741
59,1.39741
60,1.39741
61,1.39741
62,1.39741
63,0.258742
64,0.192761
65,0.192745
66,0.192731
67,0.192752
68,0.192752
69,0.192752
70,0.192752
71,0.342601
72,0.342601
73,0.193374
74,0.192754
75,0.192754
76,0.0343099
77,0.342377
78,0.342377
79,0.193441
80,0.0343181
81,0.0343181
82,0.192141
83,0.3426
84,0.3426
85,0.0257107
86,0.192082
87,0.192082
88,0.192751
89,0.0343102
90,0.0343102
91,0.0254336
92,0.0340748
93,0.0340748
94,0.192186
95,0.34257
96,0.34257
97,0.0345354
98,0.192144
99,0.192144
100,0.192761
101,0.342608
102,0.342608
103,0.193384
104,0.0343191
105,0.0343191
106,0.192143
107,0.192761
108,0.192761
109,0.0343427
110,0.0343427
111,0.342425
112,0.342425
113,0.0343429
114,0.0343429
115,0.191634
116,0.0343265
117,0.0343265
118,0.192152
119,0.19277
120,0.19277
121,0.0343073
122,0.192206
123,0.192206
124,0.0343506
125,0.192152
126,0.192152
127,0.19277
128,0.192771
129,0.192771
130,0.034327
131,0.192152
132,0.192152
133,0.19277
134,0.0343073
135,0.0343073
136,0.192159
137,0.0343129
138,0.0343129
139,0.192092
140,0
141,0
142,0.191545
143,0.0343225
144,0.0343225
145,0.0341066
146,0.19208
147,0.19208
148,0.0433823
149,0.1922
150,0.1922
151,0.034323
152,0.0341066
153,0.0341066
154,0.0341062
155,0.0341062
156,0.0341056
157,0.192086
158,0.0434082
159,0.141247
160,0.127057
161,0.255704
162,0.279797
163,0.257933
164,0.115528
165,0.150701
166,0.327625
167,0.266856
168,0.257834
169,0.291015
170,0.268033
171,0.300889
172,0.382443
173,0.129976
174,0.133851
175,0.0916961
176,0.0304536
177,0.076691
178,0.126453
179,0.16393
180,0.194679
181,0.136911
182,0.00172266
183,0.00224114
184,0.0623244
185,0.0785843
186,0.0317943
187,0.152486
188,0.0558744
189,0.124704
190,0.0760442
191,0.113659
192,0.00306012
193,0.0678882
194,0.160767
195,0.000666107
196,0.126937
197,0.142236
198,0.127273
199,0.184812
200,0.0475043
201,0.065565
202,0.208338
203,0.247967
204,0
205,0.0877176
206,0.143713
207,0.196242
208,0.290119
209,0.287097
210,0.239212
211,0.344746
212,0.29345
213,0.280704
214,0.250666
215,0.338083
216,0.158875
217,0.0949942
218,0.111255
219,0.0787508
220,0.197677
221,0.246106
222,0.203528
223,0.276002
224,0.234959
225,0.260388
226,0.111983
227,0.0696989
228,0.311255
229,0.257584
230,0.26125
231,0.316934
232,0.315358
233,0.395407
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0.0165152
245,0
246,0
247,0
248,0.0167599
249,0
250,0
251,0
252,0
253,0
254,0
255,0.0129159
256,0.00785855
257,0
258,0
259,0.0257333
260,0
261,0.0306045
262,0.0513082
263,0.0555435
264,0
265,0
266,0
267,0.000152266
268,0
269,0.0819066
270,0.0945406
271,0.043972
272,0.0688145
273,0.0721658
274,0.0641496
275,0.122844
276,0.0912953
277,0.126225
278,0.113476
279,0.0918023
280,0.106197
281,0.0678704
282,0.0463933
283,0.0748065
284,0.091898
285,0.0994362
286,0.134418
287,0.153821
288,0.142389
289,0.164251
290,0.156559
291,0.139527
292,0.215662
293,0.196692
294,0.18061
295,0.229747
296,0.244852
297,0.326458
298,0.309769
299,0.329643
300,0.350195
301,0.328807
302,0.343712
303,0.381517
304,0.38473
305,0.412989
306,0.408122
307,0.425236
308,0.443516
309,0.419747
310,0.43822
311,0.50368
312,0.483234
313,0.50849
314,0.444752
315,0.494344
316,0.426351
317,0.536889
318,0.436055
319,0.425073
320,0.420025
321,0.46768
322,0.481143
323,0.532031
324,0.49554
325,0.502377
326,0.533101
327,0.521623
328,0.56506
329,0.520676
330,0.532707
331,0.564044
332,0.546612
333,0.545578
334,0.564798
335,0.557755
336,0.556448
337,0.548881
338,0.533996
339,0.526317
340,0.541169
341,0.522826
342,0.539536
343,0.524831
344,0.514116
345,0.513186
346,0.511497
347,0.531534
348,0.532258
349,0.53467
350,0.550694
351,0.565615
352,0.547125
353,0.526592
354,0.5258
355,0.517368
356,0.527618
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0.513023
369,0.476681
370,0.499875
371,0.524074
372,0.468637
373,0.434267
374,0.424621
375,0.370925
376,0.33144
377,0.28942
378,0.266087
379,0.371461
380,0.276044
381,0.28244
382,0.241873
383,0.308142
384,0.350853
385,0.359877
386,0.399627
387,0.438651
388,0.482619
389,0.456133
390,0.335179
391,0.34971
392,0.360257
393,0.411155
394,0.430583
395,0.417698
396,0.410218
397,0.421957
398,0.433164
399,0
400,0
401,0.525994
402,0.419147
403,0.428143
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0.78042
426,0.800589
427,0.808993
428,0.811961
429,0.794346
430,0.78764
431,0.790297
432,0.766242
433,0.756144
434,0.745488
435,0.725018
436,0.712646
437,0.700761
438,0.693319
439,0.627614
440,0.61077
441,0.582332
442,0.509344
443,0.566921
444,0.53964
445,0.396112
446,0.503833
447,0.488073
448,0.458177
