t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
0,1756708194.883960,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
1,1756708194.950672,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
2,1756708195.017614,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
3,1756708195.084026,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
4,1756708195.150903,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
5,1756708195.217585,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
6,1756708195.283967,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
7,1756708195.350760,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
8,1756708195.417574,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
9,1756708195.483983,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
10,1756708195.550778,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
11,1756708195.617610,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
12,1756708195.684021,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
13,1756708195.750570,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
14,1756708195.817513,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
15,1756708195.883959,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
16,1756708195.950591,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
17,1756708196.017239,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
18,1756708196.083803,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
19,1756708196.150451,8.535188,1.264376,0.070542,0.000000,0.000000,"odom"
20,1756708196.217161,8.535182,1.264376,0.070540,0.000000,0.000000,"odom"
21,1756708196.283784,8.535182,1.264376,0.070540,0.000000,0.000000,"odom"
22,1756708196.350558,8.535182,1.264376,0.070540,0.000000,0.000000,"odom"
23,1756708196.417194,8.535182,1.264376,0.070540,0.000000,0.000000,"odom"
24,1756708196.483785,8.535182,1.264376,0.070540,0.000000,0.000000,"odom"
