t_idx,v,w
0,0.133333,-0.190476
1,0.133333,-0.190476
2,0.133333,-0.190476
3,0.133333,-0.190476
4,0.133333,-0.190476
5,0.133333,-0.190476
6,0.133333,-0.190476
7,0.133333,-0.190476
8,0.133333,-0.190476
9,0.133333,-0.190476
10,0.133333,-0.190476
11,0.133333,-0.190476
12,0.133333,-0.190476
13,0.133333,-0.190476
14,0.133333,-0.190476
15,0.133333,-0.190476
16,0.133333,-0.190476
17,0.133333,-0.190476
18,0.133333,-0.190476
19,0.133333,-0.190476
20,0.133333,-0.190476
21,0.133333,-0.190476
22,0.133333,-0.190476
23,0.133333,-0.190476
24,0.133333,-0.190476
25,0.133333,-0.190476
26,0.133333,-0.190476
27,0.133333,-0.190476
28,0.133333,-0.190476
29,0.133333,-0.190476
30,0.133333,-0.190476
31,0.133333,-0.190476
32,0.133333,-0.190476
33,0.133333,-0.190476
34,0.133333,-0.190476
35,0.133333,-0.190476
36,0.133333,-0.190476
37,0.133333,-0.190476
38,0.133333,-0.190476
39,0.133333,-0.190476
40,0.133333,-0.190476
41,0.133333,-0.190476
42,0.133333,-0.190476
43,0.133333,-0.190476
44,0.133333,-0.190476
45,0.133333,-0.190476
46,0.133333,-0.190476
47,0.133333,-0.190476
48,0.133333,-0.190476
49,0.133333,-0.190476
50,0.133333,-0.190476
51,0.133333,-0.190476
52,0.133333,-0.190476
53,0.133333,-0.190476
54,0.133333,-0.190476
55,0.133333,-0.190476
56,0.133333,-0.190476
57,0.133333,-0.190476
58,0.133333,-0.190476
59,0.133333,-0.190476
60,0.133333,-0.190476
61,0.133333,-0.190476
62,0.133333,-0.190476
63,0.133333,0.047619
64,0.133333,0.047619
65,0.133333,0.047619
66,0.133333,0.047619
67,0.133333,0.047619
68,0.133333,0.047619
69,0.133333,0.047619
70,0.133333,0.047619
71,0.133333,0.047619
72,0.133333,0.047619
73,0.133333,0.047619
74,0.133333,0.047619
75,0.133333,0.047619
76,0.133333,0.047619
77,0.133333,0.047619
78,0.133333,0.047619
79,0.133333,0.047619
80,0.133333,0.047619
81,0.133333,0.047619
82,0.133333,0.047619
83,0.133333,0.047619
84,0.133333,0.047619
85,0.133333,0.047619
86,0.133333,0.047619
87,0.133333,0.047619
88,0.133333,0.047619
89,0.133333,0.047619
90,0.133333,0.047619
91,0.133333,0.047619
92,0.133333,0.047619
93,0.133333,0.047619
94,0.133333,0.047619
95,0.133333,0.047619
96,0.133333,0.047619
97,0.133333,0.047619
98,0.133333,0.047619
99,0.133333,0.047619
100,0.133333,0.047619
101,0.133333,0.047619
102,0.133333,0.047619
103,0.133333,0.047619
104,0.133333,0.047619
105,0.133333,0.047619
106,0.133333,0.047619
107,0.133333,0.047619
108,0.133333,0.047619
109,0.133333,0.047619
110,0.133333,0.047619
111,0.133333,0.047619
112,0.133333,0.047619
113,0.133333,0.047619
114,0.133333,0.047619
115,0.132861,0.0476173
116,0.133333,0.047619
117,0.133333,0.047619
118,0.133333,0.047619
119,0.133333,0.047619
120,0.133333,0.047619
121,0.133333,0.047619
122,0.133333,0.047619
123,0.133333,0.047619
124,0.133333,0.047619
125,0.133333,0.047619
126,0.133333,0.047619
127,0.133333,0.047619
128,0.133333,0.047619
129,0.133333,0.047619
130,0.133333,0.047619
131,0.133333,0.047619
132,0.133333,0.047619
133,0.133333,0.047619
134,0.133333,0.047619
135,0.133333,0.047619
136,0.133333,0.047619
137,0.133333,0.047619
138,0.133333,0.047619
139,0.133333,0.047619
140,0.133333,0.047619
141,0.133333,0.047619
142,0.133333,0.047619
143,0.133333,0.047619
144,0.133333,0.047619
145,0.133333,0.047619
146,0.133333,0.047619
147,0.133333,0.047619
148,0.133333,0.047619
149,0.133333,0.047619
150,0.133333,0.047619
151,0.133333,0.047619
152,0.133333,0.047619
153,0.133333,0.047619
154,0.133333,0.047619
155,0.133333,0.047619
156,0.133333,0.047619
157,0.133333,0.047619
158,0.133333,0.047619
159,0.207734,0.0775229
160,0.204091,0.0755384
161,0.227925,0.0809564
162,0.241357,0.0882837
163,0.284876,0.0587978
164,0.322172,0.0523241
165,0.316549,0.0460384
166,0.325477,0.0649016
167,0.326421,0.0666035
168,0.327837,0.0822961
169,0.324129,0.0578784
170,0.335466,0.0749724
171,0.314619,0.0891385
172,0.32406,0.0627967
173,0.328309,0.0722395
174,0.321228,0.0711808
175,0.319812,0.0476244
176,0.318825,0.0467489
177,0.346032,0.0648927
178,0.378771,0.0628215
179,0.387905,0.0382099
180,0.390239,0.037146
181,0.404317,0.0488467
182,0.411769,0.0488379
183,0.400317,0.0488361
184,0.405287,0.0436031
185,0.403802,0.0254646
186,0.41569,0.0360962
187,0.415483,0.0202263
188,0.409038,0.0307083
189,0.412815,0.0233562
190,0.426033,0.0381957
191,0.434154,0.0329769
192,0.419132,0.0477952
193,0.433905,0.0296656
194,0.45331,0.0678495
195,0.417228,0.0467684
196,0.448868,0.0670139
197,0.426145,0.0214888
198,0.426643,0.0226917
199,0.429073,0.00246071
200,0.429709,0.0300296
201,0.430171,0.0331842
202,0.419424,-0.00486191
203,0.420368,0.0342128
204,0.448015,0.0162345
205,0.418755,0.0162274
206,0.398429,0.0162239
207,0.402651,0.0247789
208,0.399596,0.0193733
209,0.399596,0.0235653
210,0.402789,0.0193803
211,0.404789,0.0183394
212,0.40672,-0.0240413
213,0.415828,0.0129249
214,0.417536,-0.0240219
215,0.409038,-0.0428797
216,0.428155,-0.00903982
217,0.451917,0.00161158
218,0.44754,-0.0514209
219,0.448819,-0.0102439
220,0.424808,-0.0165361
221,0.417939,-0.032406
222,0.422437,-0.0261391
223,0.426935,-0.055602
224,0.423243,-0.0438977
225,0.421158,-0.048088
226,0.443524,-0.0418028
227,0.449048,-0.0428471
228,0.424119,-0.0196536
229,0.425561,-0.0630983
230,0.423201,-0.0608474
231,0.418909,-0.0672869
232,0.425673,-0.0282281
233,0.4069,-0.0821476
234,0.416162,-0.0165609
235,0.416883,-0.00800596
236,0.431046,-0.0186322
237,0.462146,-0.00591406
238,0.420617,-0.0175895
239,0.416591,-0.0154917
240,0.410926,-0.016545
241,0.44177,-0.027174
242,0.419758,-0.0175895
243,0.415355,-0.029269
244,0.419037,0.0467666
245,0.420453,-0.0357439
246,0.415175,-0.0134045
247,0.450687,-0.0313688
248,0.457408,-0.0950421
249,0.42624,-0.00938612
250,0.416591,-0.0463878
251,0.421493,-0.0104306
252,0.416591,-0.0156831
253,0.430908,-0.042009
254,0.426505,-0.0476102
255,0.453359,-0.0864859
256,0.452048,-0.0748048
257,0.423434,-0.0261356
258,0.422729,-0.0367707
259,0.429486,-0.114913
260,0.405373,-0.0133903
261,0.416575,-0.0545459
262,0.42741,-0.115943
263,0.427247,-0.123458
264,0.419896,-0.0547454
265,0.420241,-0.0175842
266,0.419244,-0.0238439
267,0.402763,-0.0186357
268,0.405336,-0.0250752
269,0.44754,-0.194258
270,0.400364,-0.0914888
271,0.400291,-0.105292
