t_idx,obstacle,path,alignment,goal,center
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,0
8,0,0,0,0,0
9,0,0,0,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0,0,0,0
15,0,0,0,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0,0,0,0
19,0,0,0,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0,0,0,0
47,0,0,0,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0,0,0,0
51,0,0,0,0,0
52,0,0,0,0,0
53,0,0,0,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0,0,0,0
59,0,0,0,0,0
60,0,0,0,0,0
61,0,0,0,0,0
62,0,0,0,0,0
63,0,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0,0,0,0
67,0,0,0,0,0
68,0,0,0,0,0
69,0,0,0,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0,0,0,0
75,0,0,0,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0,0,0,0
79,0,0,0,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,0,0,0
86,0,0,0,0,0
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,0,0,0
90,0,0,0,0,0
91,0,0,0,0,0
92,0,0,0,0,0
93,0,0.014861,0.00727852,0,0
94,0,0,0,0,0
95,0,0,0,0,0
96,0,0,0,0,0
97,0,0.0105,0,0,0
98,0,0,0,0,0
99,0,0.0147968,0.00725571,0,0
100,0,0,0,0,0
101,0,0,0,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0,0,0,0
105,0,0,0,0,0
106,0,0.0148002,0.00725634,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0.0120714,0,0,0
111,0,0.0147732,0.00717,0,0
112,0,0,0,0,0
113,0,0.0120676,0,0,0
114,0,0,0,0,0
115,0,0.0148003,0.00725616,0,0
116,0,0.0158836,0.0109974,0,0
117,0,0,0,0,0
118,0,0,0,0,0
119,0,0.0120713,0,0,0
120,0,0.0159345,0.011192,0,0
121,0,0.0121212,0,0,0
122,0,0,0,0,0
123,0,0.0148534,0.0072432,0,0
124,0,0.0120263,0,0,0
125,0,0,0,0,0
126,0,0,0,0,0
127,0,0.0148044,0.00725734,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0,0,0,0
131,0,0,0,0,0
132,0,0.0120626,0,0,0
133,0,0.0147824,0.00718698,0,0
134,0,0.0120626,0,0,0
135,0,0.0120626,0,0,0
136,0,0,0,0,0
137,0,0,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0.0120668,0,0,0
141,0,0,0,0,0
142,0,0.0120587,0,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,0,0.0120631,0,0,0
146,0,0.0120631,0,0,0
147,0,0,0,0,0
148,0,0.0120668,0,0,0
149,0,0.0121103,0,0,0
150,0,0,0,0,0
151,0,0.0120641,0,0,0
152,0,0,0,0,0
153,0,0.0266365,0.0472716,0,0
154,0,0,0,0,0
155,0,0.0120652,0,0,0
156,0,0,0,0,0
157,0,0,0,0,0
158,0,0,0,0,0
159,0,0,0,0,0
160,0,0.0120651,0,0,0
161,0,0.0121058,0,0,0
162,0,0.0121059,0,0,0
163,0,0.0121025,0,0,0
164,0,0.00944547,0,0,0
165,0,0.0368364,0.0276913,0,0
166,0,0.0807962,0.0341805,7.69828e-07,0.00013671
167,0,0.0297171,0.0218662,0,0
168,0,0.0130914,0.0319939,0,0
169,0,0.0727294,0.0354626,9.21398e-05,0.00072613
170,0,0.00982843,0.00534095,0,0
171,0,0.0213658,0.0305152,0,0
172,0,0.0121132,0.0143093,0,0
173,0,0.0150567,0.0126698,0,0
174,0,0.0406074,0.0611056,0.00162026,0.00266933
175,0,0.0611552,0.104866,0,0
176,0,0.0458002,0.126212,0,0
177,0,0.0335226,0.0901067,0.00609884,0.00993526
178,0,0.0494333,0.113004,0.0149695,0.0241319
179,0,0.0294727,0.113607,0,0
180,0,0.0477622,0.11348,0,0
181,0,0.040231,0.111888,0.0125701,0.0205747
182,0,0.0195293,0.131285,0,0
183,0,0.049963,0.132564,0.0216026,0.0354955
184,0,0.0330606,0.120943,0.0152717,0.0252626
185,0,0.0496745,0.124866,0.0203165,0.0335609
186,0,0.0520548,0.129287,0.0213288,0.0353165
187,0,0.0304189,0.118559,0.0139605,0.0233503
188,0,0.0324065,0.138589,0,0
189,0,0.0097433,0.123955,0.00538603,0.00919847
190,0,0.00878185,0.119299,0.00340019,0.00603695
191,0,0.00839988,0.140576,0.00234328,0.0045172
192,0,0.0238808,0.180052,0,0
193,0,0.0308846,0.149053,0.023323,0.0374001
194,0,0.02863,0.0974148,0.0246766,0.0407503
195,0,0.0556094,0.180891,0.0368606,0.0580279
196,0,0.0209057,0.178645,0,0
197,0,0.0336607,0.189016,0.0284966,0.0451198
198,0,0.035652,0.191498,0.0299543,0.0475506
199,0,0.0453547,0.187162,0.033736,0.0538248
200,0,0.0271943,0.204916,0.0232367,0.0375311
201,0,0.0378096,0.188429,0.0319765,0.051546
202,0,0.0246985,0.191618,0.0155006,0.0261297
203,0,0.0269733,0.191826,0.015405,0.0262829
204,0,0.0328104,0.199465,0.00943517,0.0172013
205,0,0.0512154,0.162551,0.0577588,0.0913028
206,0,0.0300056,0.0966876,0.0215999,0.0372557
207,0,0.0321956,0.171908,0.0197183,0.0336231
208,0,0.0436172,0.162788,0.0440784,0.0714596
209,0,0.0467395,0.151958,0.048467,0.0784616
210,0,0.0381034,0.155984,0.0362613,0.0574786
211,0,0.0451623,0.181086,0.0488929,0.0793422
212,0,0.0488781,0.152743,0.0560816,0.090771
213,0,0.051618,0.157971,0.0593025,0.0956177
214,0,0.0588302,0.168328,0.0727042,0.115388
215,0,0.040627,0.161745,0.0415557,0.0699406
216,0,0.0397067,0.146954,0.0393783,0.0632179
217,0,0.0403113,0.162505,0.0356392,0.057415
218,0,0.0405329,0.200114,0.0350812,0.0563564
219,0,0.0422068,0.172266,0.0403119,0.0674626
220,0,0.043298,0.156479,0.0381817,0.0616518
221,0,0,0,0.00558817,0.0136313
222,0.0909091,0,0,0.0632455,0.104412
223,0,0,0,0,0
224,0,0,0,0.00898679,0.019208
225,0,0,0,0.0633166,0.0643374
226,0,0,0,0.0107357,0.0219667
227,0,0,0,0.0127068,0.0252104
228,0,0,0,0.00974948,0.0205594
229,0,0,0,0.0378377,0.0614173
230,0,0,0,0.0407964,0.0698826
231,0,0,0,0.0432488,0.0750615
232,0,0,0,0.0247216,0.0420456
233,0,0,0,0.0221336,0.0382936
234,0,0,0,0.0847285,0.0928859
235,0,0,0,0.0418222,0.0735792
236,0,0,0,0.0790386,0.0827488
237,0,0,0,0.130468,0.163599
238,0,0,0,0.118247,0.144431
239,0,0,0,0.0457272,0.075795
240,0,0,0,0.144678,0.207099
241,0,0,0,0.118251,0.174078
242,0,0,0,0.129835,0.189371
243,0,0,0,0.111236,0.132744
244,0,0,0,0.12904,0.160726
245,0,0,0,0.129371,0.161147
246,0,0,0,0.0559424,0.0922401
247,0,0,0,0.0967811,0.140083
248,0,0,0,0.118755,0.13885
249,0,0,0,0.139761,0.197722
250,0,0,0,0.180711,0.187336
251,0,0,0,0.151195,0.187094
252,0,0,0,0.155167,0.218923
253,0,0,0,0.177561,0.221795
254,0,0,0,0.266547,0.27869
255,0,0,0,0.207905,0.235483
256,0,0,0,0.211027,0.26384
257,0,0,0,0.319491,0.323835
258,0,0.00510842,0.105467,0.311337,0.364696
259,0,0,0,0.382856,0.375262
260,0,0,0,0.42101,0.363322
261,0.5,0.00734215,0.116409,0.238439,0.318365
262,0.538462,0.00414235,0.0948061,0.280202,0.34727
263,0,0,0,0.487106,0.44116
264,0.0769231,0,0,0.431891,0.436537
265,0.142857,0,0,0.434096,0.435255
266,0,0,0,0.567924,0.536224
267,0,0,0,0.61981,0.560513
268,0,0,0,0.565662,0.51865
269,0,0,0,0.621296,0.495708
270,0.0666667,0,0,0.583755,0.455337
271,0.0666667,0,0,0.566958,0.442168
272,0.0666667,0,0,0.557812,0.437487
