t_idx,best_total_cost
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0.044279
94,0
95,0
96,0
97,0.021
98,0
99,0.044105
100,0
101,0
102,0
103,0
104,0
105,0
106,0.0441131
107,0
108,0
109,0
110,0.0241428
111,0.0438863
112,0
113,0.0241351
114,0
115,0.0441128
116,0.053762
117,0
118,0
119,0.0241425
120,0.054253
121,0.0242424
122,0
123,0.0441932
124,0.0240526
125,0
126,0
127,0.0441236
128,0
129,0
130,0
131,0
132,0.0241252
133,0.0439388
134,0.0241251
135,0.0241251
136,0
137,0
138,0
139,0
140,0.0241336
141,0
142,0.0241173
143,0
144,0
145,0.0241262
146,0.0241262
147,0
148,0.0241336
149,0.0242205
150,0
151,0.0241282
152,0
153,0.147816
154,0
155,0.0241304
156,0
157,0
158,0
159,0
160,0.0241302
161,0.0242117
162,0.0242118
163,0.024205
164,0.0188909
165,0.129055
166,0.230001
167,0.103167
168,0.0901705
169,0.21667
170,0.0303388
171,0.103762
172,0.052845
173,0.0554531
174,0.204927
175,0.332042
176,0.344025
177,0.25287
178,0.338561
179,0.286159
180,0.322485
181,0.315839
182,0.301628
183,0.385038
184,0.322193
185,0.367938
186,0.382509
187,0.311014
188,0.34199
189,0.272501
190,0.259465
191,0.300352
192,0.407865
193,0.381128
194,0.274989
195,0.506212
196,0.399102
197,0.471119
198,0.481427
199,0.495679
200,0.485489
201,0.481709
202,0.447204
203,0.45219
204,0.473874
205,0.479704
206,0.273986
207,0.426877
208,0.453249
209,0.441821
210,0.420983
211,0.49738
212,0.454641
213,0.4734
214,0.520149
215,0.443767
216,0.40923
217,0.438201
218,0.513297
219,0.466667
220,0.434496
221,0.00672683
222,0.085953
223,0
224,0.00986817
225,0.0446789
226,0.0114458
227,0.013271
228,0.0106081
229,0.0347393
230,0.0387377
231,0.0414086
232,0.0233685
233,0.0211495
234,0.062165
235,0.0403905
236,0.0566256
237,0.102924
238,0.0919371
239,0.0425328
240,0.123122
241,0.102315
242,0.111722
243,0.0853931
244,0.101418
245,0.101681
246,0.0518639
247,0.0829024
248,0.0901621
249,0.118119
250,0.128816
251,0.118401
252,0.130931
253,0.139775
254,0.190833
255,0.155186
256,0.166203
257,0.225164
258,0.457762
259,0.265341
260,0.274516
261,0.592384
262,0.579051
263,0.324893
264,0.327027
265,0.34713
266,0.386452
267,0.413113
268,0.379509
269,0.390952
270,0.383682
271,0.373194
272,0.368355
273,0.363228
274,0.372368
275,0.37202
276,0.393616
277,0.388869
278,0.393892
279,0.373719
280,0.425858
281,0.434809
282,0.450525
283,0.447
284,0.443317
285,0.439101
286,0.436045
287,0.514489
288,0.430134
289,0.426639
290,0.425235
291,0.425237
292,0.426251
293,0.428142
294,0.419658
295,0.417296
296,0.415447
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0.408924
305,0.434762
306,0.434096
307,0.396552
308,0.387541
309,0.308513
310,0.298184
311,0.260779
312,0.333829
313,0.343647
314,0.268743
315,0.372177
316,0.340326
317,0.379518
318,0.402193
319,0.441046
320,0.395983
321,0.426605
322,0.411153
323,0.451884
324,0.439268
325,0
326,0.508482
327,0.497726
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0.776773
344,0.779289
345,0.757091
346,0.763765
347,0.735432
348,0.74042
349,0.71986
350,0.713096
351,0.692532
352,0.612183
353,0.590856
354,0.564873
355,0.561374
356,0.556298
357,0.526379
358,0.486705
359,0.491954
360,0.496027
361,0.503819
362,0.49649
363,0.500849
364,0.532698
365,0.488475
366,0.494586
367,0.479907
368,0.487286
369,0.36655
370,0.414446
371,0.411679
372,0.422096
373,0.353398
374,0.362291
375,0.391618
376,0.339067
377,0.366613
378,0.412112
379,0.275699
380,0.372244
381,0.340139
382,0.337639
383,0.335035
384,0.343931
385,0.38332
386,0.364994
387,0.113316
388,0.17807
389,0.561941
390,0.418158
391,0.582292
392,0.641655
393,0.626494
394,0.62372
395,0.64561
396,0.620979
397,0.615347
398,0.632456
399,0.648536
400,0.646129
401,0.640221
402,0.645386
403,0.640642
404,0.641538
405,0.628366
406,0.616066
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0.339137
415,0.434268
416,0.464698
417,0
418,0.414173
419,0.0572796
420,0.420574
421,0.420574
