t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
0,1756708266.058366,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
1,1756708266.158390,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
2,1756708266.259025,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
3,1756708266.358551,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
4,1756708266.458473,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
5,1756708266.559049,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
6,1756708266.658487,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
7,1756708266.758685,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
8,1756708266.858373,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
9,1756708266.958422,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
10,1756708267.058401,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
11,1756708267.158480,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
12,1756708267.258614,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
13,1756708267.359400,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
14,1756708267.458355,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
15,1756708267.558395,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
16,1756708267.658336,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
17,1756708267.758346,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
18,1756708267.858688,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
19,1756708267.958437,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
20,1756708268.058392,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
21,1756708268.158536,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
22,1756708268.258659,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
23,1756708268.358643,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
24,1756708268.458711,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
25,1756708268.558617,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
26,1756708268.658697,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
27,1756708268.758717,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
28,1756708268.858509,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
29,1756708268.958427,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
30,1756708269.058430,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
31,1756708269.158353,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
32,1756708269.258396,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
33,1756708269.358401,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
34,1756708269.458365,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
35,1756708269.558398,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
36,1756708269.658315,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
37,1756708269.758367,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
38,1756708269.858302,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
39,1756708269.958367,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
40,1756708270.058426,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
41,1756708270.158646,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
42,1756708270.258782,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
43,1756708270.358401,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
44,1756708270.458741,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
45,1756708270.558394,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
46,1756708270.658363,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
47,1756708270.758368,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
48,1756708270.858385,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
49,1756708270.958405,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
50,1756708271.058325,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
51,1756708271.158452,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
52,1756708271.258523,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
53,1756708271.358334,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
54,1756708271.458411,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
55,1756708271.558358,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
56,1756708271.658644,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
57,1756708271.758721,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
58,1756708271.858805,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
59,1756708271.958798,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
60,1756708272.058849,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
61,1756708272.158472,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
62,1756708272.258411,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
63,1756708272.358752,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
64,1756708272.458860,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
65,1756708272.558685,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
66,1756708272.658685,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
67,1756708272.758405,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
68,1756708272.858410,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
69,1756708272.958386,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
70,1756708273.058399,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
71,1756708273.158674,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
72,1756708273.258518,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
73,1756708273.358728,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
74,1756708273.458691,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
75,1756708273.558434,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
76,1756708273.658320,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
77,1756708273.758402,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
78,1756708273.858312,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
79,1756708273.958696,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
80,1756708274.058572,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
81,1756708274.158648,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
82,1756708274.258404,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
83,1756708274.358557,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
84,1756708274.458472,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
85,1756708274.558487,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
86,1756708274.658424,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
87,1756708274.758541,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
88,1756708274.858566,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
89,1756708274.958405,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
90,1756708275.058312,-0.000006,0.000000,-0.000002,0.000000,0.000000,"odom"
91,1756708275.158291,-0.003653,-0.000645,-0.000002,0.000000,0.000000,"odom"
92,1756708275.258276,-0.003654,-0.000645,-0.000002,0.000000,0.000000,"odom"
93,1756708275.358259,-0.002127,-0.009329,-0.000004,-0.000472,-0.000002,"odom"
94,1756708275.458113,-0.003652,-0.000655,-0.000004,-0.000000,0.000000,"odom"
95,1756708275.558170,-0.003652,-0.000655,-0.000004,0.000000,0.000000,"odom"
96,1756708275.658201,-0.003654,-0.000645,-0.000004,0.000000,0.000000,"odom"
97,1756708275.758332,0.008819,-0.007394,-0.000004,0.000000,0.000000,"odom"
98,1756708275.858295,-0.003630,-0.000658,-0.000004,0.000000,0.000000,"odom"
99,1756708275.958281,-0.002128,-0.009325,-0.000002,0.000000,0.000000,"odom"
100,1756708276.058390,-0.003651,-0.000662,-0.000002,0.000000,0.000000,"odom"
101,1756708276.158186,-0.003654,-0.000645,-0.000002,-0.000000,0.000000,"odom"
102,1756708276.258155,-0.003654,-0.000645,-0.000002,0.000000,0.000000,"odom"
