t_idx,obstacle,path,alignment,goal,center
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0.0203148,0.0173077,0,0
7,0,0.0203148,0.0173077,0,0
8,0,0.0203186,0.017308,0,0
9,0,0.0203186,0.017308,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,0,0,0,0
14,0,0.0161606,0.0044169,0,0
15,0,0.0161606,0.0044169,0,0
16,0,0,0,0,0
17,0,0,0,0,0
18,0,0.0203085,0.0172844,0,0
19,0,0.0204234,0.0173178,0,0
20,0,0,0,0,0
21,0,0,0,0,0
22,0,0,0,0,0
23,0,0,0,0,0
24,0,0,0,0,0
25,0,0,0,0,0
26,0,0,0,0,0
27,0,0,0,0,0
28,0,0,0,0,0
29,0,0,0,0,0
30,0,0,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0.0203088,0.0172842,0,0
35,0,0.0203088,0.0172842,0,0
36,0,0,0,0,0
37,0,0,0,0,0
38,0,0,0,0,0
39,0,0,0,0,0
40,0,0.018219,0.0123498,0,0
41,0,0.018219,0.0123498,0,0
42,0,0.0202723,0.0171997,0,0
43,0,0.0202723,0.0171997,0,0
44,0,0,0,0,0
45,0,0,0,0,0
46,0,0.018215,0.0123494,0,0
47,0,0.018215,0.0123494,0,0
48,0,0,0,0,0
49,0,0,0,0,0
50,0,0.0203088,0.017284,0,0
51,0,0.0203088,0.017284,0,0
52,0,0.0231061,0.0240488,0,0
53,0,0.0231061,0.0240488,0,0
54,0,0,0,0,0
55,0,0,0,0,0
56,0,0,0,0,0
57,0,0,0,0,0
58,0,0.0182189,0.0123498,0,0
59,0,0.0182189,0.0123498,0,0
60,0,0.0231825,0.0242618,0,0
61,0,0.0231825,0.0242618,0,0
62,0,0.0182511,0.0124837,0,0
63,0,0.0182511,0.0124837,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,0,0.0203039,0.0172726,0,0
67,0,0.0203039,0.0172726,0,0
68,0,0.0181881,0.01224,0,0
69,0,0.0181881,0.01224,0,0
70,0,0,0,0,0
71,0,0,0,0,0
72,0,0,0,0,0
73,0,0,0,0,0
74,0,0.0203137,0.0172846,0,0
75,0,0.0203137,0.0172846,0,0
76,0,0,0,0,0
77,0,0,0,0,0
78,0,0.0182143,0.0123494,0,0
79,0,0.0182143,0.0123494,0,0
80,0,0,0,0,0
81,0,0,0,0,0
82,0,0,0,0,0
83,0,0,0,0,0
84,0,0.0182115,0.0123374,0,0
85,0,0.0182115,0.0123374,0,0
86,0,0.0202839,0.0172157,0,0
87,0,0.0202839,0.0172157,0,0
88,0,0.0202839,0.0172157,0,0
89,0,0.0202839,0.0172157,0,0
90,0,0.0182115,0.0123374,0,0
91,0,0.0182115,0.0123374,0,0
92,0,0,0,0,0
93,0,0,0,0,0
94,0,0.0182102,0.0123496,0,0
95,0,0.0182102,0.0123496,0,0
96,0,0,0,0,0
97,0,0,0,0,0
98,0,0,0,0,0
99,0,0,0,0,0
100,0,0.0182126,0.0123594,0,0
101,0,0.0182126,0.0123594,0,0
102,0,0,0,0,0
103,0,0,0,0,0
104,0,0.0182073,0.0123375,0,0
105,0,0.0182073,0.0123375,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,0,0,0,0,0
111,0,0,0,0,0
112,0,0.0182102,0.0123494,0,0
113,0,0.0182102,0.0123494,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,0,0,0,0,0
117,0,0,0,0,0
118,0,0.0182126,0.0123594,0,0
119,0,0.0182126,0.0123594,0,0
120,0,0,0,0,0
121,0,0,0,0,0
122,0,0.0182099,0.0123594,0,0
123,0,0.0182099,0.0123594,0,0
124,0,0,0,0,0
125,0,0,0,0,0
126,0,0.0390979,0.0587521,0,0
127,0,0.0390979,0.0587521,0,0
128,0,0,0,0,0
129,0,0,0,0,0
130,0,0.0182126,0.0123499,0,0
131,0,0.0182126,0.0123499,0,0
132,0,0.0182388,0.012459,0,0
133,0,0.0182388,0.012459,0,0
134,0,0,0,0,0
135,0,0,0,0,0
136,0,0.014345,0,0,0
137,0,0.014345,0,0,0
138,0,0,0,0,0
139,0,0,0,0,0
140,0,0.0182125,0.0123497,0,0
141,0,0.0182125,0.0123497,0,0
142,0,0.0182388,0.0124591,0,0
143,0,0.0182388,0.0124591,0,0
144,0,0.0182388,0.0124593,0,0
145,0,0.0182388,0.0124593,0,0
146,0,0.0183005,0.0124904,0,0
147,0,0.0182353,0.0124592,0,0
148,0,0,0,0,0
149,0,0,0,0,0
150,0,0.0143391,0,0,0
151,0,0.0319768,0.0243273,0,0
152,0,0.0243627,0.0188907,0,0
153,0,0.0243725,0.0285808,0,0
154,0,0.0231478,0.0119741,0,0
155,0,0.0168593,0.0106116,0,0
156,0,0.0361502,0.0285724,0,0
157,0,0.0378832,0.0291258,0,0
158,0,0.0482569,0.0462687,0.0032457,0.00602328
159,0,0.0341818,0.0318439,0,0
160,0,0.0271717,0.0185762,0,0
161,0,0.0530854,0.0464354,0,0
162,0,0.00701441,0.0109608,0,0
163,0,0.0461214,0.0395573,0,0
164,0,0.0128422,0.0135075,0,0
165,0,0.0205451,0.0192737,0,0
166,0,0.00527817,0.014001,0,0
167,0,0.0306572,0.0358902,0,0
168,0,0.0535216,0.0569312,0,0
169,0,0.0468582,0.0478219,0,0
170,0,0.00739518,0.0500018,0,0
171,0,0.000195638,0.0362756,0,0
172,0,0.0485469,0.112032,0,0
173,0,0.0485595,0.110709,0,0
174,0,0.0348117,0.0279693,0.00656595,0.0127167
175,0,0.0122264,0.000345845,0,0
176,0,0.00238734,0,0,0
177,0,0.00238292,0,0,0
178,0,0.0269354,0.0314053,0,0
179,0,0,0,0,0
180,0,0.0363783,0.0408794,0,0
181,0,0.0396242,0.019665,0.00614231,0.0124712
182,0,0.0401885,0.0144414,0.0111914,0.022478
183,0,0.0428198,0.015662,0.0121376,0.0241868
184,0,0.042928,0.0163865,0.0114962,0.0229773
185,0,0,0.00419992,0,0
186,0,0.0108114,0.0204994,0,0
187,0,0.0466246,0.0151019,0.0191087,0.0382499
188,0,0.000511454,0,0,0
189,0,0,0,0,0
190,0,0.0104012,0,0.00286092,0.00611459
191,0,0.00492558,0,0,0
192,0,0.0335028,0.0102131,0.0117658,0.0244294
193,0,0,0,0,0
194,0,0.0359447,0.0440489,0,0
195,0,0.0202514,0.0026268,0.00747049,0.0152831
196,0,0.00655169,0.0154115,0,0
197,0,0.0173395,0.0268492,0,0
198,0,0.00195479,0.00260791,0,0
199,0,0.0282253,0.00536045,0.0133787,0.0269972
200,0,0.0020891,0.00542143,0,0
201,0,0,0,0,0
202,0,0.0253696,0.00402003,0.0153836,0.0313031
203,0,0.0373402,0.0129411,0.0214708,0.047185
204,0,0.00706954,0,0.00568127,0.0131727
205,0,0.0331248,0.00613768,0.0236594,0.0477239
206,0,0.00845833,0,0.00848567,0.0180179
207,0,0.0105246,0,0.0104136,0.0217756
208,0,0.011231,0.0179576,0,0
209,0,0.018704,0.0322223,0,0
210,0,0.00712178,0,0.00934573,0.0202558
211,0,0.0280668,0.00346035,0.0232712,0.0473986
212,0,0.0353615,0.00665112,0.0244578,0.0492311
213,0,0.0264483,0.00273142,0.0204276,0.041173
214,0,0.0155858,0.000155674,0.0170623,0.0346851
215,0,0.0117683,0,0.0133588,0.0288626
216,0,0.0122532,0,0.0122125,0.0251413
217,0,0.0167296,0,0.0187813,0.0379036
218,0,0.0113098,0.00989274,0.004246,0.0094873
219,0,0.0112524,0.00599165,0.00616241,0.0132595
220,0,0.0133635,0,0.0132459,0.0273639
221,0,0.012419,0.0162027,0.00525557,0.0115868
222,0,0.0128331,0.00453735,0.0109032,0.0227062
223,0,0.0148376,0,0.0156373,0.0321812
224,0,0.014715,0.0204302,0,0
225,0,0.0325881,0.00289319,0.0340163,0.0649412
226,0,0.0137833,0.00587568,0.0127328,0.0259725
227,0,0.0148759,0,0.0187268,0.0384284
228,0,0.0146025,0.00698531,0.0134103,0.0277425
229,0,0.0147803,0.0113666,0.0115531,0.0239498
230,0,0.0151927,0.00464503,0.0175201,0.0376929
231,0,0.0195777,0.00013627,0.0246158,0.0485344
232,0,0.0172152,0.000288778,0.0268869,0.0574972
233,0,0.0246494,0,0.0294092,0.0570313
234,0,0.0188934,0.0274615,0.00643838,0.0151936
235,0,0.0180542,0.021613,0.00878496,0.019946
236,0,0.0174162,0.010463,0.0157174,0.0325508
237,0,0.0177606,0.018473,0.0106446,0.0229369
238,0,0.03146,0.00183901,0.0393438,0.0729347
239,0,0.0197006,0.0285024,0.00815681,0.0178323
240,0,0.0356029,0.00253069,0.0466461,0.0858247
241,0,0.0247928,4.05565e-05,0.0309896,0.0563358
242,0,0.0374859,0.00157121,0.0497482,0.09092
243,0,0.0204054,0.00658585,0.0239639,0.051249
244,0,0.0210199,0.0206704,0.016368,0.0343852
245,0,0.0212325,0.0154776,0.0203995,0.0418105
