t_idx,sample_idx,v,w
0,0,0,-0.25
0,1,0,-0.214286
0,2,0,-0.178571
0,3,0,-0.142857
0,4,0,-0.107143
0,5,0,-0.0714286
0,6,0,-0.0357143
0,7,0,0
0,8,0,0.0357143
0,9,0,0.0714286
0,10,0,0.107143
0,11,0,0.142857
0,12,0,0.178571
0,13,0,0.214286
0,14,0,0.25
0,15,0.00714286,-0.25
0,16,0.00714286,-0.214286
0,17,0.00714286,-0.178571
0,18,0.00714286,-0.142857
0,19,0.00714286,-0.107143
0,20,0.00714286,-0.0714286
0,21,0.00714286,-0.0357143
0,22,0.00714286,0
0,23,0.00714286,0.0357143
0,24,0.00714286,0.0714286
0,25,0.00714286,0.107143
0,26,0.00714286,0.142857
0,27,0.00714286,0.178571
0,28,0.00714286,0.214286
0,29,0.00714286,0.25
0,30,0.0142857,-0.25
0,31,0.0142857,-0.214286
0,32,0.0142857,-0.178571
0,33,0.0142857,-0.142857
0,34,0.0142857,-0.107143
0,35,0.0142857,-0.0714286
0,36,0.0142857,-0.0357143
0,37,0.0142857,0
0,38,0.0142857,0.0357143
0,39,0.0142857,0.0714286
0,40,0.0142857,0.107143
0,41,0.0142857,0.142857
0,42,0.0142857,0.178571
0,43,0.0142857,0.214286
0,44,0.0142857,0.25
0,45,0.0214286,-0.25
0,46,0.0214286,-0.214286
0,47,0.0214286,-0.178571
0,48,0.0214286,-0.142857
0,49,0.0214286,-0.107143
0,50,0.0214286,-0.0714286
0,51,0.0214286,-0.0357143
0,52,0.0214286,0
0,53,0.0214286,0.0357143
0,54,0.0214286,0.0714286
0,55,0.0214286,0.107143
0,56,0.0214286,0.142857
0,57,0.0214286,0.178571
0,58,0.0214286,0.214286
0,59,0.0214286,0.25
0,60,0.0285714,-0.25
0,61,0.0285714,-0.214286
0,62,0.0285714,-0.178571
0,63,0.0285714,-0.142857
0,64,0.0285714,-0.107143
0,65,0.0285714,-0.0714286
0,66,0.0285714,-0.0357143
0,67,0.0285714,0
0,68,0.0285714,0.0357143
0,69,0.0285714,0.0714286
0,70,0.0285714,0.107143
0,71,0.0285714,0.142857
0,72,0.0285714,0.178571
0,73,0.0285714,0.214286
0,74,0.0285714,0.25
0,75,0.0357143,-0.25
0,76,0.0357143,-0.214286
0,77,0.0357143,-0.178571
0,78,0.0357143,-0.142857
0,79,0.0357143,-0.107143
0,80,0.0357143,-0.0714286
0,81,0.0357143,-0.0357143
0,82,0.0357143,0
0,83,0.0357143,0.0357143
0,84,0.0357143,0.0714286
0,85,0.0357143,0.107143
0,86,0.0357143,0.142857
0,87,0.0357143,0.178571
0,88,0.0357143,0.214286
0,89,0.0357143,0.25
0,90,0.0428571,-0.25
0,91,0.0428571,-0.214286
0,92,0.0428571,-0.178571
0,93,0.0428571,-0.142857
0,94,0.0428571,-0.107143
0,95,0.0428571,-0.0714286
0,96,0.0428571,-0.0357143
0,97,0.0428571,0
0,98,0.0428571,0.0357143
0,99,0.0428571,0.0714286
0,100,0.0428571,0.107143
0,101,0.0428571,0.142857
0,102,0.0428571,0.178571
0,103,0.0428571,0.214286
0,104,0.0428571,0.25
0,105,0.05,-0.25
0,106,0.05,-0.214286
0,107,0.05,-0.178571
0,108,0.05,-0.142857
0,109,0.05,-0.107143
0,110,0.05,-0.0714286
0,111,0.05,-0.0357143
0,112,0.05,0
0,113,0.05,0.0357143
0,114,0.05,0.0714286
0,115,0.05,0.107143
0,116,0.05,0.142857
0,117,0.05,0.178571
0,118,0.05,0.214286
0,119,0.05,0.25
0,120,0.0571429,-0.25
0,121,0.0571429,-0.214286
0,122,0.0571429,-0.178571
0,123,0.0571429,-0.142857
0,124,0.0571429,-0.107143
