t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
0,1756707929.460620,-0.000017,0.000000,-0.000002,0.000000,0.000000,"odom"
1,1756707929.493962,-0.000017,0.000000,-0.000002,0.000000,0.000000,"odom"
2,1756707929.560618,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
3,1756707929.593964,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
4,1756707929.660634,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
5,1756707929.694033,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
6,1756707929.760666,-0.000660,-0.009071,-0.000002,0.000000,0.000000,"odom"
7,1756707929.794034,-0.000660,-0.009071,-0.000002,0.000000,0.000000,"odom"
8,1756707929.860624,-0.000666,-0.009071,-0.000004,0.000000,0.000000,"odom"
9,1756707929.894008,-0.000666,-0.009071,-0.000004,0.000000,0.000000,"odom"
10,1756707929.960672,-0.002191,-0.000397,-0.000004,0.000000,0.000000,"odom"
11,1756707929.993999,-0.002191,-0.000397,-0.000004,0.000000,0.000000,"odom"
12,1756707930.060631,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
13,1756707930.093961,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
14,1756707930.160614,0.010281,-0.007136,-0.000004,0.000000,0.000000,"odom"
15,1756707930.193975,0.010281,-0.007136,-0.000004,0.000000,0.000000,"odom"
16,1756707930.260626,-0.002168,-0.000400,-0.000004,0.000000,0.000000,"odom"
17,1756707930.293975,-0.002168,-0.000400,-0.000004,0.000000,0.000000,"odom"
18,1756707930.360618,-0.000660,-0.009067,-0.000004,0.000000,0.000000,"odom"
19,1756707930.394354,-0.000666,-0.009067,-0.000002,-0.000472,0.000002,"odom"
20,1756707930.460613,-0.002190,-0.000404,-0.000002,0.000000,0.000000,"odom"
21,1756707930.495149,-0.002190,-0.000404,-0.000002,0.000000,0.000000,"odom"
22,1756707930.560617,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
23,1756707930.594097,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
24,1756707930.660620,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
25,1756707930.693981,-0.002192,-0.000387,-0.000002,0.000000,0.000000,"odom"
26,1756707930.760635,-0.002198,-0.000387,-0.000004,0.000000,0.000000,"odom"
27,1756707930.794043,-0.002198,-0.000387,-0.000004,0.000000,0.000000,"odom"
28,1756707930.860614,-0.002193,-0.000387,-0.000004,0.000000,0.000000,"odom"
29,1756707930.893976,-0.002193,-0.000387,-0.000004,0.000000,0.000000,"odom"
30,1756707930.960642,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
31,1756707930.993972,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
32,1756707931.060709,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
33,1756707931.093993,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
34,1756707931.160688,-0.000660,-0.009067,-0.000004,0.000000,0.000000,"odom"
35,1756707931.194006,-0.000660,-0.009067,-0.000004,0.000000,0.000000,"odom"
36,1756707931.260634,-0.002190,-0.000404,-0.000004,0.000000,0.000000,"odom"
37,1756707931.294291,-0.002190,-0.000404,-0.000004,0.000000,0.000000,"odom"
38,1756707931.360800,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
39,1756707931.394089,-0.002192,-0.000387,-0.000004,0.000000,0.000000,"odom"
40,1756707931.460624,-0.003725,0.008293,-0.000004,0.000000,0.000000,"odom"
41,1756707931.493991,-0.003725,0.008293,-0.000004,0.000000,0.000000,"odom"
