t_idx,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20,cost_21,cost_22,cost_23,cost_24,cost_25,cost_26,cost_27,cost_28,cost_29,cost_30,cost_31,cost_32,cost_33,cost_34,cost_35,cost_36,cost_37,cost_38,cost_39,cost_40,cost_41,cost_42,cost_43,cost_44,cost_45,cost_46,cost_47,cost_48,cost_49,cost_50,cost_51,cost_52,cost_53,cost_54,cost_55,cost_56,cost_57,cost_58,cost_59,cost_60,cost_61,cost_62,cost_63,cost_64,cost_65,cost_66,cost_67,cost_68,cost_69,cost_70,cost_71,cost_72,cost_73,cost_74,cost_75,cost_76,cost_77,cost_78,cost_79,cost_80,cost_81,cost_82,cost_83,cost_84,cost_85,cost_86,cost_87,cost_88,cost_89,cost_90,cost_91,cost_92,cost_93,cost_94,cost_95,cost_96,cost_97,cost_98,cost_99,cost_100,cost_101,cost_102,cost_103,cost_104,cost_105,cost_106,cost_107,cost_108,cost_109,cost_110,cost_111,cost_112,cost_113,cost_114,cost_115,cost_116,cost_117,cost_118,cost_119,cost_120,cost_121,cost_122,cost_123,cost_124,cost_125,cost_126,cost_127,cost_128,cost_129,cost_130,cost_131,cost_132,cost_133,cost_134,cost_135,cost_136,cost_137,cost_138,cost_139,cost_140,cost_141,cost_142,cost_143,cost_144,cost_145,cost_146,cost_147,cost_148,cost_149,cost_150,cost_151,cost_152,cost_153,cost_154,cost_155,cost_156,cost_157,cost_158,cost_159,cost_160,cost_161,cost_162,cost_163,cost_164,cost_165,cost_166,cost_167,cost_168,cost_169,cost_170,cost_171,cost_172,cost_173,cost_174,cost_175,cost_176,cost_177,cost_178,cost_179,cost_180,cost_181,cost_182,cost_183,cost_184,cost_185,cost_186,cost_187,cost_188,cost_189,cost_190,cost_191,cost_192,cost_193,cost_194,cost_195,cost_196,cost_197,cost_198,cost_199,cost_200,cost_201,cost_202,cost_203,cost_204,cost_205,cost_206,cost_207,cost_208,cost_209,cost_210,cost_211,cost_212,cost_213,cost_214,cost_215,cost_216,cost_217,cost_218,cost_219,cost_220,cost_221,cost_222,cost_223,cost_224
0,2.7,2.50407,2.25961,1.97303,1.65231,1.30675,0.946458,0.581992,0.946458,1.30675,1.65231,1.97303,2.25961,2.50407,2.7,2.70545,2.50231,2.2505,1.95661,1.62882,1.2766,0.910239,0.540421,0.910239,1.2766,1.62882,1.95661,2.2505,2.50231,2.70545,2.71112,2.50073,2.24154,1.9403,1.6054,1.24649,0.874028,0.49885,0.874028,1.24649,1.6054,1.9403,2.24154,2.50073,2.71112,2.71702,2.49935,2.23273,1.9241,1.58205,1.21641,0.837826,0.457279,0.837826,1.21641,1.58205,1.9241,2.23273,2.49935,2.71702,2.72315,2.49818,2.22409,1.90802,1.55877,1.18636,0.801633,0.415708,0.801633,1.18636,1.55877,1.90802,2.22409,2.49818,2.72315,2.72952,2.49721,2.21561,1.89206,1.53557,1.15635,0.765449,0.374137,0.765449,1.15635,1.53557,1.89206,2.21561,2.49721,2.72952,2.73614,2.49645,2.2073,1.87623,1.51244,1.12638,0.729275,0.332567,0.729275,1.12638,1.51244,1.87623,2.2073,2.49645,2.73614,2.743,2.4959,2.19916,1.86052,1.48939,1.09645,0.69311,0.290996,0.69311,1.09645,1.48939,1.86052,2.19916,2.4959,2.743,2.75012,2.49558,2.19121,1.84494,1.46642,1.06655,0.656957,0.249425,0.656957,1.06655,1.46642,1.84494,2.19121,2.49558,2.75012,2.7575,2.49549,2.18344,1.8295,1.44354,1.0367,0.620814,0.207854,0.620814,1.0367,1.44354,1.8295,2.18344,2.49549,2.7575,2.76639,2.49563,2.17586,1.8142,1.42075,1.00689,0.584683,0.166283,0.584683,1.00689,1.42075,1.8142,2.17586,2.49563,2.76639,2.80196,2.49926,2.16848,1.79905,1.39805,0.977122,0.548563,0.124712,0.548563,0.977122,1.39805,1.79905,2.16848,2.49926,2.80196,2.86855,2.53017,2.16818,1.78404,1.37545,0.947404,0.512456,0.0831416,0.512456,0.947404,1.37545,1.78404,2.16818,2.53017,2.86855,2.9585,2.5876,2.19599,1.78496,1.35712,0.918542,0.476362,0.0415708,0.476362,0.918542,1.35712,1.78496,2.19599,2.5876,2.9585,3.06943,2.66839,2.24702,1.80856,1.35764,0.900834,0.445048,0,0.445048,0.900834,1.35764,1.80856,2.24702,2.66839,3.06943
1,2.7,2.50407,2.25961,1.97303,1.65231,1.30675,0.946458,0.581992,0.946458,1.30675,1.65231,1.97303,2.25961,2.50407,2.7,2.70545,2.50231,2.2505,1.95661,1.62882,1.2766,0.910239,0.540421,0.910239,1.2766,1.62882,1.95661,2.2505,2.50231,2.70545,2.71112,2.50073,2.24154,1.9403,1.6054,1.24649,0.874028,0.49885,0.874028,1.24649,1.6054,1.9403,2.24154,2.50073,2.71112,2.71702,2.49935,2.23273,1.9241,1.58205,1.21641,0.837826,0.457279,0.837826,1.21641,1.58205,1.9241,2.23273,2.49935,2.71702,2.72315,2.49818,2.22409,1.90802,1.55877,1.18636,0.801633,0.415708,0.801633,1.18636,1.55877,1.90802,2.22409,2.49818,2.72315,2.72952,2.49721,2.21561,1.89206,1.53557,1.15635,0.765449,0.374137,0.765449,1.15635,1.53557,1.89206,2.21561,2.49721,2.72952,2.73614,2.49645,2.2073,1.87623,1.51244,1.12638,0.729275,0.332567,0.729275,1.12638,1.51244,1.87623,2.2073,2.49645,2.73614,2.743,2.4959,2.19916,1.86052,1.48939,1.09645,0.69311,0.290996,0.69311,1.09645,1.48939,1.86052,2.19916,2.4959,2.743,2.75012,2.49558,2.19121,1.84494,1.46642,1.06655,0.656957,0.249425,0.656957,1.06655,1.46642,1.84494,2.19121,2.49558,2.75012,2.7575,2.49549,2.18344,1.8295,1.44354,1.0367,0.620814,0.207854,0.620814,1.0367,1.44354,1.8295,2.18344,2.49549,2.7575,2.76639,2.49563,2.17586,1.8142,1.42075,1.00689,0.584683,0.166283,0.584683,1.00689,1.42075,1.8142,2.17586,2.49563,2.76639,2.80196,2.49926,2.16848,1.79905,1.39805,0.977122,0.548563,0.124712,0.548563,0.977122,1.39805,1.79905,2.16848,2.49926,2.80196,2.86855,2.53017,2.16818,1.78404,1.37545,0.947404,0.512456,0.0831416,0.512456,0.947404,1.37545,1.78404,2.16818,2.53017,2.86855,2.9585,2.5876,2.19599,1.78496,1.35712,0.918542,0.476362,0.0415708,0.476362,0.918542,1.35712,1.78496,2.19599,2.5876,2.9585,3.06943,2.66839,2.24702,1.80856,1.35764,0.900834,0.445048,0,0.445048,0.900834,1.35764,1.80856,2.24702,2.66839,3.06943
2,2.69233,2.4964,2.25194,1.96535,1.64465,1.29909,0.93882,0.582435,0.946876,1.30714,1.65267,1.97335,2.25991,2.50434,2.70024,2.69778,2.49463,2.24282,1.94893,1.62116,1.26895,0.902598,0.540832,0.902602,1.26844,1.62042,1.94803,2.24181,2.49351,2.69658,2.70345,2.49306,2.23386,1.93263,1.59774,1.23883,0.866385,0.49923,0.865897,1.23797,1.5967,1.93149,2.23264,2.49174,2.70207,2.70935,2.49168,2.22506,1.91643,1.57438,1.20875,0.83018,0.457627,0.829481,1.20774,1.57325,1.91517,2.22373,2.4903,2.70791,2.71549,2.49051,2.21641,1.90035,1.5511,1.1787,0.793984,0.416025,0.793152,1.17762,1.54988,1.89905,2.21505,2.48908,2.714,2.72186,2.48954,2.20793,1.88439,1.52789,1.14869,0.757797,0.374422,0.756894,1.14755,1.52664,1.88307,2.20654,2.48807,2.72032,2.72848,2.48878,2.19962,1.86855,1.50476,1.11871,0.72162,0.33282,0.720645,1.11752,1.50349,1.8672,2.19819,2.48727,2.72692,2.73534,2.48824,2.19149,1.85284,1.48171,1.08878,0.685453,0.291217,0.68444,1.08756,1.48042,1.85147,2.19003,2.48672,2.73379,2.74246,2.48792,2.18353,1.83726,1.45875,1.05888,0.649297,0.249615,0.648259,1.05766,1.45744,1.83586,2.18205,2.4864,2.74091,2.74984,2.48783,2.17577,1.82182,1.43587,1.02903,0.613151,0.208012,0.612088,1.02779,1.43454,1.82039,2.17429,2.48632,2.74829,2.75896,2.48797,2.16819,1.80652,1.41307,0.999214,0.577017,0.16641,0.57593,0.99797,1.41173,1.80509,2.16672,2.48646,2.75697,2.79491,2.49182,2.16081,1.79137,1.39037,0.969447,0.540895,0.124807,0.539783,0.968194,1.38901,1.78994,2.15935,2.48987,2.79232,2.86178,2.52318,2.16095,1.77637,1.36777,0.939727,0.504786,0.083205,0.503649,0.938464,1.36639,1.77494,2.15881,2.52035,2.85847,2.95217,2.58104,2.18898,1.77772,1.34989,0.911086,0.46871,0.0416025,0.467538,0.909369,1.34781,1.77542,2.1862,2.57733,2.94798,3.06332,2.66204,2.24045,1.80176,1.35084,0.893818,0.438037,0,0.435608,0.891207,1.34769,1.79858,2.23679,2.65791,3.0587
3,2.69233,2.4964,2.25194,1.96535,1.64465,1.29909,0.93882,0.582435,0.946876,1.30714,1.65267,1.97335,2.25991,2.50434,2.70024,2.69778,2.49463,2.24282,1.94893,1.62116,1.26895,0.902598,0.540832,0.902602,1.26844,1.62042,1.94803,2.24181,2.49351,2.69658,2.70345,2.49306,2.23386,1.93263,1.59774,1.23883,0.866385,0.49923,0.865897,1.23797,1.5967,1.93149,2.23264,2.49174,2.70207,2.70935,2.49168,2.22506,1.91643,1.57438,1.20875,0.83018,0.457627,0.829481,1.20774,1.57325,1.91517,2.22373,2.4903,2.70791,2.71549,2.49051,2.21641,1.90035,1.5511,1.1787,0.793984,0.416025,0.793152,1.17762,1.54988,1.89905,2.21505,2.48908,2.714,2.72186,2.48954,2.20793,1.88439,1.52789,1.14869,0.757797,0.374422,0.756894,1.14755,1.52664,1.88307,2.20654,2.48807,2.72032,2.72848,2.48878,2.19962,1.86855,1.50476,1.11871,0.72162,0.33282,0.720645,1.11752,1.50349,1.8672,2.19819,2.48727,2.72692,2.73534,2.48824,2.19149,1.85284,1.48171,1.08878,0.685453,0.291217,0.68444,1.08756,1.48042,1.85147,2.19003,2.48672,2.73379,2.74246,2.48792,2.18353,1.83726,1.45875,1.05888,0.649297,0.249615,0.648259,1.05766,1.45744,1.83586,2.18205,2.4864,2.74091,2.74984,2.48783,2.17577,1.82182,1.43587,1.02903,0.613151,0.208012,0.612088,1.02779,1.43454,1.82039,2.17429,2.48632,2.74829,2.75896,2.48797,2.16819,1.80652,1.41307,0.999214,0.577017,0.16641,0.57593,0.99797,1.41173,1.80509,2.16672,2.48646,2.75697,2.79491,2.49182,2.16081,1.79137,1.39037,0.969447,0.540895,0.124807,0.539783,0.968194,1.38901,1.78994,2.15935,2.48987,2.79232,2.86178,2.52318,2.16095,1.77637,1.36777,0.939727,0.504786,0.083205,0.503649,0.938464,1.36639,1.77494,2.15881,2.52035,2.85847,2.95217,2.58104,2.18898,1.77772,1.34989,0.911086,0.46871,0.0416025,0.467538,0.909369,1.34781,1.77542,2.1862,2.57733,2.94798,3.06332,2.66204,2.24045,1.80176,1.35084,0.893818,0.438037,0,0.435608,0.891207,1.34769,1.79858,2.23679,2.65791,3.0587
4,2.69233,2.4964,2.25194,1.96535,1.64465,1.29909,0.938819,0.582435,0.946876,1.30714,1.65267,1.97335,2.25991,2.50434,2.70024,2.69778,2.49463,2.24282,1.94893,1.62116,1.26895,0.902597,0.540832,0.902602,1.26844,1.62041,1.94803,2.24181,2.49351,2.69658,2.70345,2.49306,2.23386,1.93263,1.59773,1.23883,0.866384,0.49923,0.865896,1.23797,1.5967,1.93149,2.23264,2.49174,2.70206,2.70935,2.49168,2.22506,1.91643,1.57438,1.20875,0.830179,0.457627,0.82948,1.20774,1.57325,1.91517,2.22373,2.4903,2.70791,2.71549,2.49051,2.21641,1.90035,1.5511,1.1787,0.793983,0.416025,0.793151,1.17762,1.54988,1.89905,2.21505,2.48908,2.714,2.72186,2.48954,2.20793,1.88439,1.52789,1.14869,0.757796,0.374422,0.756893,1.14755,1.52664,1.88306,2.20654,2.48807,2.72032,2.72848,2.48878,2.19962,1.86855,1.50476,1.11871,0.721619,0.33282,0.720644,1.11752,1.50349,1.8672,2.19819,2.48727,2.72692,2.73534,2.48824,2.19149,1.85284,1.48171,1.08878,0.685452,0.291217,0.684439,1.08756,1.48042,1.85147,2.19002,2.48672,2.73379,2.74246,2.48792,2.18353,1.83726,1.45875,1.05888,0.649296,0.249615,0.648258,1.05766,1.45743,1.83586,2.18205,2.4864,2.74091,2.74984,2.48783,2.17577,1.82182,1.43586,1.02902,0.613151,0.208012,0.612087,1.02779,1.43454,1.82039,2.17429,2.48631,2.74829,2.75896,2.48797,2.16819,1.80652,1.41307,0.999213,0.577017,0.16641,0.575929,0.997969,1.41173,1.80509,2.16672,2.48646,2.75697,2.79491,2.49182,2.16081,1.79137,1.39037,0.969446,0.540894,0.124807,0.539782,0.968193,1.38901,1.78994,2.15934,2.48987,2.79232,2.86178,2.52318,2.16095,1.77637,1.36777,0.939727,0.504785,0.083205,0.503648,0.938463,1.36639,1.77494,2.15881,2.52035,2.85847,2.95217,2.58104,2.18898,1.77772,1.34989,0.911085,0.468709,0.0416025,0.467537,0.909368,1.3478,1.77541,2.18619,2.57733,2.94798,3.06331,2.66204,2.24045,1.80176,1.35084,0.893817,0.438037,0,0.435608,0.891206,1.34768,1.79858,2.23679,2.6579,3.0587
5,2.69233,2.4964,2.25194,1.96535,1.64465,1.29909,0.938819,0.582435,0.946876,1.30714,1.65267,1.97335,2.25991,2.50434,2.70024,2.69778,2.49463,2.24282,1.94893,1.62116,1.26895,0.902597,0.540832,0.902602,1.26844,1.62041,1.94803,2.24181,2.49351,2.69658,2.70345,2.49306,2.23386,1.93263,1.59773,1.23883,0.866384,0.49923,0.865896,1.23797,1.5967,1.93149,2.23264,2.49174,2.70206,2.70935,2.49168,2.22506,1.91643,1.57438,1.20875,0.830179,0.457627,0.82948,1.20774,1.57325,1.91517,2.22373,2.4903,2.70791,2.71549,2.49051,2.21641,1.90035,1.5511,1.1787,0.793983,0.416025,0.793151,1.17762,1.54988,1.89905,2.21505,2.48908,2.714,2.72186,2.48954,2.20793,1.88439,1.52789,1.14869,0.757796,0.374422,0.756893,1.14755,1.52664,1.88306,2.20654,2.48807,2.72032,2.72848,2.48878,2.19962,1.86855,1.50476,1.11871,0.721619,0.33282,0.720644,1.11752,1.50349,1.8672,2.19819,2.48727,2.72692,2.73534,2.48824,2.19149,1.85284,1.48171,1.08878,0.685452,0.291217,0.684439,1.08756,1.48042,1.85147,2.19002,2.48672,2.73379,2.74246,2.48792,2.18353,1.83726,1.45875,1.05888,0.649296,0.249615,0.648258,1.05766,1.45743,1.83586,2.18205,2.4864,2.74091,2.74984,2.48783,2.17577,1.82182,1.43586,1.02902,0.613151,0.208012,0.612087,1.02779,1.43454,1.82039,2.17429,2.48631,2.74829,2.75896,2.48797,2.16819,1.80652,1.41307,0.999213,0.577017,0.16641,0.575929,0.997969,1.41173,1.80509,2.16672,2.48646,2.75697,2.79491,2.49182,2.16081,1.79137,1.39037,0.969446,0.540894,0.124807,0.539782,0.968193,1.38901,1.78994,2.15934,2.48987,2.79232,2.86178,2.52318,2.16095,1.77637,1.36777,0.939727,0.504785,0.083205,0.503648,0.938463,1.36639,1.77494,2.15881,2.52035,2.85847,2.95217,2.58104,2.18898,1.77772,1.34989,0.911085,0.468709,0.0416025,0.467537,0.909368,1.3478,1.77541,2.18619,2.57733,2.94798,3.06331,2.66204,2.24045,1.80176,1.35084,0.893817,0.438037,0,0.435608,0.891206,1.34768,1.79858,2.23679,2.6579,3.0587
6,2.56425,2.37115,2.13047,1.84905,1.535,1.19724,0.849549,0.667413,1.02504,1.3786,1.71775,2.03254,2.31385,2.55381,2.74613,2.56879,2.36857,2.12064,1.83203,1.51103,1.16675,0.813161,0.625115,0.942267,1.25898,1.58015,1.88733,2.16594,2.4058,2.59958,2.57355,2.36617,2.11096,1.81512,1.48713,1.1363,0.776782,0.582818,0.862067,1.18866,1.52359,1.84203,2.13062,2.37996,2.58246,2.57853,2.36397,2.10143,1.79832,1.46329,1.10587,0.740412,0.54052,0.800936,1.14073,1.48549,1.8128,2.11007,2.36763,2.57804,2.58375,2.36198,2.09207,1.78164,1.43953,1.07549,0.70405,0.498222,0.749874,1.09999,1.45328,1.78869,2.09402,2.35954,2.57776,2.58922,2.36018,2.08288,1.76507,1.41584,1.04513,0.667699,0.455925,0.703492,1.0626,1.42388,1.7672,2.08039,2.35374,2.57945,2.59492,2.35861,2.07385,1.74863,1.39224,1.01482,0.631356,0.413627,0.659838,1.02718,1.39611,1.74715,2.06821,2.34928,2.58221,2.60087,2.35725,2.065,1.73232,1.36871,0.984542,0.595025,0.371329,0.617798,0.992932,1.36936,1.72819,2.05694,2.34541,2.5863,2.60708,2.35611,2.05633,1.71614,1.34526,0.954306,0.558703,0.329031,0.576908,0.959418,1.34323,1.70963,2.0462,2.3427,2.59068,2.61355,2.3552,2.04785,1.7001,1.3219,0.924111,0.522393,0.286734,0.536866,0.926755,1.31791,1.69195,2.03613,2.34025,2.59579,2.62664,2.35452,2.03956,1.6842,1.29863,0.893961,0.486095,0.244436,0.497402,0.894354,1.29279,1.67442,2.02657,2.33817,2.60151,2.67092,2.36292,2.03147,1.66845,1.27545,0.863856,0.449809,0.202138,0.458306,0.862481,1.26815,1.65738,2.01721,2.33689,2.62566,2.74286,2.40211,2.04055,1.65666,1.25239,0.833798,0.416047,0.159841,0.419804,0.830654,1.24387,1.64079,2.00984,2.35592,2.67907,2.83825,2.4678,2.07683,1.66771,1.24506,0.813951,0.390249,0.117543,0.381349,0.799398,1.21969,1.62984,2.02545,2.40257,2.75875,2.95304,2.55353,2.13447,1.69963,1.25505,0.806785,0.37037,0.0752451,0.343416,0.770221,1.2075,1.64151,2.0644,2.47066,2.85834
7,2.56425,2.37115,2.13047,1.84905,1.535,1.19724,0.849549,0.667413,1.02504,1.3786,1.71775,2.03254,2.31385,2.55381,2.74613,2.56879,2.36857,2.12064,1.83203,1.51103,1.16675,0.813161,0.625115,0.942267,1.25898,1.58015,1.88733,2.16594,2.4058,2.59958,2.57355,2.36617,2.11096,1.81512,1.48713,1.1363,0.776782,0.582818,0.862067,1.18866,1.52359,1.84203,2.13062,2.37996,2.58246,2.57853,2.36397,2.10143,1.79832,1.46329,1.10587,0.740412,0.54052,0.800936,1.14073,1.48549,1.8128,2.11007,2.36763,2.57804,2.58375,2.36198,2.09207,1.78164,1.43953,1.07549,0.70405,0.498222,0.749874,1.09999,1.45328,1.78869,2.09402,2.35954,2.57776,2.58922,2.36018,2.08288,1.76507,1.41584,1.04513,0.667699,0.455925,0.703492,1.0626,1.42388,1.7672,2.08039,2.35374,2.57945,2.59492,2.35861,2.07385,1.74863,1.39224,1.01482,0.631356,0.413627,0.659838,1.02718,1.39611,1.74715,2.06821,2.34928,2.58221,2.60087,2.35725,2.065,1.73232,1.36871,0.984542,0.595025,0.371329,0.617798,0.992932,1.36936,1.72819,2.05694,2.34541,2.5863,2.60708,2.35611,2.05633,1.71614,1.34526,0.954306,0.558703,0.329031,0.576908,0.959418,1.34323,1.70963,2.0462,2.3427,2.59068,2.61355,2.3552,2.04785,1.7001,1.3219,0.924111,0.522393,0.286734,0.536866,0.926755,1.31791,1.69195,2.03613,2.34025,2.59579,2.62664,2.35452,2.03956,1.6842,1.29863,0.893961,0.486095,0.244436,0.497402,0.894354,1.29279,1.67442,2.02657,2.33817,2.60151,2.67092,2.36292,2.03147,1.66845,1.27545,0.863856,0.449809,0.202138,0.458306,0.862481,1.26815,1.65738,2.01721,2.33689,2.62566,2.74286,2.40211,2.04055,1.65666,1.25239,0.833798,0.416047,0.159841,0.419804,0.830654,1.24387,1.64079,2.00984,2.35592,2.67907,2.83825,2.4678,2.07683,1.66771,1.24506,0.813951,0.390249,0.117543,0.381349,0.799398,1.21969,1.62984,2.02545,2.40257,2.75875,2.95304,2.55353,2.13447,1.69963,1.25505,0.806785,0.37037,0.0752451,0.343416,0.770221,1.2075,1.64151,2.0644,2.47066,2.85834
8,2.56426,2.37116,2.13047,1.84906,1.535,1.19724,0.849553,0.667407,1.02503,1.3786,1.71775,2.03253,2.31384,2.55381,2.74613,2.56879,2.36857,2.12064,1.83204,1.51103,1.16676,0.813165,0.625111,0.942263,1.25898,1.58015,1.88733,2.16594,2.4058,2.59958,2.57355,2.36618,2.11096,1.81513,1.48713,1.1363,0.776786,0.582814,0.862063,1.18866,1.52359,1.84202,2.13062,2.37996,2.58246,2.57854,2.36398,2.10144,1.79833,1.4633,1.10588,0.740416,0.540517,0.800932,1.14073,1.48548,1.8128,2.11006,2.36763,2.57804,2.58376,2.36198,2.09208,1.78164,1.43954,1.07549,0.704054,0.498221,0.74987,1.09999,1.45327,1.78869,2.09401,2.35954,2.57776,2.58922,2.36019,2.08288,1.76508,1.41585,1.04514,0.667703,0.455924,0.703488,1.0626,1.42388,1.76719,2.08038,2.35374,2.57945,2.59492,2.35861,2.07385,1.74864,1.39224,1.01482,0.631361,0.413627,0.659833,1.02718,1.3961,1.74714,2.06821,2.34928,2.58221,2.60088,2.35725,2.065,1.73233,1.36871,0.984546,0.595029,0.37133,0.617793,0.992927,1.36935,1.72819,2.05694,2.34541,2.58629,2.60708,2.35611,2.05634,1.71615,1.34526,0.95431,0.558708,0.329034,0.576903,0.959412,1.34322,1.70962,2.04619,2.3427,2.59068,2.61355,2.3552,2.04785,1.7001,1.3219,0.924116,0.522398,0.286737,0.536862,0.926749,1.31791,1.69195,2.03612,2.34024,2.59579,2.62664,2.35453,2.03956,1.6842,1.29863,0.893965,0.486099,0.24444,0.497396,0.894347,1.29279,1.67441,2.02657,2.33816,2.60151,2.67092,2.36293,2.03147,1.66845,1.27546,0.86386,0.449813,0.202143,0.4583,0.862474,1.26814,1.65738,2.01721,2.33688,2.62565,2.74287,2.40212,2.04055,1.65666,1.25239,0.833803,0.416052,0.159847,0.419799,0.830648,1.24386,1.64079,2.00984,2.35591,2.67906,2.83825,2.46781,2.07683,1.66771,1.24507,0.813957,0.390255,0.11755,0.381343,0.799391,1.21968,1.62983,2.02544,2.40256,2.75874,2.95304,2.55354,2.13447,1.69964,1.25506,0.806792,0.370376,0.0752533,0.34341,0.770213,1.20749,1.6415,2.06439,2.47065,2.85833
9,2.56426,2.37116,2.13047,1.84906,1.535,1.19724,0.849553,0.667407,1.02503,1.3786,1.71775,2.03253,2.31384,2.55381,2.74613,2.56879,2.36857,2.12064,1.83204,1.51103,1.16676,0.813165,0.625111,0.942263,1.25898,1.58015,1.88733,2.16594,2.4058,2.59958,2.57355,2.36618,2.11096,1.81513,1.48713,1.1363,0.776786,0.582814,0.862063,1.18866,1.52359,1.84202,2.13062,2.37996,2.58246,2.57854,2.36398,2.10144,1.79833,1.4633,1.10588,0.740416,0.540517,0.800932,1.14073,1.48548,1.8128,2.11006,2.36763,2.57804,2.58376,2.36198,2.09208,1.78164,1.43954,1.07549,0.704054,0.498221,0.74987,1.09999,1.45327,1.78869,2.09401,2.35954,2.57776,2.58922,2.36019,2.08288,1.76508,1.41585,1.04514,0.667703,0.455924,0.703488,1.0626,1.42388,1.76719,2.08038,2.35374,2.57945,2.59492,2.35861,2.07385,1.74864,1.39224,1.01482,0.631361,0.413627,0.659833,1.02718,1.3961,1.74714,2.06821,2.34928,2.58221,2.60088,2.35725,2.065,1.73233,1.36871,0.984546,0.595029,0.37133,0.617793,0.992927,1.36935,1.72819,2.05694,2.34541,2.58629,2.60708,2.35611,2.05634,1.71615,1.34526,0.95431,0.558708,0.329034,0.576903,0.959412,1.34322,1.70962,2.04619,2.3427,2.59068,2.61355,2.3552,2.04785,1.7001,1.3219,0.924116,0.522398,0.286737,0.536862,0.926749,1.31791,1.69195,2.03612,2.34024,2.59579,2.62664,2.35453,2.03956,1.6842,1.29863,0.893965,0.486099,0.24444,0.497396,0.894347,1.29279,1.67441,2.02657,2.33816,2.60151,2.67092,2.36293,2.03147,1.66845,1.27546,0.86386,0.449813,0.202143,0.4583,0.862474,1.26814,1.65738,2.01721,2.33688,2.62565,2.74287,2.40212,2.04055,1.65666,1.25239,0.833803,0.416052,0.159847,0.419799,0.830648,1.24386,1.64079,2.00984,2.35591,2.67906,2.83825,2.46781,2.07683,1.66771,1.24507,0.813957,0.390255,0.11755,0.381343,0.799391,1.21968,1.62983,2.02544,2.40256,2.75874,2.95304,2.55354,2.13447,1.69964,1.25506,0.806792,0.370376,0.0752533,0.34341,0.770213,1.20749,1.6415,2.06439,2.47065,2.85833
