t_idx,best_index
582,214
583,213
584,214
585,214
586,214
587,214
588,213
589,213
590,213
591,213
592,213
593,214
594,213
595,214
596,215
597,213
598,213
599,45
600,15
601,45
602,165
603,165
604,42
605,149
606,4
607,3
608,4
609,4
610,5
611,5
612,4
613,4
614,4
615,4
616,6
617,6
618,6
619,5
620,4
621,4
622,5
623,4
624,4
625,4
626,4
627,4
628,4
629,4
630,6
631,9
632,11
633,11
634,12
635,-1
636,-1
637,-1
638,-1
639,-1
640,-1
641,-1
642,-1
643,-1
644,-1
645,-1
646,-1
647,-1
648,-1
649,219
650,203
651,203
652,218
653,203
654,204
655,-1
656,-1
657,210
658,171
659,202
660,186
661,170
662,169
663,153
664,151
665,136
666,-1
667,-1
668,-1
669,-1
670,-1
671,-1
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,14
681,0
682,14
683,14
684,14
685,14
686,14
687,14
688,0
689,14
690,12
691,12
692,11
693,10
694,10
695,11
696,14
697,1
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,1
714,1
715,1
716,0
717,0
718,1
719,1
720,1
721,1
722,2
723,4
724,5
725,4
726,4
727,5
728,5
729,5
730,4
731,5
732,6
733,7
734,9
735,8
736,8
737,8
738,8
739,8
740,8
741,8
742,9
743,9
744,8
745,8
746,10
747,10
748,11
749,11
750,12
751,212
752,212
753,212
754,213
755,213
756,213
757,213
758,213
759,214
760,215
761,217
762,217
763,216
764,215
765,216
766,217
767,218
768,217
769,14
770,14
771,14
772,14
773,14
774,14
775,-1
776,-1
777,-1
778,-1
779,-1
780,14
781,14
782,14
783,14
784,14
785,14
786,14
787,14
788,216
789,216
790,-1
791,-1
792,-1
793,-1
794,-1
795,-1
796,-1
797,-1
798,-1
799,-1
800,13
801,13
802,9
803,7
804,5
805,4
806,7
807,3
808,4
809,4
810,9
811,-1
812,-1
813,-1
814,-1
815,-1
816,-1
817,-1
818,-1
819,-1
820,-1
821,-1
822,-1
823,4
824,5
825,4
826,4
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,7
835,5
836,30
837,105
838,180
839,211
840,212
841,214
842,216
843,216
844,68
845,62
846,82
847,68
848,49
849,48
850,49
851,49
852,49
853,50
854,50
855,50
856,50
857,51
858,50
859,50
860,51
861,51
862,50
863,51
864,38
865,39
866,9
867,104
868,104
869,104
870,104
871,104
872,10
873,10
874,11
875,90
876,75
877,75
878,51
879,39
880,38
881,-1
882,-1
883,-1
884,-1
885,-1
886,-1
887,-1
888,-1
889,11
890,11
891,11
892,11
893,11
894,224
895,224
896,224
897,-1
898,-1
899,-1
900,-1
901,-1
902,-1
903,-1
904,-1
905,-1
906,-1
907,-1
908,219
909,219
910,220
911,221
912,222
913,221
914,222
915,222
916,222
917,222
918,223
919,224
920,224
921,224
922,224
923,224
924,223
925,222
926,220
927,219
928,216
929,215
930,214
931,214
932,215
933,215
934,216
935,215
936,214
937,214
938,213
939,213
940,214
941,214
942,214
943,214
944,213
945,213
946,214
947,212
948,210
949,210
950,210
951,210
952,210
953,210
954,210
955,210
956,210
957,210
958,210
959,210
960,210
961,210
962,210
963,210
964,210
965,210
966,210
967,210
968,210
969,210
970,210
971,210
972,210
973,210
974,210
975,210
976,210
977,210
978,210
979,210
980,210
981,210
982,210
983,210
984,210
985,210
986,210
987,210
988,210
989,210
990,210
991,210
992,210
993,210
994,210
995,210
996,210
997,210
998,210
999,210
1000,210
1001,210
1002,210
1003,210
1004,210
1005,210
1006,210
1007,210
1008,210
1009,210
1010,210
1011,210
1012,210
1013,210
1014,210
1015,210
1016,210
1017,210
1018,210
1019,210
1020,210
1021,210
1022,210
1023,210
1024,210
1025,210
1026,210
1027,210
1028,210
1029,210
1030,210
1031,210
1032,210
1033,210
1034,210
1035,210
1036,210
1037,210
1038,210
1039,210
1040,210
1041,210
1042,210
1043,210
1044,210
1045,210
1046,210
1047,210
1048,210
1049,210
1050,210
1051,210
1052,210
1053,210
1054,210
1055,210
1056,210
1057,210
1058,210
1059,210
1060,210
1061,210
1062,210
1063,210
1064,210
1065,210
1066,210
1067,210
1068,210
1069,210
1070,210
1071,210
1072,210
1073,210
1074,210
1075,210
1076,210
1077,210
1078,210
1079,210
1080,210
1081,210
1082,210
1083,210
1084,210
1085,210
1086,210
1087,210
1088,210
1089,210
1090,210
1091,210
1092,210
1093,210
1094,210
1095,210
1096,210
1097,210
1098,210
1099,210
1100,210
1101,210
1102,210
1103,210
1104,210
1105,210
1106,210
1107,210
1108,210
1109,210
1110,210
1111,210
1112,210
1113,210
1114,210
1115,210
1116,210
1117,210
1118,210
1119,210
1120,210
1121,210
1122,210
1123,210
1124,210
1125,210
1126,210
1127,210
1128,210
1129,210
1130,210
1131,210
1132,210
1133,210
1134,210
1135,210
1136,210
1137,210
1138,210
1139,210
1140,210
1141,210
1142,210
1143,210
1144,210
1145,210
1146,210
1147,210
1148,210
1149,210
1150,210
1151,210
1152,210
1153,210
1154,210
1155,210
1156,210
1157,210
1158,210
1159,210
1160,210
1161,210
1162,210
1163,210
1164,210
1165,210
1166,210
1167,210
1168,210
1169,210
1170,210
1171,210
1172,210
1173,210
1174,210
1175,210
1176,210
1177,210
1178,210
1179,210
1180,210
1181,210
1182,210
1183,210
1184,210
1185,210
1186,210
1187,210
1188,210
1189,210
1190,210
1191,210
1192,210
1193,210
1194,210
1195,210
1196,210
1197,210
1198,210
1199,210
1200,210
1201,210
1202,210
1203,210
1204,210
1205,210
1206,210
1207,210
1208,210
1209,210
1210,210
1211,210
1212,210
1213,210
1214,210
1215,210
1216,210
1217,210
1218,210
1219,210
1220,210
1221,210
1222,210
1223,210
1224,210
1225,210
1226,210
1227,210
1228,210
1229,210
1230,210
1231,210
1232,210
1233,210
1234,210
1235,210
1236,210
1237,210
1238,210
1239,210
1240,210
1241,210
1242,210
1243,210
1244,210
1245,210
1246,210
1247,210
1248,210
1249,210
1250,210
1251,210
1252,14
1253,14
1254,14
1255,14
1256,14
1257,14
1258,14
1259,14
1260,14
1261,14
1262,14
1263,14
1264,14
1265,14
1266,14
1267,14
1268,14
1269,14
1270,14
1271,14
1272,14
1273,14
1274,14
1275,14
1276,14
1277,14
1278,14
1279,14
1280,14
1281,14
1282,14
1283,14
1284,14
1285,14
1286,14
1287,14
1288,14
1289,14
1290,14
1291,14
1292,14
1293,14
1294,14
1295,14
1296,14
1297,14
1298,14
1299,14
1300,14
1301,14
1302,14
1303,14
1304,14
1305,14
1306,14
1307,14
1308,14
1309,14
1310,14
1311,14
1312,14
1313,14
1314,14
1315,14
1316,14
1317,14
1318,14
1319,14
1320,14
1321,14
1322,14
