t_idx,v,w
0,0.1,0
1,0.1,0
2,0.1,0
3,0.1,0
4,0.1,0
5,0.1,0
6,0.1,0
7,0.1,0
8,0.1,0
9,0.1,0
10,0.1,0
11,0.1,0
12,0.1,0
13,0.1,0
14,0.1,0
15,0.1,0
16,0.1,0
17,0.1,0
18,0.1,0
19,0.0995279,1.7703e-06
20,0.1,0
21,0.1,0
22,0.1,0
23,0.1,0
24,0.1,0
25,0.1,0
26,0.1,0
27,0.1,0
28,0.1,0
29,0.1,0
30,0.1,0
31,0.1,0
32,0.1,0
33,0.1,0
34,0.1,0
35,0.1,0
36,0.1,0
37,0.1,0
38,0.1,0
39,0.1,0
40,0.1,0
41,0.1,0
42,0.1,0
43,0.1,0
44,0.1,0
45,0.0995279,-1.7703e-06
46,0.1,0
47,0.1,0
48,0.1,0
49,0.1,0
50,0.1,0
51,0.1,0
52,0.1,0
53,0.1,0
54,0.1,0
55,0.1,0
56,0.1,0
57,0.1,0
58,0.1,0
59,0.1,0
60,0.1,0
61,0.1,0
62,0.1,0
63,0.1,0
64,0.1,0
65,0.1,0
66,0.1,0
67,0.1,0
68,0.1,0
69,0.1,0
70,0.1,0
71,0.1,0
72,0.1,0
73,0.1,0
74,0.1,0
75,0.1,0
76,0.1,0
77,0.1,0
78,0.1,0
79,0.1,0
80,0.1,0
81,0.1,0
82,0.1,0
83,0.1,0
84,0.1,0
85,0.1,0
86,0.1,0
87,0.1,0
88,0.1,0
89,0.1,0
90,0.1,0
91,0.1,0
92,0.1,0
93,0.1,0
94,0.1,0
95,0.1,0
96,0.1,0
97,0.1,0
98,0.1,0
99,0.1,0
100,0.1,0
101,0.1,0
102,0.1,0
103,0.1,0
104,0.1,0
105,0.1,0
106,0.1,0
107,0.1,0
108,0.1,0
109,0.1,0
110,0.1,0
111,0.1,0
112,0.1,0
113,0.1,0
114,0.1,0
115,0.1,0
116,0.1,0
117,0.1,0
118,0.1,0
119,0.1,0
120,0.1,0
121,0.1,0
122,0.1,0
123,0.1,0
124,0.1,0
125,0.1,0
126,0.1,0
127,0.1,0
128,0.1,0
129,0.1,0
130,0.1,0
131,0.1,0
132,0.1,0
133,0.1,0
134,0.1,0
135,0.1,0
136,0.1,0
137,0.1,0
138,0.1,0
139,0.1,0
140,0.1,0
141,0.1,0
142,0.1,0
143,0.1,0
144,0.1,0
145,0.1,0
146,0.0995279,-1.7703e-06
147,0.1,0
148,0.1,0
149,0.1,0
150,0.1,0
151,0.170634,0.00555874
152,0.168535,0.00281184
153,0.172525,-0.0131987
154,0.202702,0.00388818
155,0.203371,0.00180985
156,0.245533,-0.0147144
157,0.262513,-0.0158014
158,0.291986,-0.0264046
159,0.299313,-0.0222373
160,0.289783,-0.0142485
161,0.29356,0.00662977
162,0.298058,-0.00772618
163,0.299225,-0.0194376
164,0.284118,-0.0104203
165,0.286006,-0.0124986
166,0.277981,-0.000240477
167,0.304051,-0.0135874
168,0.288367,0.0108236
169,0.293088,-0.0184317
170,0.292143,-0.00361346
171,0.293088,-0.00883407
172,0.287422,-5.31086e-06
173,0.288324,1.23921e-05
174,0.314427,-0.0311947
175,0.322708,-0.0227911
176,0.340494,-0.0205189
177,0.343602,-0.0205437
178,0.361584,-0.00403185
179,0.357919,-0.0125638
180,0.370984,1.06218e-05
181,0.372692,-0.0290916
182,0.371928,-0.0365897
183,0.36804,-0.0376342
184,0.369525,-0.0365844
185,0.399519,-0.0125609
186,0.391851,-0.0167399
187,0.381009,-0.0461945
188,0.417829,-0.0211327
189,0.372029,-0.0211011
190,0.384812,-0.0306881
191,0.381842,-0.0275813
192,0.395559,-0.0366021
193,0.3927,-0.0169214
194,0.434484,-0.00627354
195,0.383635,-0.0334634
196,0.403335,-0.0179553
197,0.3961,-0.0157061
198,0.378219,-0.0200601
199,0.383104,-0.0397125
200,0.383996,-0.0184247
201,0.380898,-0.0206845
202,0.38712,-0.0435074
203,0.424714,-0.0466281
204,0.427173,-0.0376088
205,0.391045,-0.0541443
206,0.394349,-0.0403634
207,0.389395,-0.0424382
208,0.3927,-0.0317996
209,0.39052,-0.0286732
210,0.39846,-0.0445395
211,0.391979,-0.0572759
212,0.387602,-0.0572919
213,0.381035,-0.0541567
214,0.378118,-0.0530962
215,0.403355,-0.0489087
216,0.369567,-0.0510108
217,0.374288,-0.0572741
218,0.366263,-0.0434968
219,0.366263,-0.0455928
220,0.371456,-0.0541354
221,0.363945,-0.0468117
222,0.364322,-0.0531016
223,0.374649,-0.0574591
224,0.418403,-0.0434795
225,0.37894,-0.0760653
226,0.388074,-0.0579268
227,0.399611,-0.0631563
228,0.394116,-0.0600069
229,0.388966,-0.0589624
230,0.418928,-0.0654084
231,0.383576,-0.0739551
232,0.425895,-0.0717055
233,0.378993,-0.0781436
234,0.384553,-0.0562297
235,0.386563,-0.0584806
236,0.392769,-0.0664623
237,0.399405,-0.062272
238,0.388159,-0.0894313
239,0.385979,-0.0612133
240,0.383258,-0.0948298
241,0.385242,-0.0840363
242,0.374055,-0.0990378
243,0.419386,-0.0770934
244,0.394185,-0.0739622
245,0.388425,-0.0781578
246,0.387035,-0.0739657
247,0.416846,-0.0750049
248,0.422419,-0.0846151
249,0.378649,-0.0856647
250,0.413682,-0.0940294
251,0.377052,-0.115986
252,0.384828,-0.105328
253,0.396434,-0.10637
254,0.391756,-0.0802467
255,0.393628,-0.106383
256,0.393782,-0.111776
257,0.422075,-0.109683
258,0.391061,-0.111774
259,0.374373,-0.106386
260,0.381842,-0.122415
261,0.382924,-0.111774
262,0.379068,-0.113876
