t_idx,best_total_cost
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0.814473
507,0.793149
508,0.783625
509,0.771414
510,0.785842
511,0.735282
512,0.676876
513,0.653382
514,0.676857
515,0.738
516,0.744315
517,0.723574
518,0.6877
519,0.663812
520,0.648917
521,0.687297
522,0.656338
523,0.668417
524,0.526534
525,0.548439
526,0.5461
527,0.503441
528,0.470085
529,0.460845
530,0.42939
531,0.456624
532,0.363655
533,0.38569
534,0.303
535,0.37512
536,0.442876
537,0.469554
538,0.503378
539,0.529133
540,0.518186
541,0.484628
542,0.482179
543,0.465801
544,0.448611
545,0.479824
546,0.48176
547,0.485676
548,0.19412
549,0.294688
550,0.17523
551,0.165987
552,0.0855058
553,0.161137
554,0.136129
555,0.133559
556,0.141552
557,0.0838419
558,0.141624
559,0.141154
560,0.135327
561,0.123049
562,0.0984598
563,0.0984698
564,0.107845
565,0.0862916
566,0.105273
567,0.102992
568,0.105036
569,0.0976265
570,0.10245
571,0.0667076
572,0.0946826
573,0.110181
574,0.103094
575,0.116521
576,0.13596
577,0.0938843
578,0.0859481
579,0.131133
580,0.0798853
581,0.116194
582,0.118378
583,0.126674
584,0.105375
585,0.108711
586,0.0966467
587,0.103174
588,0.117758
589,0.108941
590,0.0918775
591,0.130657
592,0.129619
593,0.0889786
594,0.103183
595,0.126277
596,0.129685
597,0.173792
598,0.165476
599,0.470145
600,0.479917
601,0.477024
602,0.446016
603,0.44389
604,0.493233
605,0.56588
606,0.686585
607,0.676956
608,0.682781
609,0.688443
610,0.7
611,0.7
612,0.687136
613,0.697759
614,0.692862
615,0.695932
616,0.7
617,0.7
618,0.7
619,0.7
620,0.695273
621,0.690911
622,0.69157
623,0.7
624,0.690899
625,0.695422
626,0.680907
627,0.679277
628,0.679365
629,0.677946
630,0.7
631,0.670498
632,0.617362
633,0.598596
634,0.582332
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0.423853
650,0.390829
651,0.42396
652,0.398388
653,0.426677
654,0.453343
655,0
656,0
657,0.0631579
658,0.445113
659,0.453719
660,0.450206
661,0.417482
662,0.3958
663,0.409345
664,0.300596
665,0.343115
666,0
667,0
668,0
669,0
670,0
671,0
672,0.41442
673,0.390541
674,0.188595
675,0.162525
676,0.126414
677,0.0968316
678,0.0848656
679,0.0606148
680,0.00458219
681,0.00902677
682,0.00101284
683,0.000237646
684,0.00230947
685,0.013555
686,0.010457
687,0.0156626
688,0.0230202
689,0.00305297
690,0
691,0
692,0
693,0.00247364
694,0
695,0
696,0
697,0.168482
698,0.201784
699,0.19905
700,0.17012
701,0.159513
702,0.148687
703,0.143959
704,0.13751
705,0.134422
706,0.135173
707,0.130965
708,0.122476
709,0.121968
710,0.109524
711,0.107147
712,0.101685
713,0.101214
714,0.109911
715,0.121541
716,0.119231
717,0.116072
718,0.0981166
719,0.0988644
720,0.0553817
721,0.0568609
722,0.155526
723,0.271222
724,0.278881
725,0.265854
726,0.244824
727,0.2595
728,0.269815
729,0.250603
730,0.225625
731,0.239472
732,0.284618
733,0.32581
734,0.368243
735,0.366493
736,0.362582
737,0.36365
738,0.364446
739,0.355892
740,0.357759
741,0.354404
742,0.366609
743,0.364106
744,0.359119
745,0.354741
746,0.394458
747,0.390151
748,0.410297
749,0.416691
750,0.435439
751,0
752,0
753,0.00127768
754,3.94208e-05
755,0
756,0
757,0
758,0
759,0.00106479
760,0.00186795
761,0.0782663
762,0.0614718
763,0.0398642
764,0.0263158
765,0.0647136
766,0.0712504
767,0.191791
768,0.169708
769,0.68077
770,0.696221
771,0.684073
772,0.680398
773,0.674728
774,0.667425
775,0
776,0
777,0
778,0
779,0
780,0.7
781,0.7
782,0.7
783,0.7
784,0.660905
785,0.682
786,0.7
787,0.7
788,0.00566038
789,0.00566038
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0.676121
801,0.67181
802,0.470651
803,0.436246
804,0.378332
805,0.354076
806,0.374604
807,0.326662
808,0.338569
809,0.356101
810,0.437516
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0.309258
824,0.323009
825,0.311865
826,0.292453
827,0.156
828,0.140013
829,0.144825
830,0.147512
831,0.151605
832,0.142821
833,0.135554
834,0.334666
835,0.293846
836,0.117863
837,0.115214
838,0.0439897
839,0.00582945
840,0.00576764
841,0.0043771
842,0.0322234
843,0.0352855
844,0.548757
845,0.582655
846,0.370956
847,0.419262
848,0.436114
849,0.435978
850,0.429869
851,0.456644
852,0.481844
853,0.464973
854,0.480778
855,0.49466
856,0.485958
857,0.463767
858,0.468578
859,0.472987
860,0.464326
861,0.465653
862,0.48741
863,0.453549
864,0.476487
865,0.485
866,0.54831
867,0.499342
868,0.522549
869,0.534836
870,0.511295
871,0.476117
872,0.544306
873,0.544967
874,0.539983
875,0.602227
876,0.604515
877,0.597015
878,0.460714
879,0.480247
880,0.48328
881,0
