stamp_sec,x,y,z,frame_id
0.000000,3.698779,-0.098549,0.000000,"base_link"
1.000000,3.697547,-0.137205,0.000000,"base_link"
2.000000,3.696467,-0.163736,0.000000,"base_link"
3.000000,3.695567,-0.182935,0.000000,"base_link"
4.000000,3.692557,-0.236009,0.000000,"base_link"
5.000000,3.689913,-0.274454,0.000000,"base_link"
6.000000,3.688236,-0.296155,0.000000,"base_link"
7.000000,3.684500,-0.339498,0.000000,"base_link"
8.000000,3.682906,-0.356353,0.000000,"base_link"
9.000000,3.681953,-0.366083,0.000000,"base_link"
10.000000,3.680312,-0.382233,0.000000,"base_link"
11.000000,3.676520,-0.417562,0.000000,"base_link"
12.000000,3.675816,-0.423734,0.000000,"base_link"
13.000000,3.673603,-0.442668,0.000000,"base_link"
14.000000,3.672860,-0.448764,0.000000,"base_link"
15.000000,3.672014,-0.455658,0.000000,"base_link"
16.000000,3.670728,-0.465964,0.000000,"base_link"
17.000000,3.669472,-0.475828,0.000000,"base_link"
18.000000,3.668823,-0.480830,0.000000,"base_link"
19.000000,3.663908,-0.517260,0.000000,"base_link"
20.000000,3.664511,-0.512783,0.000000,"base_link"
21.000000,3.663549,-0.519643,0.000000,"base_link"
22.000000,3.660560,-0.540433,0.000000,"base_link"
23.000000,3.657833,-0.558722,0.000000,"base_link"
24.000000,3.656165,-0.569566,0.000000,"base_link"
25.000000,3.651340,-0.599862,0.000000,"base_link"
26.000000,3.647377,-0.623622,0.000000,"base_link"
27.000000,3.644486,-0.640336,0.000000,"base_link"
28.000000,3.632755,-0.704121,0.000000,"base_link"
29.000000,3.626671,-0.734911,0.000000,"base_link"
30.000000,3.622999,-0.752834,0.000000,"base_link"
31.000000,3.614115,-0.794479,0.000000,"base_link"
32.000000,3.608464,-0.819786,0.000000,"base_link"
33.000000,3.603756,-0.840278,0.000000,"base_link"
34.000000,3.590653,-0.894731,0.000000,"base_link"
35.000000,3.581487,-0.930826,0.000000,"base_link"
36.000000,3.576335,-0.950467,0.000000,"base_link"
37.000000,3.558151,-1.016798,0.000000,"base_link"
38.000000,3.555854,-1.024629,0.000000,"base_link"
39.000000,3.550093,-1.044458,0.000000,"base_link"
40.000000,3.537647,-1.085869,0.000000,"base_link"
41.000000,3.523258,-1.131863,0.000000,"base_link"
42.000000,3.515242,-1.156564,0.000000,"base_link"
43.000000,3.485043,-1.244935,0.000000,"base_link"
44.000000,3.472921,-1.278299,0.000000,"base_link"
45.000000,3.461575,-1.308759,0.000000,"base_link"
46.000000,3.438152,-1.369125,0.000000,"base_link"
47.000000,3.426310,-1.398435,0.000000,"base_link"
48.000000,3.414359,-1.427418,0.000000,"base_link"
49.000000,3.384743,-1.496386,0.000000,"base_link"
50.000000,3.364686,-1.541036,0.000000,"base_link"
51.000000,3.350570,-1.571548,0.000000,"base_link"
52.000000,3.311329,-1.652880,0.000000,"base_link"
