t_idx,v,w
309,0.0758056,-0.334423
310,0.10483,-0.39162
311,0.0762777,-0.32377
312,0.0767761,-0.28155
313,0.105189,-0.380995
314,0.0801497,-0.294308
315,0.0726812,-0.237087
316,0.145187,-0.394065
317,0.122835,-0.441792
318,0.133391,-0.466364
319,0.14443,-0.48765
320,0,0
321,0.427879,-0.336622
322,0.424951,-0.304885
323,0.423673,-0.31989
324,0.430574,-0.308209
325,0.429269,-0.302771
326,0.426033,-0.29356
327,0.423339,-0.319023
328,0.433279,-0.285368
329,0.424283,-0.275784
330,0.432171,-0.284159
331,0.420865,-0.28746
332,0.414883,-0.246133
333,0.414867,-0.235487
334,0.413897,0.0333217
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0.415759,-0.221697
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0.0967156,-0.278058
360,0.0804353,-0.207705
361,0.0815068,-0.188349
362,0.0767429,0.177844
363,0.149858,0.309008
364,0.120769,0.239044
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0.0616685,0.106645
377,0.15216,-0.22354
378,0.139249,-0.218136
379,0.155464,-0.222321
380,0.151979,-0.229821
381,0.155868,-0.229827
382,0.154992,-0.221277
383,0.144443,-0.216042
384,0.155284,-0.224706
385,0.205917,-0.295961
386,0.213438,-0.318986
387,0.170045,-0.27902
388,0.15505,-0.238046
389,0.151512,-0.237034
390,0.0752414,0.00857802
391,0.0565552,-0.245542
392,0.0349447,-0.0910124
393,0.0225546,-0.17979
394,0.0231714,-0.219904
395,0.0231691,-0.193592
396,0.0230942,-0.210682
397,0.023836,-0.245744
398,0.0231616,-0.215253
399,0.0237147,-0.206716
400,0.0894729,0.0451962
401,0.0801214,0.000717682
402,0.0899487,0.0387249
403,0.0926764,0.0864945
404,0.0894092,0.00506996
405,0.065361,0.00402371
406,0.0875808,0.07796
407,0.0644266,0.0441394
408,0.0630103,0.0124114
409,0.0667295,0.0124256
410,0.0674138,0.0335096
411,0.0658429,0.0111631
412,0.0674615,0.0310318
413,0.0220151,-0.198528
414,0.0218544,-0.174084
415,0.0218544,-0.181223
416,0.0225228,-0.216117
417,0.0231223,-0.233036
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0.158354,0.0164014
425,0.158535,0.0238995
426,0.156414,0.0292711
427,0.151273,0.0376804
428,0.150329,0.00612506
429,0.15226,0.0451821
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0.195539,-0.493973
439,0.192818,-0.459086
440,0.191873,-0.440277
441,0.187805,-0.393674
442,0.191083,-0.369265
443,0.193762,-0.323741
444,0.195591,-0.320631
445,0.191873,-0.280488
446,0.188569,-0.238098
447,0.186792,-0.196922
448,0.187264,-0.185252
449,0.187221,-0.196565
450,0.231641,-0.17205
451,0.318451,-0.0656006
452,0.27663,-0.0800407
453,0.312258,-0.0699265
454,0.323228,-0.0070774
455,0.325742,0.00146694
456,0.334738,-0.00918406
457,0.349554,0.0182093
458,0.35333,0.0340703
459,0.34976,0.0585341
460,0.347305,0.0428592
461,0.357484,0.0609994
462,0.386348,0.0831297
463,0.375082,0.0948358
464,0.378483,0.0979728
465,0.367493,0.0695314
466,0.360215,0.106528
467,0.416641,0.129274
468,0.413828,0.128602
469,0.422299,0.145529
470,0.426978,0.143624
471,0.422729,0.156366
472,0.432574,0.156537
473,0.430712,0.169948
474,0.432473,0.173268
475,0.448295,0.145903
476,0.414677,0.159686
477,0.418427,0.173481
478,0.428977,0.161771
479,0.431476,0.168222
480,0.428033,0.151113
481,0.427502,0.199971
482,0.417536,0.160723
483,0.424824,0.177812
484,0.424591,0.172417
485,0.429184,0.173467
486,0.42745,0.191618
487,0.427005,-0.0136838
488,0.413759,-0.00949702
489,0.421312,0.170332
490,0.416119,0.18639
491,0.420368,0.185339
492,0.420549,0.145047
493,0.416952,0.123933
494,0.410025,0.155489
495,0.414093,0.147992
496,0.414746,0.13629
497,0.42084,0.165088
498,0.425089,0.167189
499,0.424617,0.167181
500,0.417801,0.148005
501,0.415398,0.136306
502,0.416995,0.152179
503,0.424256,0.160718
504,0.425879,0.15233
505,0.425922,0.171174
506,0.416591,0.176393
507,0.412093,0.136293
508,0.411191,0.187044
509,0.420771,0.181638
510,0.462752,0.193327
511,0.4609,0.182868
512,0.419063,0.154055
513,0.416591,0.159294
514,0.417244,0.160509
515,0.412719,0.172041
516,0.421896,0.168902
517,0.421286,0.165758
518,0.419159,0.156158
519,0.409982,0.149685
520,0.395406,0.163484
521,0.417313,0.181631
522,0.416591,0.191229
523,0.416007,0.166806
524,0.421244,0.199427
525,0.418729,0.200648
526,0.412591,0.200646
527,0.420257,0.20589
528,0.404625,0.165783
529,0.454179,0.188108
530,0.414661,0.184952
531,0.407038,0.206936
532,0.409084,0.181461
533,0.405579,0.186856
534,0.426214,0.210248
535,0.430394,0.189172
536,0.387613,0.209405
537,0.396763,0.20835
538,0.390154,0.210431
539,0.394764,0.190192
540,0.327733,0.163671
541,0.362789,0.201701
542,0.331759,0.167861
543,0.365133,0.206922
544,0.307046,0.16889
545,0.370326,0.207994
546,0.376601,0.199608
547,0.33945,0.203804
548,0.287998,0.171003
549,0.307741,0.173276
550,0.356216,0.195244
551,0.351383,0.194194
552,0.339194,0.194182
553,0.338987,0.202724
554,0.301587,0.21232
555,0.3155,0.213377
556,0.348137,0.180583
557,0.344833,0.17429
558,0.370775,0.176391
559,0.342054,0.213368
560,0.309734,0.21024
561,0.325949,0.193141
562,0.325005,0.185625
563,0.322172,0.195223
564,0.0522007,0.040677
565,0.316507,0.195226
566,0.0498403,-0.0247342
567,0.0526728,0.0281196
568,0.0460635,0.0364726
569,0.0444669,0.0247948
570,0,0
571,0.0542518,0.00472691
572,0.0556692,-0.00694024
573,0,0
574,0,0
575,0,0
576,0,0
577,0,0
578,0,0
579,0,0
580,0,0
581,0,0
582,0,0
583,0.0271635,-0.0577087
584,0.030648,-0.0620698
585,0.00829573,-0.0524739
586,0.0190074,-0.0545805
587,0.0310152,-0.0652123
588,0,-0.027196
589,0.0190278,-0.0652024
590,0.0181902,-0.057714
591,0.0182447,-0.0631196
592,0.0184262,-0.0704415
593,0.0184599,-0.0693935
594,0.0182576,-0.071486
595,0,-0.057698
596,0.00567298,-0.0470537
597,0.00724663,-0.0723351
598,0.00881977,-0.0606225
599,0.0103939,-0.0595861
600,0,-0.0575031
601,0,-0.0702413
602,0.00934483,-0.11785
603,0.0130167,-0.118902
604,0,-0.100091
605,0,-0.104289
606,0,-0.111777
607,0,-0.109692
608,0,-0.104281
609,0,-0.106381
610,0,-0.099042
611,0,-0.109699
612,0,-0.108644
613,0,-0.0990396
614,0,-0.0990431
615,0,-0.139153
616,0.240027,0.191045
617,0.238611,0.197317
618,0.236723,0.207961
619,0.238611,0.201687
620,0.236723,0.191032
621,0.241391,0.188943
622,0.226336,0.166421
623,0.233523,0.164339
624,0.223032,0.20986
625,0.223504,0.172887
626,0.220671,0.186662
627,0.22256,0.183527
628,0.224156,0.17602
629,0.223684,0.166414
630,0.218019,0.1633
631,0.218311,0.172878
632,0.212646,0.174974
633,0.212646,0.168693
634,0.206508,0.169741
635,0.209341,0.177061
636,0.207925,0.184561
637,0.208869,0.186678
638,0.207453,0.176018
639,0.203204,0.172888
640,0.210262,0.171833
641,0.203204,0.16643
642,0.199247,0.176024
643,0.197941,0.178287
644,0.201787,0.171844
645,0.202732,0.180381
646,0.20444,0.176029
647,0.205092,0.174977
648,0.206508,0.181413
649,0.20462,0.171844
650,0.202259,0.172885
651,0.197066,0.16973
652,0.200843,0.16014
653,0.200663,0.166421
654,0.201246,0.170787
655,0.207453,0.165371
656,0.206508,0.160136
657,0.203384,0.154715
658,0.19329,0.142855
659,0.188277,0.142857
660,0.181848,0.183152
661,0.178114,0.183152
662,0.181068,0.18315
663,0.178183,0.183147
664,0.176766,0.181056
665,0.179127,0.183151
666,0.179127,0.18751
667,0.178183,0.188549
668,0.179307,0.148442
669,0.178183,0.191692
670,0.175822,0.149487
671,0.177419,0.154716
672,0.17771,0.191697
673,0.17456,0.1917
674,0.178183,0.192748
675,0.180071,0.190482
676,0.177711,0.190473
677,0.178655,0.190487
678,0.182608,0.188554
679,0.181015,0.188553
680,0.182904,0.189606
681,0.185444,0.190476
682,0.1825,0.190482
683,0.183153,0.190483
684,0.176973,0.16081
685,0.169685,0.203183
686,0.165908,0.201087
687,0.16402,0.197774
688,0.165075,0.188185
689,0.164492,0.195683
690,0.165256,0.194641
691,0,-0.190511
692,0,-0.189461
693,0.168269,0.168299
694,0.152689,0.180001
695,0.140234,0.190474
696,0.138526,0.190474
697,0.138054,0.190469
698,0.136638,0.190474
699,0,-0.190476
700,0,-0.190478
701,0,-0.190476
702,0,-0.19048
703,0,-0.190473
704,0.133805,0.190478
705,0.134278,0.190476
706,0,-0.190476
707,0,-0.190474
708,0,-0.192384
709,0,-0.190474
710,0,-0.19047
711,0,-0.190474
712,0,-0.190478
713,0,-0.190476
714,0,-0.190474
715,0,-0.190476
716,0,-0.190476
717,0,-0.190474
718,0,-0.190476
719,0,-0.190476
720,0,-0.190476
721,0,-0.190478
722,0,-0.190476
723,0,-0.190478
724,0,-0.190474
725,0,-0.190474
726,0,-0.190476
727,0,-0.190478
728,0,-0.190478
729,0,-0.190476
730,0,-0.190476
731,0,-0.190476
732,0,-0.190476
733,0,-0.190476
734,0,-0.190478
735,0,-0.190478
736,0,-0.190478
737,0,-0.190476
738,0,-0.190476
739,0,-0.190476
740,0,-0.190476
741,0,-0.190476
742,0,-0.190476
743,0,-0.190478
744,0,-0.190476
745,0,-0.190476
746,0,-0.190476
747,0,-0.190476
748,0,-0.190476
749,0,-0.190476
750,0,-0.190478
751,0,-0.190476
752,0,-0.190476
753,0,-0.190476
754,0,-0.190476
755,0,-0.190476
756,0,-0.190474
757,0,-0.190476
758,0,-0.190478
759,0,-0.190476
760,0,-0.190476
761,0,-0.190476
762,0,-0.190476
763,0,-0.190476
764,0,-0.190476
765,0,-0.190476
766,0,-0.190476
767,0,-0.190476
768,0,-0.190476
769,0,-0.190476
770,0,-0.190476
771,0,-0.190476
772,0,-0.190476
773,0,-0.190476
774,0,-0.190476
775,0,-0.190476
776,0,-0.190476
777,0,-0.190476
778,0,-0.190476
779,0,-0.190476
780,0,-0.190478
781,0,-0.190476
782,0,-0.190476
783,0,-0.190476
784,0,-0.190476
785,0,-0.190476
786,0,-0.190476
787,0,-0.190476
788,0,-0.190476
789,0,-0.190476
790,0,-0.190476
791,0,-0.190474
792,0,-0.190476
793,0,-0.190476
794,0,-0.190476
795,0,-0.190476
796,0,-0.190476
797,0,-0.190476
798,0,-0.190476
799,0,-0.190474
800,0,-0.190476
801,0,-0.190476
802,0,-0.190476
803,0,-0.190476
804,0,-0.190476
805,0,-0.190476
806,0,-0.190476
807,0,-0.190476
808,0,-0.190476
809,0,-0.190476
810,0,-0.190476
811,0,-0.190476
812,0,-0.190476
813,0,-0.190476
814,0.133333,0.190476
815,0.133333,0.190476
816,0,-0.190476
817,0,-0.190476
818,0,-0.190476
819,0,-0.190476
820,0,-0.190476
821,0,-0.190476
822,0,-0.190476
823,0,-0.190476
824,0,-0.190476
825,0,-0.190476
826,0,-0.190476
827,0,-0.190476
828,0,-0.190476
829,0.133333,0.190476
830,0.133333,0.190476
831,0,-0.190476
832,0,-0.190476
833,0,-0.190476
834,0,-0.190476
835,0,-0.190476
836,0,-0.190476
837,0,-0.190476
838,0,-0.190476
839,0,-0.190476
840,0.133333,0.190476
841,0,-0.190476
842,0,-0.190476
843,0,-0.190476
844,0.133333,0.190476
845,0.133333,0.190476
846,0,-0.190476
847,0,-0.190476
848,0,-0.190476
849,0,-0.190476
850,0,-0.190476
851,0,-0.190476
852,0,-0.190476
853,0,-0.190476
854,0,-0.190476
855,0,-0.190476
856,0,-0.190476
857,0,-0.190476
858,0,-0.190476
859,0,-0.190476
860,0,-0.190476
861,0,-0.190476
862,0,-0.190476
863,0,-0.190476
864,0,-0.190476
865,0,-0.190476
866,0,-0.190476
867,0,-0.190476
868,0,-0.190476
869,0,-0.190476
870,0,-0.190476
871,0,-0.190476
872,0,-0.190476
873,0,-0.190476
874,0,-0.190476
875,0,-0.190476
876,0,-0.190476
877,0,-0.190476
878,0,-0.190476
879,0,-0.190476
880,0,-0.190476
881,0,-0.190476
882,0,-0.190476
883,0,-0.190476
884,0,-0.190476
885,0.133333,0.190476
886,0,-0.190476
887,0,-0.190476
888,0,-0.190476
889,0,-0.190476
890,0,-0.190476
891,0,-0.190476
892,0,-0.190476
893,0,-0.190476
894,0,-0.190476
895,0,-0.190476
896,0,-0.190476
897,0,-0.190476
898,0,-0.190476
899,0,-0.190476
900,0,-0.190476
901,0,-0.190476
902,0,-0.190476
903,0,-0.190476
904,0,-0.190476
905,0,-0.190476
906,0,-0.190476
907,0,-0.190476
908,0,-0.190476
909,0,-0.190476
910,0,-0.190476
911,0,-0.190476
912,0.133333,0.190476
913,0,-0.190476
914,0,-0.190474
915,0,-0.190476
916,0,-0.190476
917,0,-0.190476
918,0,-0.190476
919,0,-0.190476
920,0,-0.190476
921,0,-0.190476
922,0,-0.190476
923,0,-0.190476
924,0,-0.190476
925,0,-0.190476
926,0,-0.190476
927,0,-0.190476
928,0,-0.190476
929,0,-0.190476
930,0,-0.190476
931,0,-0.190476
932,0,-0.190476
933,0,-0.190476
934,0,-0.190476
935,0,-0.190476
936,0,-0.190476
937,0,-0.190476
938,0,-0.190476
939,0,-0.190476
940,0,-0.190476
941,0,-0.190476
942,0,-0.190476
943,0,-0.190476
944,0,-0.190476
945,0,-0.190476
946,0,-0.190476
947,0,-0.190476
948,0,-0.190476
949,0,-0.190476
950,0,-0.190476
951,0,-0.190476
952,0,-0.190476
953,0,-0.190476
954,0,-0.190476
955,0,-0.190476
956,0,-0.190476
957,0,-0.190476
958,0,-0.190476
959,0,-0.190476
960,0,-0.190476
961,0,-0.190476
962,0,-0.190476
963,0,-0.190476
964,0,-0.190476
965,0,-0.190476
966,0,-0.190476
967,0,-0.190476
968,0,-0.190476
969,0,-0.190476
970,0,-0.190476
971,0,-0.190476
972,0,-0.190476
973,0,-0.190476
974,0,-0.190476
975,0,-0.190476
976,0,-0.190476
977,0,-0.190476
978,0,-0.190476
979,0,-0.190476
980,0,-0.190476
981,0,-0.190476
982,0,-0.190476
983,0,-0.190476
984,0,-0.190476
985,0,-0.190476
986,0,-0.190476
987,0,-0.190476
988,0,-0.190476
989,0,-0.190476
990,0,-0.190476
991,0,-0.190476
992,0,-0.190476
993,0,-0.190476
994,0,-0.190476
995,0,-0.190476
996,0,-0.190476
997,0,-0.190476
998,0,-0.190476
999,0,-0.190476
1000,0,-0.190476
1001,0,-0.190476
1002,0,-0.190476
1003,0,-0.190476
1004,0,-0.190476
1005,0,-0.190476
1006,0,-0.190476
1007,0,-0.190476
1008,0,-0.190476
1009,0,-0.190476
1010,0,-0.190476
1011,0,-0.190476
1012,0,-0.190476
1013,0,-0.190476
1014,0,-0.190476
1015,0,-0.190476
1016,0,-0.190476
1017,0,-0.190476
1018,0,-0.190476
1019,0,-0.190476
1020,0,-0.190476
1021,0,-0.190476
1022,0,-0.190476
1023,0,-0.190476
1024,0,-0.190476
1025,0,-0.190476
1026,0,-0.190476
1027,0,-0.190476
1028,0,-0.190476
1029,0,-0.190476
1030,0,-0.190476
1031,0,-0.190476
1032,0,-0.190476
1033,0,-0.190476
1034,0,-0.190476
1035,0,-0.190476
1036,0,-0.190476
1037,0,-0.190476
1038,0,-0.190476
1039,0,-0.190476
1040,0,-0.190476
1041,0,-0.190476
1042,0,-0.190476
1043,0,-0.190476
1044,0,-0.190476
1045,0,-0.190476
1046,0,-0.190476
1047,0,-0.190476
1048,0,-0.190476
1049,0,-0.190476
1050,0,-0.190476
1051,0,-0.190476
1052,0,-0.190476
1053,0,-0.190476
1054,0,-0.190476
1055,0,-0.190476
1056,0,-0.190476
1057,0,-0.190476
1058,0,-0.190476
1059,0,-0.190476
1060,0,-0.190476
1061,0,-0.190476
1062,0,-0.190476
1063,0,-0.190476
1064,0,-0.190476
1065,0,-0.190476
1066,0,-0.190476
1067,0,-0.190476
1068,0,-0.190476
1069,0,-0.190476
1070,0,-0.190476
1071,0,-0.190476
1072,0,-0.190476
1073,0,-0.190476
1074,0,-0.190476
1075,0,-0.190476
1076,0,-0.190476
1077,0,-0.190476
1078,0,-0.190476
1079,0,-0.190476
