t_idx,best_total_cost
0,0.251863
1,0.245753
2,0.25087
3,0.27663
4,0.275106
5,0.29367
6,0.329249
7,0.347214
8,0.420216
9,0.402562
10,0.409253
11,0.452271
12,0.443933
13,0.456779
14,0.473622
15,0.480993
16,0.474219
17,0.490451
18,0.485562
19,0.49938
20,0.495371
21,0.500999
22,0.549115
23,0.557707
24,0.595873
25,0.559657
26,0.562789
27,0.505763
28,0.509791
29,0.511549
30,0.482152
31,0.515229
32,0.500314
33,0.502095
34,0.510429
35,0.51659
36,0.513398
37,0.510871
38,0.505645
39,0.520664
40,0.49567
41,0.477425
42,0.565814
43,0.51704
44,0.536697
45,0.539332
46,0.534889
47,0.533132
48,0.526114
49,0.52135
50,0.513792
51,0.521405
52,0.512336
53,0.519853
54,0.510292
55,0.503767
56,0.502969
57,0.501306
58,0.509683
59,0.513048
60,0.512645
61,0.522528
62,0.536994
63,0.5279
64,0.507385
65,0.507019
66,0.506784
67,0.509257
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0.54885
80,0.474651
81,0.520628
82,0.541607
83,0.482948
84,0.457151
85,0.406563
86,0.401868
87,0.434567
88,0.381375
89,0.291054
90,0.424106
91,0.418841
92,0.345234
93,0.301809
94,0.334711
95,0.356957
96,0.491021
97,0.47645
98,0.530579
99,0.529301
100,0.52479
101,0.476389
102,0.391059
103,0.418507
104,0.462717
105,0.469173
106,0.47819
107,0.465282
108,0.464709
109,0.529321
110,0
111,0
112,0.555303
113,0.586005
114,0.472576
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0.792281
138,0.775215
139,0.759752
140,0.729091
141,0.707167
142,0.661669
143,0.709004
144,0.726122
145,0.690306
146,0.655577
147,0.644388
148,0.661315
149,0.632921
150,0.508443
151,0.531938
152,0.483618
153,0.416617
154,0.435537
155,0.394752
156,0.39733
157,0.344096
158,0.307448
159,0.33678
160,0.194763
161,0.00581694
162,0.0171775
163,0.0179378
164,0.020208
165,0.00479609
166,0.00688612
167,0.00478043
168,0.047414
169,0.0309667
170,0.0261395
171,0.00472342
172,0.0489148
173,0.000556233
174,0.000397192
175,0.0151632
176,0.00139335
177,0.0887407
178,0.0867499
179,0.091085
180,0.0785069
181,0.046485
182,0.030716
183,0.0598091
184,0.00938703
185,0.0311421
186,0.103096
187,0.0722133
188,0.0334996
189,0.0705904
190,0.0625353
191,0.0871697
192,0.0817981
193,0.0648899
194,0.119388
195,0.118362
196,0.0954021
197,0.00176638
198,0
199,0.0160547
200,0.038742
201,0.0388599
202,0.135967
203,0.196186
204,0.238992
205,0.413504
206,0.397187
207,0.639807
208,0.601459
209,0.562486
210,0.542472
211,0.655826
212,0.654269
213,0.657007
214,0.659752
215,0.654175
216,0.675356
217,0.66449
218,0.664739
219,0.634107
220,0.642281
221,0.650012
222,0.669565
223,0.659326
224,0.67709
225,0.677208
226,0.686295
227,0.68946
228,0.698084
229,0.679513
230,0.552386
231,0.517205
232,0.501046
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0.146054
245,0.19844
246,0.225118
247,0.275553
248,0
249,0
250,0.109359
251,0.107803
252,0.114623
253,0.307867
254,0.254861
255,0.276769
256,0
257,0
258,0
259,0
260,0
261,0.575382
262,0.528726
263,0.499839
264,0.487722
265,0.473181
266,0.443792
267,0.42051
268,0.410732
269,0.402986
270,0.392906
271,0.394163
272,0.403343
273,0.401605
274,0.313758
275,0.164069
276,0.150271
277,0.0915387
