t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
79,1756708099.551491,2.825710,1.155454,0.846952,0.272246,0.229184,"odom"
80,1756708099.617137,2.835638,1.166794,0.859145,0.141108,0.151169,"odom"
81,1756708099.683899,2.859226,1.182923,0.860708,0.184667,-0.028608,"odom"
82,1756708099.750460,2.859199,1.213829,0.855483,0.135540,-0.180817,"odom"
83,1756708099.817132,2.864102,1.219384,0.840180,0.066772,-0.228821,"odom"
84,1756708099.883849,2.868170,1.234364,0.826756,0.061845,-0.232983,"odom"
85,1756708099.950468,2.867916,1.223791,0.810448,0.014900,-0.203034,"odom"
86,1756708100.017106,2.870889,1.226910,0.808156,0.019340,0.085347,"odom"
87,1756708100.083810,2.862853,1.259523,0.818750,0.033768,0.198408,"odom"
88,1756708100.150452,2.862893,1.259566,0.836075,0.001236,0.265530,"odom"
89,1756708100.217133,2.864577,1.240927,0.856925,0.000043,0.319773,"odom"
90,1756708100.283806,2.866428,1.232577,0.877425,0.008721,0.340059,"odom"
91,1756708100.350712,2.866889,1.233148,0.901481,0.009914,0.347539,"odom"
92,1756708100.417218,2.877607,1.234807,0.926404,0.008498,0.358021,"odom"
93,1756708100.483914,2.888322,1.236447,0.949012,0.009442,0.377197,"odom"
94,1756708100.550455,2.897693,1.246959,0.961805,0.021966,0.027891,"odom"
95,1756708100.617129,2.898575,1.248213,0.950639,0.008461,-0.262872,"odom"
96,1756708100.683814,2.889077,1.237404,0.931617,0.028437,-0.335304,"odom"
97,1756708100.750478,2.886967,1.245258,0.909281,0.044849,-0.306504,"odom"
98,1756708100.817118,2.889080,1.247900,0.887724,0.044931,-0.304459,"odom"
99,1756708100.883806,2.887811,1.246274,0.868201,0.045111,-0.331158,"odom"
100,1756708100.950455,2.883849,1.262503,0.844144,0.033630,-0.354523,"odom"
101,1756708101.017115,2.885751,1.264575,0.817932,0.036351,-0.374805,"odom"
102,1756708101.083801,2.872200,1.270113,0.794644,0.029742,-0.390701,"odom"
103,1756708101.150940,2.869535,1.277687,0.766544,0.025064,-0.400313,"odom"
104,1756708101.217180,2.871841,1.279825,0.736637,0.047390,-0.438687,"odom"
105,1756708101.283923,2.872601,1.270399,0.707678,0.042961,-0.491860,"odom"
106,1756708101.350454,2.855955,1.293396,0.672774,0.042849,-0.532355,"odom"
107,1756708101.417128,2.858766,1.295535,0.633660,0.037768,-0.554704,"odom"
108,1756708101.483801,2.843001,1.309623,0.601198,0.036824,-0.551558,"odom"
109,1756708101.550467,2.841811,1.308850,0.563185,0.034463,-0.534453,"odom"
110,1756708101.617121,2.843761,1.310032,0.525695,0.009055,-0.529250,"odom"
111,1756708101.683804,2.839178,1.326398,0.494034,0.011717,-0.529225,"odom"
112,1756708101.750461,2.822905,1.350134,0.456287,0.009803,-0.546233,"odom"
113,1756708101.817134,2.822778,1.350076,0.416529,-0.005554,-0.585587,"odom"
114,1756708101.883804,2.810163,1.356838,0.380248,-0.006819,-0.612368,"odom"
115,1756708101.950473,2.797843,1.363672,0.336219,-0.003108,-0.632538,"odom"
116,1756708102.017136,2.797457,1.363549,0.291983,-0.003777,-0.617539,"odom"
117,1756708102.083899,2.792973,1.389642,0.256009,-0.003305,-0.594149,"odom"
118,1756708102.150452,2.793214,1.389786,0.213507,0.000180,-0.602724,"odom"
119,1756708102.217107,2.793282,1.389798,0.168284,-0.002026,-0.647381,"odom"
120,1756708102.283801,2.777521,1.413840,0.130705,-0.004721,-0.610044,"odom"
121,1756708102.350471,2.777627,1.413848,0.087627,0.005426,-0.602760,"odom"
122,1756708102.417110,2.776434,1.422637,0.046614,-0.000971,-0.578089,"odom"
123,1756708102.483808,2.774732,1.431316,0.012125,0.006052,-0.562218,"odom"
124,1756708102.550466,2.757500,1.464105,-0.027654,0.000111,-0.569548,"odom"
125,1756708102.617121,2.757436,1.464107,-0.068447,0.004721,-0.592059,"odom"
126,1756708102.683830,2.756309,1.472831,-0.104717,0.003432,-0.584538,"odom"
127,1756708102.750663,2.740496,1.496972,-0.143639,0.007554,-0.531316,"odom"
128,1756708102.817117,2.741144,1.496864,-0.180168,0.011802,-0.506895,"odom"
129,1756708102.883913,2.739267,1.505627,-0.211384,0.009573,-0.518635,"odom"
130,1756708102.950473,2.737588,1.514341,-0.247249,0.022788,-0.490840,"odom"
131,1756708103.017156,2.740507,1.513536,-0.282550,0.037810,-0.473698,"odom"
132,1756708103.083817,2.745424,1.541843,-0.306684,0.036824,-0.404611,"odom"
133,1756708103.150480,2.750014,1.570422,-0.332645,0.043141,-0.379983,"odom"
134,1756708103.217120,2.753516,1.569149,-0.359802,0.043433,-0.382084,"odom"
135,1756708103.283820,2.753481,1.561041,-0.382431,0.043358,-0.345998,"odom"
136,1756708103.350467,2.756598,1.559736,-0.406378,0.039184,-0.338454,"odom"
137,1756708103.417116,2.752779,1.569227,-0.431058,0.040128,-0.367247,"odom"
138,1756708103.483805,2.755506,1.567928,-0.453661,0.040059,-0.379974,"odom"
139,1756708103.551181,2.783341,1.576036,-0.478621,0.043013,-0.364158,"odom"
140,1756708103.617149,2.786235,1.574477,-0.505265,0.039073,-0.385401,"odom"
141,1756708103.683918,2.804766,1.587959,-0.528342,0.035588,-0.406694,"odom"
142,1756708103.750479,2.802170,1.597279,-0.557082,0.039686,-0.410922,"odom"
143,1756708103.817138,2.804413,1.595831,-0.584174,0.033047,-0.360994,"odom"
144,1756708103.883799,2.802908,1.596764,-0.605009,0.028506,-0.337399,"odom"
145,1756708103.950447,2.811482,1.607933,-0.629070,0.031457,-0.350183,"odom"
146,1756708104.017123,2.813654,1.606302,-0.654425,0.033991,-0.358679,"odom"
147,1756708104.083824,2.823408,1.609099,-0.675201,0.034171,-0.351345,"odom"
148,1756708104.150482,2.830034,1.629406,-0.698159,0.030643,-0.325721,"odom"
149,1756708104.217154,2.831938,1.627764,-0.721726,0.028798,-0.343842,"odom"
150,1756708104.283843,2.833944,1.618617,-0.741362,0.065569,-0.307497,"odom"
151,1756708104.350532,2.841640,1.630738,-0.759971,0.066450,-0.261843,"odom"
152,1756708104.417109,2.846935,1.625596,-0.777220,0.082771,-0.228885,"odom"
153,1756708104.483987,2.853605,1.638789,-0.789661,0.117080,-0.232977,"odom"
154,1756708104.550460,2.865212,1.625774,-0.806106,0.090748,-0.234172,"odom"
155,1756708104.617109,2.872008,1.618554,-0.822863,0.101452,-0.227867,"odom"
156,1756708104.683814,2.889747,1.626682,-0.835665,0.155267,-0.288390,"odom"
157,1756708104.750458,2.898014,1.631571,-0.853338,0.084282,-0.288558,"odom"
158,1756708104.817109,2.905152,1.623208,-0.873223,0.104806,-0.264930,"odom"
159,1756708104.883800,2.913550,1.627921,-0.885535,0.187462,-0.205108,"odom"
160,1756708104.950457,2.931418,1.636648,-0.889897,0.154414,-0.073329,"odom"
161,1756708105.017125,2.941072,1.624678,-0.893261,0.217312,-0.031764,"odom"
162,1756708105.083835,2.948804,1.623851,-0.892811,0.198854,-0.010480,"odom"
163,1756708105.150912,2.955242,1.624614,-0.891680,0.211498,-0.009430,"odom"
164,1756708105.217145,2.966716,1.610381,-0.892817,0.215456,-0.013615,"odom"
165,1756708105.283907,2.988614,1.600727,-0.890189,0.224246,-0.023201,"odom"
166,1756708105.350467,2.995896,1.593631,-0.891685,0.219578,-0.032795,"odom"
167,1756708105.417122,3.007275,1.579500,-0.893821,0.210083,-0.024254,"odom"
168,1756708105.483816,3.017157,1.562386,-0.894475,0.256604,0.036519,"odom"
169,1756708105.550461,3.047723,1.557499,-0.882345,0.259155,0.085539,"odom"
170,1756708105.617128,3.062226,1.540032,-0.874368,0.264486,0.125839,"odom"
171,1756708105.683826,3.070267,1.525216,-0.867583,0.307338,0.140701,"odom"
172,1756708105.750457,3.069931,1.498160,-0.866487,0.307420,0.112078,"odom"
173,1756708105.817134,3.085074,1.480512,-0.858382,0.268915,0.116254,"odom"
174,1756708105.883797,3.101287,1.477428,-0.847225,0.268649,0.118350,"odom"
175,1756708105.950810,3.119616,1.471548,-0.834105,0.271413,0.125853,"odom"
176,1756708106.017158,3.135022,1.454730,-0.825957,0.276941,0.115401,"odom"
177,1756708106.083953,3.153327,1.441754,-0.816107,0.272390,0.136508,"odom"
178,1756708106.150459,3.151015,1.423131,-0.812025,0.290870,0.147166,"odom"
179,1756708106.217133,3.168058,1.405383,-0.801232,0.294503,0.150445,"odom"
180,1756708106.283850,3.195829,1.395511,-0.786771,0.285507,0.149424,"odom"
181,1756708106.350470,3.213036,1.378469,-0.776115,0.285035,0.157778,"odom"
182,1756708106.417150,3.217614,1.372950,-0.764251,0.292238,0.179080,"odom"
183,1756708106.483812,3.238378,1.349347,-0.755095,0.290854,0.159014,"odom"
184,1756708106.550465,3.257268,1.334408,-0.742826,0.288717,0.167397,"odom"
185,1756708106.617125,3.275502,1.317895,-0.731104,0.286091,0.160039,"odom"
