t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
0,1756708044.245069,-0.000967,-0.001050,-0.000003,0.000000,0.000000,"odom"
1,1756708044.311810,-0.000967,-0.001050,-0.000003,0.000000,0.000000,"odom"
2,1756708044.378464,-0.000967,-0.001050,-0.000003,0.000000,0.000000,"odom"
3,1756708044.445643,-0.000967,-0.001050,-0.000003,0.000000,0.000000,"odom"
4,1756708044.511701,-0.000967,-0.001050,-0.000003,0.000000,0.000000,"odom"
5,1756708044.578365,-0.002475,0.007617,-0.000003,0.000000,0.000000,"odom"
6,1756708044.644937,-0.002478,0.007634,-0.000003,0.000000,0.000000,"odom"
7,1756708044.711579,-0.002478,0.007634,-0.000003,0.000000,0.000000,"odom"
8,1756708044.778292,-0.002478,0.007634,-0.000003,0.000000,0.000000,"odom"
9,1756708044.844940,-0.002478,0.007634,-0.000003,0.000000,0.000000,"odom"
10,1756708044.911583,-0.002484,0.007634,-0.000005,0.000000,0.000000,"odom"
11,1756708044.978287,-0.000946,-0.001044,-0.000005,0.000000,0.000000,"odom"
12,1756708045.044904,-0.013416,0.005685,-0.000005,0.000000,0.000000,"odom"
13,1756708045.111585,-0.001748,0.007629,0.000854,0.054061,0.042661,"odom"
14,1756708045.178273,0.003196,0.007640,0.002838,0.071135,0.023740,"odom"
15,1756708045.244965,0.003193,-0.001031,0.004492,0.100772,0.035425,"odom"
16,1756708045.311586,0.010028,0.000868,0.007522,0.155087,0.051298,"odom"
17,1756708045.378440,0.020913,0.000969,0.010862,0.159569,0.060867,"odom"
18,1756708045.444914,0.025784,0.011576,0.015418,0.169483,0.049190,"odom"
19,1756708045.511612,0.041269,0.011839,0.018267,0.180341,0.028964,"odom"
20,1756708045.578259,0.047106,-0.003694,0.017348,0.193560,0.012911,"odom"
21,1756708045.644953,0.070990,0.001920,0.017050,0.192324,-0.033866,"odom"
22,1756708045.711579,0.087521,0.002170,0.013178,0.191852,-0.072248,"odom"
23,1756708045.778273,0.102192,0.005868,0.008981,0.190212,-0.084975,"odom"
24,1756708045.844903,0.117606,0.005963,0.004230,0.177036,-0.046588,"odom"
25,1756708045.911564,0.115258,0.007712,0.003483,0.185534,0.001215,"odom"
26,1756708045.978261,0.129135,0.007764,0.004025,0.194504,0.016227,"odom"
27,1756708046.044934,0.150854,0.024144,0.008247,0.192616,0.031060,"odom"
28,1756708046.111652,0.167107,0.024295,0.009968,0.190907,0.010818,"odom"
29,1756708046.178614,0.175761,0.036803,0.011988,0.188075,-0.001904,"odom"
30,1756708046.244920,0.189423,0.049298,0.013827,0.194530,0.002258,"odom"
31,1756708046.311607,0.208396,0.049565,0.014548,0.242457,0.015173,"odom"
32,1756708046.378283,0.220027,0.062068,0.017744,0.245490,0.015188,"odom"
33,1756708046.444920,0.236994,0.048434,0.014852,0.260056,-0.008199,"odom"
34,1756708046.511582,0.258947,0.048751,0.014132,0.266263,-0.010462,"odom"
35,1756708046.578263,0.270709,0.043703,0.012994,0.271859,0.005582,"odom"
36,1756708046.644932,0.287642,0.066721,0.018370,0.274580,-0.001922,"odom"
37,1756708046.711598,0.310062,0.067131,0.018352,0.265610,0.001226,"odom"
38,1756708046.778280,0.334556,0.064090,0.017501,0.269567,-0.007162,"odom"
39,1756708046.844931,0.339468,0.093811,0.023044,0.284229,-0.023201,"odom"
40,1756708046.911584,0.370534,0.090896,0.021220,0.283911,-0.016749,"odom"
41,1756708046.978750,0.391575,0.091327,0.019858,0.274639,-0.023201,"odom"
42,1756708047.044911,0.410100,0.096818,0.020323,0.277482,-0.025457,"odom"
43,1756708047.111567,0.446956,0.086990,0.016013,0.290839,-0.011507,"odom"
44,1756708047.178263,0.468045,0.087326,0.015797,0.292408,-0.014660,"odom"
45,1756708047.244904,0.490829,0.092939,0.016166,0.301378,-0.009413,"odom"
46,1756708047.311564,0.516574,0.093353,0.016034,0.299474,-0.000874,"odom"
47,1756708047.378278,0.543794,0.109605,0.019584,0.329812,-0.014647,"odom"
48,1756708047.444928,0.567470,0.106514,0.017122,0.281593,-0.023202,"odom"
49,1756708047.511593,0.591258,0.106917,0.016949,0.290864,0.011886,"odom"
50,1756708047.578281,0.612013,0.103786,0.017220,0.283678,0.019396,"odom"
51,1756708047.644941,0.629486,0.118056,0.022218,0.289730,0.025661,"odom"
52,1756708047.711609,0.654492,0.118638,0.023854,0.293018,0.013099,"odom"
53,1756708047.778898,0.673928,0.141722,0.030062,0.289851,0.009784,"odom"
54,1756708047.844913,0.683252,0.136538,0.030395,0.327255,0.026891,"odom"
55,1756708047.911566,0.707551,0.137310,0.032766,0.292228,0.043805,"odom"
56,1756708047.978286,0.739093,0.153509,0.039305,0.280426,0.044846,"odom"
57,1756708048.044941,0.762639,0.150266,0.040846,0.288700,0.032117,"odom"
58,1756708048.111580,0.787220,0.151293,0.042176,0.268931,0.013076,"odom"
59,1756708048.178292,0.808842,0.139080,0.039467,0.283173,0.018313,"odom"
60,1756708048.244915,0.825964,0.153007,0.044023,0.267886,0.017274,"odom"
61,1756708048.311635,0.851057,0.167228,0.048839,0.260889,0.023727,"odom"
62,1756708048.378267,0.870826,0.168209,0.050010,0.270984,0.018323,"odom"
63,1756708048.444914,0.894969,0.164849,0.050261,0.265791,0.026891,"odom"
64,1756708048.511675,0.918405,0.166055,0.051942,0.276357,0.014158,"odom"
65,1756708048.579005,0.936424,0.179939,0.056319,0.266846,0.021473,"odom"
66,1756708048.644941,0.949120,0.183340,0.058831,0.299109,0.020425,"odom"
67,1756708048.711598,0.972193,0.184716,0.059877,0.281370,0.012936,"odom"
68,1756708048.778391,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
69,1756708048.845104,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
70,1756708048.911695,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
71,1756708048.978480,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
72,1756708049.045029,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
73,1756708049.111768,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
74,1756708049.178665,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
75,1756708049.245095,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
76,1756708049.311824,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
77,1756708049.379072,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
78,1756708049.445055,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
79,1756708049.511716,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
80,1756708049.578871,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
81,1756708049.645156,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
82,1756708049.711715,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
83,1756708049.778395,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
84,1756708049.845133,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
85,1756708049.911696,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
86,1756708049.978738,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
87,1756708050.045054,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
88,1756708050.111826,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
89,1756708050.178399,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
90,1756708050.245128,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
91,1756708050.311719,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
92,1756708050.378482,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
93,1756708050.445122,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
94,1756708050.511744,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
95,1756708050.578540,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
96,1756708050.645123,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
97,1756708050.711793,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
98,1756708050.778460,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
99,1756708050.845042,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
100,1756708050.911831,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
101,1756708050.978382,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
102,1756708051.045106,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
103,1756708051.111798,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
104,1756708051.178380,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
105,1756708051.245040,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
106,1756708051.311797,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
107,1756708051.378482,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
108,1756708051.445029,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
109,1756708051.511729,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
110,1756708051.578918,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
111,1756708051.645076,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
112,1756708051.711755,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
113,1756708051.779035,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
114,1756708051.845160,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
115,1756708051.911717,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
116,1756708051.978850,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
117,1756708052.045036,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
118,1756708052.111774,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
119,1756708052.178863,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
120,1756708052.245046,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
121,1756708052.311800,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
122,1756708052.378478,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
123,1756708052.445038,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
124,1756708052.511752,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
125,1756708052.578357,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
126,1756708052.645041,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
127,1756708052.711690,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
128,1756708052.778375,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
129,1756708052.845036,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
130,1756708052.911684,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
131,1756708052.978661,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
132,1756708053.045032,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
133,1756708053.111818,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
134,1756708053.178478,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
135,1756708053.245056,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
136,1756708053.311778,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
137,1756708053.378506,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
138,1756708053.445067,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
139,1756708053.511813,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
140,1756708053.578390,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
141,1756708053.645125,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
142,1756708053.711786,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
143,1756708053.778477,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
144,1756708053.845127,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
145,1756708053.911794,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
146,1756708053.978476,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
147,1756708054.045075,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
148,1756708054.111860,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
149,1756708054.178444,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
150,1756708054.245034,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
151,1756708054.311737,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
152,1756708054.378508,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
153,1756708054.445120,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
154,1756708054.511795,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
155,1756708054.578398,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
156,1756708054.645057,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
157,1756708054.711749,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
158,1756708054.778477,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
159,1756708054.845068,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
160,1756708054.911788,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
161,1756708054.978379,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
162,1756708055.045107,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
163,1756708055.111690,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
164,1756708055.178366,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
165,1756708055.245039,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
166,1756708055.311703,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
167,1756708055.378385,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
168,1756708055.445037,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
169,1756708055.511707,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
170,1756708055.578781,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
171,1756708055.645040,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
172,1756708055.711718,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
173,1756708055.778418,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
174,1756708055.845035,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
175,1756708055.911713,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
176,1756708055.978376,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
177,1756708056.045028,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
178,1756708056.111709,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
179,1756708056.178446,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
180,1756708056.245029,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
181,1756708056.312194,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
182,1756708056.378378,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
183,1756708056.445076,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
184,1756708056.511697,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
185,1756708056.578432,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
186,1756708056.645045,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
187,1756708056.711714,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
188,1756708056.778517,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
189,1756708056.845032,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
190,1756708056.911714,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
191,1756708056.978456,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
192,1756708057.045076,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
193,1756708057.111746,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
194,1756708057.178439,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
195,1756708057.245028,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
196,1756708057.311944,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
197,1756708057.378401,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
198,1756708057.445126,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
199,1756708057.511708,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
200,1756708057.578470,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
201,1756708057.645069,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
202,1756708057.711751,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
203,1756708057.778482,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
204,1756708057.845023,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
205,1756708057.911710,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
206,1756708057.978615,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
207,1756708058.045080,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
208,1756708058.111850,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
209,1756708058.178381,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
210,1756708058.245230,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
211,1756708058.311726,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
212,1756708058.378414,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
213,1756708058.445104,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
214,1756708058.511699,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
215,1756708058.578505,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
216,1756708058.645122,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
217,1756708058.711759,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
218,1756708058.778579,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
219,1756708058.845046,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
220,1756708058.911830,0.985526,0.189392,0.061927,0.318403,0.027949,"odom"
