t_idx,v,w
0,0.133333,0
1,0.133333,0
2,0.133333,0
3,0.133333,0
4,0.133333,0
5,0.133333,0
6,0.133333,0
7,0.133333,0
8,0.133333,0
9,0.133333,0
10,0.133333,0
11,0.133333,0
12,0.133333,0
13,0.187394,-0.0049583
14,0.204468,-0.0238793
15,0.234105,-0.0121945
16,0.28842,0.0036785
17,0.292902,0.0132482
18,0.302816,0.00157047
19,0.313674,-0.0186552
20,0.326893,0.0129108
21,0.325657,0.0137532
22,0.325185,-0.0246286
23,0.323546,0.0102629
24,0.31037,0.00103099
25,0.318867,0.00121531
26,0.327837,0.0162274
27,0.325949,-0.0165592
28,0.324241,0.0108183
29,0.321408,-0.00190396
30,0.327864,0.00225802
31,0.375791,-0.0324465
32,0.378824,-0.0324308
33,0.39339,-0.00819914
34,0.399596,-0.0104625
35,0.405192,0.00558175
36,0.407913,-0.00192166
37,0.398944,0.00122593
38,0.402901,-0.00716174
39,0.417562,-0.0232006
40,0.417244,-0.0167488
41,0.407972,-0.0232006
42,0.410815,-0.0254569
43,0.424172,-0.0115069
44,0.425742,-0.0146598
45,0.434711,-0.00941268
46,0.432807,-0.000873642
47,0.463146,-0.0146474
48,0.414926,-0.0232024
49,0.424198,-0.0357333
50,0.417011,-0.0282228
51,0.423063,-0.0219577
52,0.426351,-0.0345197
53,0.423185,-0.0378346
54,0.460589,-0.020728
55,0.425561,-0.0514329
56,0.413759,-0.050392
57,0.422034,-0.0155023
58,0.402264,-0.0345427
59,0.416506,-0.0293062
60,0.401219,-0.0303454
61,0.394223,-0.0715108
62,0.404317,-0.0292956
63,0.399124,-0.0683473
64,0.40969,-0.0334611
65,0.40018,-0.0737653
66,0.432443,-0.0271936
67,0.414703,-0.0346835
68,0.451736,-0.067289
69,0.451736,-0.067289
70,0.451736,-0.067289
71,0.451736,-0.067289
72,0.451736,-0.067289
73,0.451736,-0.067289
74,0.451736,-0.067289
75,0.451736,-0.067289
76,0.451736,-0.067289
77,0.451736,-0.067289
78,0.451736,-0.067289
79,0.451736,-0.067289
80,0.451736,-0.067289
81,0.451736,-0.067289
82,0.451736,-0.067289
83,0.451736,-0.067289
84,0.451736,-0.067289
85,0.451736,-0.067289
86,0.451736,-0.067289
87,0.451736,-0.067289
88,0.451736,-0.067289
89,0.451736,-0.067289
90,0.451736,-0.067289
91,0.451736,-0.067289
92,0.451736,-0.067289
93,0.451736,-0.067289
94,0.451736,-0.067289
95,0.451736,-0.067289
96,0.451736,-0.067289
97,0.451736,-0.067289
98,0.451736,-0.067289
99,0.451736,-0.067289
100,0.451736,-0.067289
101,0.451736,-0.067289
102,0.451736,-0.067289
103,0.451736,-0.067289
104,0.451736,-0.067289
105,0.451736,-0.067289
106,0.451736,-0.067289
107,0.451736,-0.067289
108,0.451736,-0.067289
109,0.451736,-0.067289
110,0.451736,-0.067289
111,0.451736,-0.067289
112,0.451736,-0.067289
113,0.451736,-0.067289
114,0.451736,-0.067289
115,0.451736,-0.067289
116,0.451736,-0.067289
117,0.451736,-0.067289
118,0.451736,-0.067289
119,0.451736,-0.067289
120,0.451736,-0.067289
121,0.451736,-0.067289
122,0.451736,-0.067289
123,0.451736,-0.067289
124,0.451736,-0.067289
125,0.451736,-0.067289
126,0.451736,-0.067289
127,0.451736,-0.067289
128,0.451736,-0.067289
129,0.451736,-0.067289
130,0.451736,-0.067289
131,0.451736,-0.067289
132,0.451736,-0.067289
133,0.451736,-0.067289
134,0.451736,-0.067289
135,0.451736,-0.067289
136,0.451736,-0.067289
137,0.451736,-0.067289
138,0.451736,-0.067289
139,0.451736,-0.067289
140,0.451736,-0.067289
141,0.451736,-0.067289
142,0.451736,-0.067289
143,0.451736,-0.067289
144,0.451736,-0.067289
145,0.451736,-0.067289
146,0.451736,-0.067289
147,0.451736,-0.067289
148,0.451736,-0.067289
149,0.451736,-0.067289
150,0.451736,-0.067289
151,0.451736,-0.067289
152,0.451736,-0.067289
153,0.451736,-0.067289
154,0.451736,-0.067289
155,0.451736,-0.067289
156,0.451736,-0.067289
157,0.451736,-0.067289
158,0.451736,-0.067289
159,0.451736,-0.067289
160,0.451736,-0.067289
161,0.451736,-0.067289
162,0.451736,-0.067289
163,0.451736,-0.067289
164,0.451736,-0.067289
165,0.451736,-0.067289
166,0.451736,-0.067289
167,0.451736,-0.067289
168,0.451736,-0.067289
169,0.451736,-0.067289
170,0.451736,-0.067289
171,0.451736,-0.067289
172,0.451736,-0.067289
173,0.451736,-0.067289
174,0.451736,-0.067289
175,0.451736,-0.067289
176,0.451736,-0.067289
177,0.451736,-0.067289
178,0.451736,-0.067289
179,0.451736,-0.067289
180,0.451736,-0.067289
181,0.451736,-0.067289
182,0.451736,-0.067289
183,0.451736,-0.067289
184,0.451736,-0.067289
185,0.451736,-0.067289
186,0.451736,-0.067289
187,0.451736,-0.067289
188,0.451736,-0.067289
189,0.451736,-0.067289
190,0.451736,-0.067289
191,0.451736,-0.067289
192,0.451736,-0.067289
193,0.451736,-0.067289
194,0.451736,-0.067289
195,0.451736,-0.067289
196,0.451736,-0.067289
197,0.451736,-0.067289
198,0.451736,-0.067289
199,0.451736,-0.067289
200,0.451736,-0.067289
201,0.451736,-0.067289
202,0.451736,-0.067289
203,0.451736,-0.067289
204,0.451736,-0.067289
205,0.451736,-0.067289
206,0.451736,-0.067289
207,0.451736,-0.067289
208,0.451736,-0.067289
209,0.451736,-0.067289
210,0.451736,-0.067289
211,0.451736,-0.067289
212,0.451736,-0.067289
213,0.451736,-0.067289
214,0.451736,-0.067289
215,0.451736,-0.067289
216,0.451736,-0.067289
217,0.451736,-0.067289
218,0.451736,-0.067289
219,0.451736,-0.067289
220,0.451736,-0.067289
221,0.451736,-0.067289
222,0.451736,-0.067289
223,0.451736,-0.067289
