t_idx,sample_idx,obstacle,path,alignment,goal,center
0,0,0,0.00105025,0.212719,4,3.88414
0,1,0,0.00105025,0.205356,4,3.80364
0,2,0,0.00105025,0.188754,4,3.71234
0,3,0,0.00105025,0.163289,4,3.61871
0,4,0,0.00105025,0.129907,4,3.53212
0,5,0,0.00105025,0.0900729,4,3.46184
0,6,0,0.00105025,0.0456831,4,3.41596
0,7,0,0.00105025,0.00112901,4,3.4
0,8,0,0.00105025,0.0478721,4,3.41595
0,9,0,0.00105025,0.0922542,4,3.46183
0,10,0,0.00105025,0.132076,4,3.5321
0,11,0,0.00105025,0.165442,4,3.6187
0,12,0,0.00105025,0.190888,4,3.71232
0,13,0,0.00105025,0.207468,4,3.80363
0,14,0,0.00105025,0.214811,4,3.88413
0,15,0,0.0185707,0.195199,3.97565,3.86264
0,16,0,0.0170707,0.189335,3.9673,3.77427
0,17,0,0.0151492,0.174655,3.95925,3.67493
0,18,0,0.0128425,0.151497,3.95193,3.5735
0,19,0,0.0102042,0.120753,3.94575,3.47988
0,20,0,0.00730285,0.0838203,3.94106,3.40395
0,21,0,0.00421908,0.0425143,3.93814,3.35438
0,22,0,0.00104199,0.00112076,3.93714,3.33714
0,23,0,0.00263974,0.0446869,3.93814,3.35438
0,24,0,0.00559423,0.0859856,3.94106,3.40394
0,25,0,0.00843901,0.122906,3.94575,3.47986
0,26,0,0.0110415,0.153635,3.95193,3.57349
0,27,0,0.013326,0.176776,3.95925,3.67491
0,28,0,0.0152272,0.191436,3.9673,3.77426
0,29,0,0.0167153,0.197279,3.97565,3.86263
0,30,0,0.0360911,0.177679,3.9518,3.8417
0,31,0,0.0330911,0.173315,3.93506,3.74546
0,32,0,0.0292481,0.160557,3.91889,3.63801
0,33,0,0.0246347,0.139705,3.90415,3.52869
0,34,0,0.0193582,0.111599,3.89169,3.42791
0,35,0,0.0135555,0.0775677,3.88222,3.3462
0,36,0,0.00738792,0.0393454,3.8763,3.29285
0,37,0,0.00103374,0.00111251,3.87429,3.27429
0,38,0,0.00569485,0.0415017,3.8763,3.29284
0,39,0,0.0117714,0.079717,3.88222,3.34619
0,40,0,0.0175327,0.113737,3.89169,3.4279
0,41,0,0.0227863,0.141829,3.90415,3.52867
0,42,0,0.0273786,0.162663,3.91889,3.638
0,43,0,0.0312108,0.175403,3.93506,3.74544
0,44,0,0.0341997,0.179748,3.9518,3.84169
0,45,0,0.0536115,0.160158,3.92847,3.82132
0,46,0,0.0491115,0.157294,3.90331,3.7172
0,47,0,0.043347,0.146458,3.87893,3.60161
0,48,0,0.036427,0.127913,3.85668,3.48429
0,49,0,0.0285121,0.102445,3.83782,3.37623
0,50,0,0.0198081,0.0713151,3.82347,3.2886
0,51,0,0.0105568,0.0361766,3.81449,3.23135
0,52,0,0.00102549,0.00110426,3.81143,3.21143
0,53,0,0.00882395,0.0383165,3.81449,3.23135
0,54,0,0.0179995,0.0734484,3.82347,3.28859
0,55,0,0.0266697,0.104568,3.83782,3.37622
0,56,0,0.0345654,0.130022,3.85668,3.48428
0,57,0,0.0414695,0.148551,3.87893,3.60159
0,58,0,0.0472178,0.15937,3.90331,3.71718
0,59,0,0.0517067,0.162216,3.92847,3.82131
0,60,0,0.0711319,0.142638,3.90566,3.80152
0,61,0,0.065132,0.141274,3.87204,3.68951
0,62,0,0.0574459,0.132359,3.8394,3.56573
0,63,0,0.0482192,0.11612,3.80953,3.44033
0,64,0,0.0376661,0.0932908,3.78416,3.32485
0,65,0,0.0260607,0.0650625,3.76481,3.23116
0,66,0,0.0137256,0.0330078,3.7527,3.1699
0,67,0,0.00101724,0.00109601,3.74857,3.14857
0,68,0,0.0119741,0.0351313,3.7527,3.16989
0,69,0,0.0242465,0.0671798,3.76481,3.23115
0,70,0,0.0358222,0.0953984,3.78416,3.32483
0,71,0,0.0463549,0.118215,3.80953,3.44031
0,72,0,0.0555629,0.134439,3.8394,3.56571
0,73,0,0.06324,0.143337,3.87204,3.68949
0,74,0,0.0692305,0.144685,3.90566,3.8015
0,75,0,0.0886523,0.125117,3.88339,3.7823
0,76,0,0.0811524,0.125253,3.84129,3.66241
0,77,0,0.0715448,0.11826,3.8003,3.53039
0,78,0,0.0600115,0.104328,3.7627,3.39682
0,79,0,0.04682,0.0841369,3.7307,3.27378
0,80,0,0.0323133,0.0588099,3.70626,3.17388
0,81,0,0.0168944,0.0298389,3.69094,3.1085
0,82,0,0.00100899,0.00108775,3.68571,3.08571
0,83,0,0.0151376,0.0319461,3.69094,3.10849
0,84,0,0.0304963,0.0609112,3.70626,3.17387
0,85,0,0.0449785,0.0862291,3.7307,3.27377
0,86,0,0.058147,0.106408,3.7627,3.39679
0,87,0,0.0696699,0.120326,3.8003,3.53037
0,88,0,0.0792663,0.127305,3.84129,3.66239
0,89,0,0.0867544,0.127154,3.88339,3.78228
0,90,0,0.106173,0.109428,3.86166,3.76367
0,91,0,0.0971728,0.109233,3.81104,3.63591
0,92,0,0.0856437,0.104161,3.76164,3.49562
0,93,0,0.0718037,0.0925358,3.71621,3.35377
0,94,0,0.055974,0.0749829,3.67747,3.22305
0,95,0,0.0385659,0.0525573,3.64782,3.11678
0,96,0,0.0200633,0.0266701,3.62921,3.04714
0,97,0,0.00100073,0.0010795,3.62286,3.02286
0,98,0,0.0183041,0.0287609,3.62921,3.04713
0,99,0,0.0367561,0.0546427,3.64782,3.11676
0,100,0,0.0541348,0.0770598,3.67747,3.22303
0,101,0,0.0699494,0.0946016,3.71621,3.35374
0,102,0,0.0837768,0.106214,3.76164,3.49559
0,103,0,0.0952925,0.111272,3.81104,3.63589
0,104,0,0.104278,0.111226,3.86166,3.76365
0,105,0,0.123693,0.0989136,3.84048,3.74564
0,106,0,0.113193,0.0940892,3.78132,3.61003
0,107,0,0.0997426,0.090062,3.72344,3.46142
0,108,0,0.0835959,0.0807436,3.67008,3.3112
0,109,0,0.0651279,0.065829,3.62446,3.17266
0,110,0,0.0448185,0.0463047,3.5895,3.05986
0,111,0,0.0232321,0.0235013,3.5675,2.98583
0,112,0,0.000992482,0.00107125,3.56,2.96
0,113,0,0.0214784,0.0255756,3.5675,2.98583
0,114,0,0.043016,0.0483741,3.5895,3.05984
0,115,0,0.0632972,0.0678905,3.62446,3.17263
0,116,0,0.0817518,0.0827948,3.67008,3.31118
0,117,0,0.0978838,0.0921014,3.72344,3.46139
0,118,0,0.111319,0.0960024,3.78132,3.61
0,119,0,0.121802,0.100475,3.84048,3.74562
0,120,0,0.141214,0.0927539,3.81987,3.72822
0,121,0,0.129214,0.0840251,3.75215,3.58476
0,122,0,0.113842,0.0767564,3.68571,3.42781
0,123,0,0.0953882,0.0689513,3.62431,3.26914
0,124,0,0.0742819,0.056675,3.5717,3.12262
0,125,0,0.0510711,0.0400521,3.53129,3.00313
0,126,0,0.0264009,0.0203324,3.50584,2.92458
0,127,0,0.00098423,0.001063,3.49714,2.89714
0,128,0,0.0246526,0.0223904,3.50584,2.92457
0,129,0,0.0492759,0.0421055,3.53129,3.00311
0,130,0,0.0724632,0.0587212,3.5717,3.1226
