t_idx,sample_idx,obstacle,path,alignment,goal,center
0,0,0,0.000470768,0.990219,1,1
0,1,0,0.000470768,0.955776,1,0.94099
0,2,0,0.000470768,0.878126,1,0.874061
0,3,0,0.000470768,0.759017,1,0.805429
0,4,0,0.000470768,0.602876,1,0.741946
0,5,0,0.000470768,0.41656,1,0.69043
0,6,0,0.000470768,0.208935,1,0.656794
0,7,0,0.000470768,0.000540358,1,0.645097
0,8,0,0.000470768,0.219173,1,0.656791
0,9,0,0.000470768,0.426763,1,0.690424
0,10,0,0.000470768,0.613021,1,0.741938
0,11,0,0.000470768,0.769087,1,0.80542
0,12,0,0.000470768,0.888106,1,0.874052
0,13,0,0.000470768,0.965658,1,0.940981
0,14,0,0.000470768,1,1,0.999993
0,15,0,0.0718657,0.90827,0.972325,0.984242
0,16,0,0.0657534,0.880843,0.962838,0.919464
0,17,0,0.0579232,0.812181,0.95369,0.846636
0,18,0,0.0485237,0.703861,0.945375,0.772285
0,19,0,0.0377727,0.56006,0.938355,0.703651
0,20,0,0.0259499,0.387315,0.933028,0.647994
0,21,0,0.0133836,0.194113,0.929702,0.611656
0,22,0,0.000437142,0.000501761,0.928571,0.599019
0,23,0,0.00694789,0.204275,0.929702,0.611653
0,24,0,0.0189873,0.397443,0.933028,0.647987
0,25,0,0.0305797,0.570133,0.938355,0.703642
0,26,0,0.0411848,0.713863,0.945375,0.772275
0,27,0,0.0504938,0.822098,0.95369,0.846626
0,28,0,0.0582413,0.890668,0.962838,0.919454
0,29,0,0.0643053,0.918,0.972325,0.984234
0,30,0,0.143261,0.826321,0.945225,0.968891
0,31,0,0.131036,0.80591,0.926208,0.898339
0,32,0,0.115376,0.746236,0.907827,0.819575
0,33,0,0.0965765,0.648705,0.891084,0.739435
0,34,0,0.0750747,0.517244,0.876921,0.665557
0,35,0,0.051429,0.358069,0.866158,0.605661
0,36,0,0.0262965,0.179291,0.859431,0.566547
0,37,0,0.000403515,0.000463164,0.857143,0.55294
0,38,0,0.0193973,0.189377,0.859431,0.566543
0,39,0,0.044159,0.368122,0.866158,0.605654
