t_idx,sample_idx,v,w
0,0,0,-0.333333
0,1,0,-0.285714
0,2,0,-0.238095
0,3,0,-0.190476
0,4,0,-0.142857
0,5,0,-0.0952381
0,6,0,-0.047619
0,7,0,0
0,8,0,0.047619
0,9,0,0.0952381
0,10,0,0.142857
0,11,0,0.190476
0,12,0,0.238095
0,13,0,0.285714
0,14,0,0.333333
0,15,0.00952381,-0.333333
0,16,0.00952381,-0.285714
0,17,0.00952381,-0.238095
0,18,0.00952381,-0.190476
0,19,0.00952381,-0.142857
0,20,0.00952381,-0.0952381
0,21,0.00952381,-0.047619
0,22,0.00952381,0
0,23,0.00952381,0.047619
0,24,0.00952381,0.0952381
0,25,0.00952381,0.142857
0,26,0.00952381,0.190476
0,27,0.00952381,0.238095
0,28,0.00952381,0.285714
0,29,0.00952381,0.333333
0,30,0.0190476,-0.333333
0,31,0.0190476,-0.285714
0,32,0.0190476,-0.238095
0,33,0.0190476,-0.190476
0,34,0.0190476,-0.142857
0,35,0.0190476,-0.0952381
0,36,0.0190476,-0.047619
0,37,0.0190476,0
0,38,0.0190476,0.047619
0,39,0.0190476,0.0952381
0,40,0.0190476,0.142857
0,41,0.0190476,0.190476
0,42,0.0190476,0.238095
0,43,0.0190476,0.285714
0,44,0.0190476,0.333333
0,45,0.0285714,-0.333333
0,46,0.0285714,-0.285714
0,47,0.0285714,-0.238095
0,48,0.0285714,-0.190476
0,49,0.0285714,-0.142857
0,50,0.0285714,-0.0952381
0,51,0.0285714,-0.047619
0,52,0.0285714,0
0,53,0.0285714,0.047619
0,54,0.0285714,0.0952381
0,55,0.0285714,0.142857
0,56,0.0285714,0.190476
0,57,0.0285714,0.238095
0,58,0.0285714,0.285714
0,59,0.0285714,0.333333
0,60,0.0380952,-0.333333
0,61,0.0380952,-0.285714
0,62,0.0380952,-0.238095
0,63,0.0380952,-0.190476
0,64,0.0380952,-0.142857
0,65,0.0380952,-0.0952381
0,66,0.0380952,-0.047619
0,67,0.0380952,0
0,68,0.0380952,0.047619
0,69,0.0380952,0.0952381
0,70,0.0380952,0.142857
0,71,0.0380952,0.190476
0,72,0.0380952,0.238095
0,73,0.0380952,0.285714
0,74,0.0380952,0.333333
0,75,0.047619,-0.333333
0,76,0.047619,-0.285714
0,77,0.047619,-0.238095
0,78,0.047619,-0.190476
0,79,0.047619,-0.142857
0,80,0.047619,-0.0952381
0,81,0.047619,-0.047619
0,82,0.047619,0
0,83,0.047619,0.047619
0,84,0.047619,0.0952381
0,85,0.047619,0.142857
0,86,0.047619,0.190476
0,87,0.047619,0.238095
0,88,0.047619,0.285714
0,89,0.047619,0.333333
0,90,0.0571429,-0.333333
0,91,0.0571429,-0.285714
0,92,0.0571429,-0.238095
0,93,0.0571429,-0.190476
0,94,0.0571429,-0.142857
0,95,0.0571429,-0.0952381
0,96,0.0571429,-0.047619
0,97,0.0571429,0
0,98,0.0571429,0.047619
0,99,0.0571429,0.0952381
0,100,0.0571429,0.142857
0,101,0.0571429,0.190476
0,102,0.0571429,0.238095
0,103,0.0571429,0.285714
0,104,0.0571429,0.333333
0,105,0.0666667,-0.333333
0,106,0.0666667,-0.285714
0,107,0.0666667,-0.238095
0,108,0.0666667,-0.190476
0,109,0.0666667,-0.142857
0,110,0.0666667,-0.0952381
0,111,0.0666667,-0.047619
0,112,0.0666667,0
0,113,0.0666667,0.047619
0,114,0.0666667,0.0952381
0,115,0.0666667,0.142857
0,116,0.0666667,0.190476
0,117,0.0666667,0.238095
0,118,0.0666667,0.285714
0,119,0.0666667,0.333333
0,120,0.0761905,-0.333333
0,121,0.0761905,-0.285714
0,122,0.0761905,-0.238095
0,123,0.0761905,-0.190476
0,124,0.0761905,-0.142857
0,125,0.0761905,-0.0952381
0,126,0.0761905,-0.047619
0,127,0.0761905,0
0,128,0.0761905,0.047619
0,129,0.0761905,0.0952381
0,130,0.0761905,0.142857
0,131,0.0761905,0.190476
0,132,0.0761905,0.238095
0,133,0.0761905,0.285714
0,134,0.0761905,0.333333
0,135,0.0857143,-0.333333
0,136,0.0857143,-0.285714
0,137,0.0857143,-0.238095
0,138,0.0857143,-0.190476
0,139,0.0857143,-0.142857
0,140,0.0857143,-0.0952381
0,141,0.0857143,-0.047619
0,142,0.0857143,0
0,143,0.0857143,0.047619
0,144,0.0857143,0.0952381
0,145,0.0857143,0.142857
0,146,0.0857143,0.190476
0,147,0.0857143,0.238095
0,148,0.0857143,0.285714
0,149,0.0857143,0.333333
0,150,0.0952381,-0.333333
0,151,0.0952381,-0.285714
0,152,0.0952381,-0.238095
0,153,0.0952381,-0.190476
0,154,0.0952381,-0.142857
0,155,0.0952381,-0.0952381
0,156,0.0952381,-0.047619
0,157,0.0952381,0
0,158,0.0952381,0.047619
0,159,0.0952381,0.0952381
0,160,0.0952381,0.142857
0,161,0.0952381,0.190476
0,162,0.0952381,0.238095
0,163,0.0952381,0.285714
0,164,0.0952381,0.333333
0,165,0.104762,-0.333333
0,166,0.104762,-0.285714
0,167,0.104762,-0.238095
0,168,0.104762,-0.190476
0,169,0.104762,-0.142857
0,170,0.104762,-0.0952381
0,171,0.104762,-0.047619
0,172,0.104762,0
0,173,0.104762,0.047619
0,174,0.104762,0.0952381
0,175,0.104762,0.142857
0,176,0.104762,0.190476
0,177,0.104762,0.238095
0,178,0.104762,0.285714
0,179,0.104762,0.333333
0,180,0.114286,-0.333333
0,181,0.114286,-0.285714
0,182,0.114286,-0.238095
0,183,0.114286,-0.190476
0,184,0.114286,-0.142857
0,185,0.114286,-0.0952381
0,186,0.114286,-0.047619
0,187,0.114286,0
0,188,0.114286,0.047619
0,189,0.114286,0.0952381
0,190,0.114286,0.142857
0,191,0.114286,0.190476
0,192,0.114286,0.238095
0,193,0.114286,0.285714
0,194,0.114286,0.333333
0,195,0.12381,-0.333333
0,196,0.12381,-0.285714
0,197,0.12381,-0.238095
0,198,0.12381,-0.190476
0,199,0.12381,-0.142857
0,200,0.12381,-0.0952381
0,201,0.12381,-0.047619
0,202,0.12381,0
0,203,0.12381,0.047619
0,204,0.12381,0.0952381
0,205,0.12381,0.142857
0,206,0.12381,0.190476
0,207,0.12381,0.238095
0,208,0.12381,0.285714
0,209,0.12381,0.333333
0,210,0.133333,-0.333333
0,211,0.133333,-0.285714
0,212,0.133333,-0.238095
0,213,0.133333,-0.190476
0,214,0.133333,-0.142857
0,215,0.133333,-0.0952381
0,216,0.133333,-0.047619
0,217,0.133333,0
0,218,0.133333,0.047619
0,219,0.133333,0.0952381
0,220,0.133333,0.142857
0,221,0.133333,0.190476
0,222,0.133333,0.238095
0,223,0.133333,0.285714
0,224,0.133333,0.333333
1,0,0,-0.333333
1,1,0,-0.285714
1,2,0,-0.238095
1,3,0,-0.190476
1,4,0,-0.142857
1,5,0,-0.0952381
1,6,0,-0.047619
1,7,0,0
1,8,0,0.047619
1,9,0,0.0952381
1,10,0,0.142857
1,11,0,0.190476
1,12,0,0.238095
1,13,0,0.285714
1,14,0,0.333333
1,15,0.00952381,-0.333333
1,16,0.00952381,-0.285714
1,17,0.00952381,-0.238095
1,18,0.00952381,-0.190476
1,19,0.00952381,-0.142857
1,20,0.00952381,-0.0952381
1,21,0.00952381,-0.047619
1,22,0.00952381,0
1,23,0.00952381,0.047619
1,24,0.00952381,0.0952381
1,25,0.00952381,0.142857
1,26,0.00952381,0.190476
1,27,0.00952381,0.238095
1,28,0.00952381,0.285714
1,29,0.00952381,0.333333
1,30,0.0190476,-0.333333
1,31,0.0190476,-0.285714
1,32,0.0190476,-0.238095
1,33,0.0190476,-0.190476
1,34,0.0190476,-0.142857
1,35,0.0190476,-0.0952381
1,36,0.0190476,-0.047619
1,37,0.0190476,0
1,38,0.0190476,0.047619
1,39,0.0190476,0.0952381
1,40,0.0190476,0.142857
1,41,0.0190476,0.190476
1,42,0.0190476,0.238095
1,43,0.0190476,0.285714
1,44,0.0190476,0.333333
1,45,0.0285714,-0.333333
1,46,0.0285714,-0.285714
1,47,0.0285714,-0.238095
1,48,0.0285714,-0.190476
1,49,0.0285714,-0.142857
1,50,0.0285714,-0.0952381
1,51,0.0285714,-0.047619
1,52,0.0285714,0
1,53,0.0285714,0.047619
1,54,0.0285714,0.0952381
1,55,0.0285714,0.142857
1,56,0.0285714,0.190476
1,57,0.0285714,0.238095
1,58,0.0285714,0.285714
1,59,0.0285714,0.333333
1,60,0.0380952,-0.333333
1,61,0.0380952,-0.285714
1,62,0.0380952,-0.238095
1,63,0.0380952,-0.190476
1,64,0.0380952,-0.142857
1,65,0.0380952,-0.0952381
1,66,0.0380952,-0.047619
1,67,0.0380952,0
1,68,0.0380952,0.047619
1,69,0.0380952,0.0952381
1,70,0.0380952,0.142857
1,71,0.0380952,0.190476
1,72,0.0380952,0.238095
1,73,0.0380952,0.285714
1,74,0.0380952,0.333333
1,75,0.047619,-0.333333
1,76,0.047619,-0.285714
1,77,0.047619,-0.238095
1,78,0.047619,-0.190476
1,79,0.047619,-0.142857
1,80,0.047619,-0.0952381
1,81,0.047619,-0.047619
1,82,0.047619,0
1,83,0.047619,0.047619
1,84,0.047619,0.0952381
1,85,0.047619,0.142857
1,86,0.047619,0.190476
1,87,0.047619,0.238095
1,88,0.047619,0.285714
1,89,0.047619,0.333333
1,90,0.0571429,-0.333333
1,91,0.0571429,-0.285714
1,92,0.0571429,-0.238095
1,93,0.0571429,-0.190476
1,94,0.0571429,-0.142857
1,95,0.0571429,-0.0952381
1,96,0.0571429,-0.047619
1,97,0.0571429,0
1,98,0.0571429,0.047619
1,99,0.0571429,0.0952381
1,100,0.0571429,0.142857
1,101,0.0571429,0.190476
1,102,0.0571429,0.238095
1,103,0.0571429,0.285714
1,104,0.0571429,0.333333
1,105,0.0666667,-0.333333
1,106,0.0666667,-0.285714
1,107,0.0666667,-0.238095
1,108,0.0666667,-0.190476
1,109,0.0666667,-0.142857
1,110,0.0666667,-0.0952381
1,111,0.0666667,-0.047619
1,112,0.0666667,0
1,113,0.0666667,0.047619
1,114,0.0666667,0.0952381
1,115,0.0666667,0.142857
1,116,0.0666667,0.190476
1,117,0.0666667,0.238095
1,118,0.0666667,0.285714
1,119,0.0666667,0.333333
1,120,0.0761905,-0.333333
1,121,0.0761905,-0.285714
1,122,0.0761905,-0.238095
1,123,0.0761905,-0.190476
1,124,0.0761905,-0.142857
1,125,0.0761905,-0.0952381
1,126,0.0761905,-0.047619
1,127,0.0761905,0
1,128,0.0761905,0.047619
1,129,0.0761905,0.0952381
1,130,0.0761905,0.142857
1,131,0.0761905,0.190476
1,132,0.0761905,0.238095
1,133,0.0761905,0.285714
1,134,0.0761905,0.333333
1,135,0.0857143,-0.333333
1,136,0.0857143,-0.285714
1,137,0.0857143,-0.238095
1,138,0.0857143,-0.190476
1,139,0.0857143,-0.142857
1,140,0.0857143,-0.0952381
1,141,0.0857143,-0.047619
1,142,0.0857143,0
1,143,0.0857143,0.047619
1,144,0.0857143,0.0952381
1,145,0.0857143,0.142857
1,146,0.0857143,0.190476
1,147,0.0857143,0.238095
1,148,0.0857143,0.285714
1,149,0.0857143,0.333333
1,150,0.0952381,-0.333333
1,151,0.0952381,-0.285714
1,152,0.0952381,-0.238095
1,153,0.0952381,-0.190476
1,154,0.0952381,-0.142857
1,155,0.0952381,-0.0952381
1,156,0.0952381,-0.047619
1,157,0.0952381,0
1,158,0.0952381,0.047619
1,159,0.0952381,0.0952381
1,160,0.0952381,0.142857
1,161,0.0952381,0.190476
1,162,0.0952381,0.238095
1,163,0.0952381,0.285714
1,164,0.0952381,0.333333
1,165,0.104762,-0.333333
1,166,0.104762,-0.285714
1,167,0.104762,-0.238095
