t_idx,best_total_cost
0,0
1,0
2,0
3,0
4,0
5,0.020102
6,0.0201338
7,0.0201252
8,0.0201252
9,0.0201252
10,0.0201191
11,0
12,0.0157018
13,0.00444894
14,0.223636
15,0.11112
16,0.0976342
17,0.233899
18,0.141972
19,0.105301
20,0.246873
21,0.311622
22,0.222451
23,0.206043
24,0.0430471
25,0.0391135
26,0.268629
27,0.107577
28,0.296053
29,0.200171
30,0.314995
31,0.172281
32,0.11637
33,0
34,0
35,0.178246
36,0.164917
37,0.195013
38,0.0485423
39,0.00258432
40,0
41,0.00764154
42,0.0108611
43,0
44,0
45,0.0383871
46,0.168574
47,0
48,0.00546783
49,0.0743945
50,0.0229023
51,5.07232e-05
52,0.0340092
53,0.023336
54,0.00477276
55,0.117909
56,0.0659461
57,0.174216
58,0.0147696
59,0.0133821
60,0.0433805
61,0.163377
62,0.0856927
63,0.148183
64,0.0481332
65,0.154565
66,0.155727
67,0.0856048
68,0.125853
69,0.125853
70,0.125853
71,0.125853
72,0.125853
73,0.125853
74,0.125853
75,0.125853
76,0.125853
77,0.125853
78,0.125853
79,0.125853
80,0.125853
81,0.125853
82,0.125853
83,0.125853
84,0.125853
85,0.125853
86,0.125853
87,0.125853
88,0.125853
89,0.125853
90,0.125853
91,0.125853
92,0.125853
93,0.125853
94,0.125853
95,0.125853
96,0.125853
97,0.125853
98,0.125853
99,0.125853
100,0.125853
101,0.125853
102,0.125853
103,0.125853
104,0.125853
105,0.125853
106,0.125853
107,0.125853
108,0.125853
109,0.125853
110,0.125853
111,0.125853
112,0.125853
113,0.125853
114,0.125853
115,0.125853
116,0.125853
117,0.125853
118,0.125853
119,0.125853
120,0.125853
121,0.125853
122,0.125853
123,0.125853
124,0.125853
125,0.125853
126,0.125853
127,0.125853
128,0.125853
129,0.125853
130,0.125853
131,0.125853
132,0.125853
133,0.125853
134,0.125853
135,0.125853
136,0.125853
137,0.125853
138,0.125853
139,0.125853
140,0.125853
141,0.125853
142,0.125853
143,0.125853
144,0.125853
145,0.125853
146,0.125853
147,0.125853
148,0.125853
149,0.125853
150,0.125853
151,0.125853
152,0.125853
153,0.125853
154,0.125853
155,0.125853
156,0.125853
157,0.125853
158,0.125853
159,0.125853
160,0.125853
161,0.125853
162,0.125853
163,0.125853
164,0.125853
165,0.125853
166,0.125853
167,0.125853
168,0.125853
169,0.125853
170,0.125853
171,0.125853
172,0.125853
173,0.125853
174,0.125853
175,0.125853
176,0.125853
177,0.125853
178,0.125853
179,0.125853
180,0.125853
181,0.125853
182,0.125853
183,0.125853
184,0.125853
185,0.125853
186,0.125853
187,0.125853
188,0.125853
189,0.125853
190,0.125853
191,0.125853
192,0.125853
193,0.125853
194,0.125853
195,0.125853
196,0.125853
197,0.125853
198,0.125853
199,0.125853
200,0.125853
201,0.125853
202,0.125853
203,0.125853
204,0.125853
205,0.125853
206,0.125853
207,0.125853
208,0.125853
209,0.125853
210,0.125853
211,0.125853
212,0.125853
213,0.125853
214,0.125853
215,0.125853
216,0.125853
217,0.125853
218,0.125853
219,0.125853
220,0.125853
221,0.125853
222,0.125853
223,0.125853
