t_idx,cost_0,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10,cost_11,cost_12,cost_13,cost_14,cost_15,cost_16,cost_17,cost_18,cost_19,cost_20,cost_21,cost_22,cost_23,cost_24,cost_25,cost_26,cost_27,cost_28,cost_29,cost_30,cost_31,cost_32,cost_33,cost_34,cost_35,cost_36,cost_37,cost_38,cost_39,cost_40,cost_41,cost_42,cost_43,cost_44,cost_45,cost_46,cost_47,cost_48,cost_49,cost_50,cost_51,cost_52,cost_53,cost_54,cost_55,cost_56,cost_57,cost_58,cost_59,cost_60,cost_61,cost_62,cost_63,cost_64,cost_65,cost_66,cost_67,cost_68,cost_69,cost_70,cost_71,cost_72,cost_73,cost_74,cost_75,cost_76,cost_77,cost_78,cost_79,cost_80,cost_81,cost_82,cost_83,cost_84,cost_85,cost_86,cost_87,cost_88,cost_89,cost_90,cost_91,cost_92,cost_93,cost_94,cost_95,cost_96,cost_97,cost_98,cost_99,cost_100,cost_101,cost_102,cost_103,cost_104,cost_105,cost_106,cost_107,cost_108,cost_109,cost_110,cost_111,cost_112,cost_113,cost_114,cost_115,cost_116,cost_117,cost_118,cost_119,cost_120,cost_121,cost_122,cost_123,cost_124,cost_125,cost_126,cost_127,cost_128,cost_129,cost_130,cost_131,cost_132,cost_133,cost_134,cost_135,cost_136,cost_137,cost_138,cost_139,cost_140,cost_141,cost_142,cost_143,cost_144,cost_145,cost_146,cost_147,cost_148,cost_149,cost_150,cost_151,cost_152,cost_153,cost_154,cost_155,cost_156,cost_157,cost_158,cost_159,cost_160,cost_161,cost_162,cost_163,cost_164,cost_165,cost_166,cost_167,cost_168,cost_169,cost_170,cost_171,cost_172,cost_173,cost_174,cost_175,cost_176,cost_177,cost_178,cost_179,cost_180,cost_181,cost_182,cost_183,cost_184,cost_185,cost_186,cost_187,cost_188,cost_189,cost_190,cost_191,cost_192,cost_193,cost_194,cost_195,cost_196,cost_197,cost_198,cost_199,cost_200,cost_201,cost_202,cost_203,cost_204,cost_205,cost_206,cost_207,cost_208,cost_209,cost_210,cost_211,cost_212,cost_213,cost_214,cost_215,cost_216,cost_217,cost_218,cost_219,cost_220,cost_221,cost_222,cost_223,cost_224
0,2.68138,2.59184,2.41312,2.15088,1.81637,1.42571,0.998689,0.577806,1.01916,1.44612,1.83666,2.17101,2.43307,2.6116,2.70094,2.64507,2.552,2.37032,2.10595,1.77037,1.37989,0.954469,0.536534,0.96192,1.38622,1.77612,2.11127,2.37529,2.55662,2.64941,2.6091,2.51248,2.32781,2.06124,1.7245,1.33413,0.910268,0.495262,0.916639,1.3397,1.72963,2.06604,2.33228,2.51669,2.61304,2.57349,2.4733,2.2856,2.01677,1.67879,1.28846,0.866087,0.453991,0.871981,1.29367,1.68363,2.02132,2.28987,2.47728,2.57721,2.53823,2.43447,2.24368,1.97253,1.63324,1.24286,0.821928,0.412719,0.827517,1.24787,1.63792,1.97692,2.24779,2.43835,2.54188,2.50333,2.39598,2.20208,1.92853,1.58785,1.19734,0.777792,0.371447,0.783183,1.20219,1.59241,1.93279,2.20612,2.39979,2.50691,2.48593,2.35785,2.16079,1.88479,1.54263,1.15191,0.73368,0.330175,0.738899,1.15667,1.54706,1.889,2.16478,2.36159,2.48731,2.51731,2.32829,2.11984,1.84131,1.49759,1.10658,0.689592,0.288903,0.694703,1.11124,1.50195,1.84547,2.12376,2.3309,2.5165,2.58981,2.34662,2.08665,1.79811,1.45274,1.06134,0.645532,0.247631,0.650533,1.06591,1.45705,1.80221,2.08945,2.34638,2.58689,2.69846,2.40884,2.10083,1.76883,1.40808,1.0162,0.6015,0.206359,0.606391,1.02069,1.41235,1.77076,2.1004,2.40646,2.69444,2.83576,2.50641,2.15571,1.7823,1.38955,0.97884,0.55942,0.165087,0.563032,0.981141,1.39061,1.78209,2.15316,2.50259,2.82966,2.99733,2.63256,2.24217,1.83076,1.40343,0.966815,0.530225,0.123816,0.530776,0.966102,1.40202,1.8278,2.2375,2.62667,2.99023,3.17808,2.78021,2.35345,1.90462,1.44181,0.973944,0.511583,0.0825437,0.509669,0.971001,1.4381,1.90022,2.34778,2.77333,3.16998,3.37638,2.94746,2.48533,1.99894,1.49798,0.994764,0.500343,0.0412719,0.496388,0.98978,1.49281,1.99248,2.47764,2.93855,3.36658,3.58904,3.12999,2.63249,2.10723,1.56812,1.02552,0.494485,0,0.488847,1.01944,1.56091,2.09979,2.62384,3.12012,3.57793
1,2.68138,2.59184,2.41312,2.15088,1.81637,1.42571,0.998689,0.577806,1.01916,1.44612,1.83666,2.17101,2.43307,2.6116,2.70094,2.64507,2.552,2.37032,2.10595,1.77037,1.37989,0.954469,0.536534,0.96192,1.38622,1.77612,2.11127,2.37529,2.55662,2.64941,2.6091,2.51248,2.32781,2.06124,1.7245,1.33413,0.910268,0.495262,0.916639,1.3397,1.72963,2.06604,2.33228,2.51669,2.61304,2.57349,2.4733,2.2856,2.01677,1.67879,1.28846,0.866087,0.453991,0.871981,1.29367,1.68363,2.02132,2.28987,2.47728,2.57721,2.53823,2.43447,2.24368,1.97253,1.63324,1.24286,0.821928,0.412719,0.827517,1.24787,1.63792,1.97692,2.24779,2.43835,2.54188,2.50333,2.39598,2.20208,1.92853,1.58785,1.19734,0.777792,0.371447,0.783183,1.20219,1.59241,1.93279,2.20612,2.39979,2.50691,2.48593,2.35785,2.16079,1.88479,1.54263,1.15191,0.73368,0.330175,0.738899,1.15667,1.54706,1.889,2.16478,2.36159,2.48731,2.51731,2.32829,2.11984,1.84131,1.49759,1.10658,0.689592,0.288903,0.694703,1.11124,1.50195,1.84547,2.12376,2.3309,2.5165,2.58981,2.34662,2.08665,1.79811,1.45274,1.06134,0.645532,0.247631,0.650533,1.06591,1.45705,1.80221,2.08945,2.34638,2.58689,2.69846,2.40884,2.10083,1.76883,1.40808,1.0162,0.6015,0.206359,0.606391,1.02069,1.41235,1.77076,2.1004,2.40646,2.69444,2.83576,2.50641,2.15571,1.7823,1.38955,0.97884,0.55942,0.165087,0.563032,0.981141,1.39061,1.78209,2.15316,2.50259,2.82966,2.99733,2.63256,2.24217,1.83076,1.40343,0.966815,0.530225,0.123816,0.530776,0.966102,1.40202,1.8278,2.2375,2.62667,2.99023,3.17808,2.78021,2.35345,1.90462,1.44181,0.973944,0.511583,0.0825437,0.509669,0.971001,1.4381,1.90022,2.34778,2.77333,3.16998,3.37638,2.94746,2.48533,1.99894,1.49798,0.994764,0.500343,0.0412719,0.496388,0.98978,1.49281,1.99248,2.47764,2.93855,3.36658,3.58904,3.12999,2.63249,2.10723,1.56812,1.02552,0.494485,0,0.488847,1.01944,1.56091,2.09979,2.62384,3.12012,3.57793
2,2.68138,2.59184,2.41312,2.15088,1.81637,1.42571,0.998689,0.577806,1.01916,1.44612,1.83666,2.17101,2.43307,2.6116,2.70094,2.64507,2.552,2.37032,2.10595,1.77037,1.37989,0.954469,0.536534,0.96192,1.38622,1.77612,2.11127,2.37529,2.55662,2.64941,2.6091,2.51248,2.32781,2.06124,1.7245,1.33413,0.910268,0.495262,0.916639,1.3397,1.72963,2.06604,2.33228,2.51669,2.61304,2.57349,2.4733,2.2856,2.01677,1.67879,1.28846,0.866087,0.453991,0.871981,1.29367,1.68363,2.02132,2.28987,2.47728,2.57721,2.53823,2.43447,2.24368,1.97253,1.63324,1.24286,0.821928,0.412719,0.827517,1.24787,1.63792,1.97692,2.24779,2.43835,2.54188,2.50333,2.39598,2.20208,1.92853,1.58785,1.19734,0.777792,0.371447,0.783183,1.20219,1.59241,1.93279,2.20612,2.39979,2.50691,2.48593,2.35785,2.16079,1.88479,1.54263,1.15191,0.73368,0.330175,0.738899,1.15667,1.54706,1.889,2.16478,2.36159,2.48731,2.51731,2.32829,2.11984,1.84131,1.49759,1.10658,0.689592,0.288903,0.694703,1.11124,1.50195,1.84547,2.12376,2.3309,2.5165,2.58981,2.34662,2.08665,1.79811,1.45274,1.06134,0.645532,0.247631,0.650533,1.06591,1.45705,1.80221,2.08945,2.34638,2.58689,2.69846,2.40884,2.10083,1.76883,1.40808,1.0162,0.6015,0.206359,0.606391,1.02069,1.41235,1.77076,2.1004,2.40646,2.69444,2.83576,2.50641,2.15571,1.7823,1.38955,0.97884,0.55942,0.165087,0.563032,0.981141,1.39061,1.78209,2.15316,2.50259,2.82966,2.99733,2.63256,2.24217,1.83076,1.40343,0.966815,0.530225,0.123816,0.530776,0.966102,1.40202,1.8278,2.2375,2.62667,2.99023,3.17808,2.78021,2.35345,1.90462,1.44181,0.973944,0.511583,0.0825437,0.509669,0.971001,1.4381,1.90022,2.34778,2.77333,3.16998,3.37638,2.94746,2.48533,1.99894,1.49798,0.994764,0.500343,0.0412719,0.496388,0.98978,1.49281,1.99248,2.47764,2.93855,3.36658,3.58904,3.12999,2.63249,2.10723,1.56812,1.02552,0.494485,0,0.488847,1.01944,1.56091,2.09979,2.62384,3.12012,3.57793
3,2.68138,2.59184,2.41312,2.15088,1.81637,1.42571,0.998689,0.577806,1.01916,1.44612,1.83666,2.17101,2.43307,2.6116,2.70094,2.64507,2.552,2.37032,2.10595,1.77037,1.37989,0.954469,0.536534,0.96192,1.38622,1.77612,2.11127,2.37529,2.55662,2.64941,2.6091,2.51248,2.32781,2.06124,1.7245,1.33413,0.910268,0.495262,0.916639,1.3397,1.72963,2.06604,2.33228,2.51669,2.61304,2.57349,2.4733,2.2856,2.01677,1.67879,1.28846,0.866087,0.453991,0.871981,1.29367,1.68363,2.02132,2.28987,2.47728,2.57721,2.53823,2.43447,2.24368,1.97253,1.63324,1.24286,0.821928,0.412719,0.827517,1.24787,1.63792,1.97692,2.24779,2.43835,2.54188,2.50333,2.39598,2.20208,1.92853,1.58785,1.19734,0.777792,0.371447,0.783183,1.20219,1.59241,1.93279,2.20612,2.39979,2.50691,2.48593,2.35785,2.16079,1.88479,1.54263,1.15191,0.73368,0.330175,0.738899,1.15667,1.54706,1.889,2.16478,2.36159,2.48731,2.51731,2.32829,2.11984,1.84131,1.49759,1.10658,0.689592,0.288903,0.694703,1.11124,1.50195,1.84547,2.12376,2.3309,2.5165,2.58981,2.34662,2.08665,1.79811,1.45274,1.06134,0.645532,0.247631,0.650533,1.06591,1.45705,1.80221,2.08945,2.34638,2.58689,2.69846,2.40884,2.10083,1.76883,1.40808,1.0162,0.6015,0.206359,0.606391,1.02069,1.41235,1.77076,2.1004,2.40646,2.69444,2.83576,2.50641,2.15571,1.7823,1.38955,0.97884,0.55942,0.165087,0.563032,0.981141,1.39061,1.78209,2.15316,2.50259,2.82966,2.99733,2.63256,2.24217,1.83076,1.40343,0.966815,0.530225,0.123816,0.530776,0.966102,1.40202,1.8278,2.2375,2.62667,2.99023,3.17808,2.78021,2.35345,1.90462,1.44181,0.973944,0.511583,0.0825437,0.509669,0.971001,1.4381,1.90022,2.34778,2.77333,3.16998,3.37638,2.94746,2.48533,1.99894,1.49798,0.994764,0.500343,0.0412719,0.496388,0.98978,1.49281,1.99248,2.47764,2.93855,3.36658,3.58904,3.12999,2.63249,2.10723,1.56812,1.02552,0.494485,0,0.488847,1.01944,1.56091,2.09979,2.62384,3.12012,3.57793
4,2.68138,2.59184,2.41312,2.15088,1.81637,1.42571,0.998689,0.577806,1.01916,1.44612,1.83666,2.17101,2.43307,2.6116,2.70094,2.64507,2.552,2.37032,2.10595,1.77037,1.37989,0.954469,0.536534,0.96192,1.38622,1.77612,2.11127,2.37529,2.55662,2.64941,2.6091,2.51248,2.32781,2.06124,1.7245,1.33413,0.910268,0.495262,0.916639,1.3397,1.72963,2.06604,2.33228,2.51669,2.61304,2.57349,2.4733,2.2856,2.01677,1.67879,1.28846,0.866087,0.453991,0.871981,1.29367,1.68363,2.02132,2.28987,2.47728,2.57721,2.53823,2.43447,2.24368,1.97253,1.63324,1.24286,0.821928,0.412719,0.827517,1.24787,1.63792,1.97692,2.24779,2.43835,2.54188,2.50333,2.39598,2.20208,1.92853,1.58785,1.19734,0.777792,0.371447,0.783183,1.20219,1.59241,1.93279,2.20612,2.39979,2.50691,2.48593,2.35785,2.16079,1.88479,1.54263,1.15191,0.73368,0.330175,0.738899,1.15667,1.54706,1.889,2.16478,2.36159,2.48731,2.51731,2.32829,2.11984,1.84131,1.49759,1.10658,0.689592,0.288903,0.694703,1.11124,1.50195,1.84547,2.12376,2.3309,2.5165,2.58981,2.34662,2.08665,1.79811,1.45274,1.06134,0.645532,0.247631,0.650533,1.06591,1.45705,1.80221,2.08945,2.34638,2.58689,2.69846,2.40884,2.10083,1.76883,1.40808,1.0162,0.6015,0.206359,0.606391,1.02069,1.41235,1.77076,2.1004,2.40646,2.69444,2.83576,2.50641,2.15571,1.7823,1.38955,0.97884,0.55942,0.165087,0.563032,0.981141,1.39061,1.78209,2.15316,2.50259,2.82966,2.99733,2.63256,2.24217,1.83076,1.40343,0.966815,0.530225,0.123816,0.530776,0.966102,1.40202,1.8278,2.2375,2.62667,2.99023,3.17808,2.78021,2.35345,1.90462,1.44181,0.973944,0.511583,0.0825437,0.509669,0.971001,1.4381,1.90022,2.34778,2.77333,3.16998,3.37638,2.94746,2.48533,1.99894,1.49798,0.994764,0.500343,0.0412719,0.496388,0.98978,1.49281,1.99248,2.47764,2.93855,3.36658,3.58904,3.12999,2.63249,2.10723,1.56812,1.02552,0.494485,0,0.488847,1.01944,1.56091,2.09979,2.62384,3.12012,3.57793
5,2.72366,2.63468,2.45658,2.195,1.86117,1.47115,1.0447,0.603801,0.904978,1.32897,1.71826,2.05271,2.31499,2.49386,2.58361,2.59347,2.50314,2.32489,2.06497,1.7356,1.3549,0.950515,0.562109,0.86056,1.2827,1.67159,2.00692,2.27116,2.45283,2.546,2.54816,2.45371,2.27191,2.00891,1.67703,1.29401,0.885453,0.520416,0.816162,1.23651,1.62507,1.96136,2.22762,2.41213,2.50873,2.50761,2.40958,2.22437,1.95887,1.62526,1.24141,0.831903,0.478723,0.771784,1.19039,1.5787,1.91602,2.18436,2.37176,2.47181,2.46883,2.36724,2.17886,1.91098,1.5758,1.19144,0.782026,0.43703,0.727428,1.14436,1.53249,1.87092,2.14141,2.33174,2.43525,2.43128,2.32589,2.13458,1.86407,1.52746,1.14279,0.733939,0.395337,0.683094,1.0984,1.48644,1.82607,2.09877,2.29207,2.39905,2.40389,2.28542,2.09089,1.81813,1.48,1.09486,0.686791,0.353645,0.638785,1.05254,1.44057,1.78147,2.05645,2.25275,2.38728,2.42409,2.24898,2.0479,1.77248,1.43293,1.0475,0.640305,0.311952,0.594502,1.00677,1.39488,1.73714,2.01447,2.2274,2.42423,2.48735,2.25573,2.00814,1.7276,1.38638,1.00053,0.594239,0.270259,0.550245,0.961094,1.34937,1.69308,1.98642,2.25297,2.50223,2.58589,2.30707,2.00908,1.68868,1.34003,0.953853,0.548433,0.228566,0.50608,0.915523,1.30686,1.67032,2.00719,2.3208,2.61364,2.71345,2.39444,2.05249,1.69033,1.30771,0.908377,0.503006,0.186873,0.473414,0.887011,1.2972,1.69266,2.06783,2.42255,2.75556,2.86749,2.50974,2.12958,1.7277,1.30978,0.883122,0.460713,0.14518,0.45365,0.883733,1.31875,1.74716,2.15997,2.55211,2.91901,3.04206,2.65121,2.23236,1.79193,1.33771,0.879209,0.430388,0.103488,0.44277,0.897876,1.36321,1.8265,2.27599,2.70421,3.10417,3.23347,2.81063,2.35542,1.87683,1.38434,0.890356,0.409307,0.0617948,0.438056,0.924666,1.42488,1.92417,2.41088,2.87441,3.30521,3.43948,2.98554,2.49492,1.97863,1.44674,0.913408,0.395026,0.020102,0.437813,0.960581,1.49884,2.03744,2.56068,3.05887,3.51966
6,2.7237,2.63471,2.45661,2.19503,1.8612,1.47118,1.04473,0.603833,0.904721,1.3287,1.71798,2.05243,2.31472,2.49358,2.58334,2.59332,2.503,2.32477,2.06485,1.7355,1.35484,0.950515,0.56214,0.860303,1.28243,1.67131,2.00664,2.27088,2.45255,2.54572,2.54799,2.45354,2.27174,2.00875,1.67689,1.29389,0.885381,0.520448,0.815904,1.23624,1.62479,1.96108,2.22734,2.41185,2.50845,2.50742,2.4094,2.2242,1.95869,1.62511,1.24127,0.831806,0.478755,0.771526,1.19012,1.57842,1.91574,2.18408,2.37148,2.47153,2.46863,2.36705,2.17868,1.9108,1.57563,1.19129,0.781905,0.437062,0.727169,1.14409,1.53221,1.87064,2.14113,2.33145,2.43496,2.43108,2.32569,2.13438,1.86388,1.52728,1.14263,0.73381,0.395369,0.682836,1.09813,1.48616,1.82578,2.09849,2.29178,2.39876,2.40368,2.28521,2.09068,1.81794,1.47982,1.09468,0.686653,0.353676,0.638526,1.05227,1.44029,1.78118,2.05617,2.25246,2.38701,2.42384,2.24876,2.0477,1.77228,1.43274,1.04732,0.640159,0.311983,0.594242,1.0065,1.39459,1.73685,2.01418,2.22713,2.42397,2.48708,2.25549,2.00793,1.72739,1.38619,1.00034,0.594084,0.270291,0.549985,0.960821,1.34909,1.69279,1.98614,2.25272,2.50199,2.5856,2.30681,2.00884,1.68847,1.33984,0.953671,0.548278,0.228598,0.505829,0.915249,1.30658,1.67006,2.00693,2.32056,2.61342,2.71314,2.39415,2.05223,1.69008,1.30749,0.908176,0.502843,0.186905,0.47319,0.886765,1.29695,1.69241,2.06759,2.42233,2.75534,2.86716,2.50944,2.12929,1.72743,1.30953,0.882902,0.460531,0.145212,0.453454,0.883514,1.31852,1.74694,2.15975,2.55189,2.9188,3.04172,2.65089,2.23205,1.79164,1.33744,0.87896,0.430179,0.103519,0.442592,0.897675,1.363,1.82629,2.27579,2.70401,3.10398,3.23312,2.81029,2.3551,1.87653,1.38406,0.890088,0.409078,0.0618266,0.4379,0.924482,1.42469,1.92398,2.41068,2.87422,3.30503,3.43912,2.98519,2.49458,1.97831,1.44643,0.913122,0.394778,0.0201338,0.437681,0.960415,1.49866,2.03726,2.5605,3.05868,3.51949
7,2.7237,2.63471,2.45661,2.19504,1.86121,1.47119,1.04474,0.603844,0.904718,1.32869,1.71798,2.05243,2.31471,2.49358,2.58334,2.59332,2.503,2.32477,2.06486,1.73551,1.35484,0.950523,0.56215,0.8603,1.28243,1.67131,2.00664,2.27088,2.45255,2.54572,2.54799,2.45354,2.27175,2.00876,1.6769,1.2939,0.885389,0.520456,0.815902,1.23624,1.62479,1.96107,2.22733,2.41184,2.50845,2.50742,2.4094,2.2242,1.9587,1.62511,1.24128,0.831814,0.478761,0.771524,1.19012,1.57842,1.91574,2.18408,2.37148,2.47153,2.46864,2.36706,2.17868,1.9108,1.57563,1.19129,0.781913,0.437067,0.727167,1.14408,1.53221,1.87064,2.14113,2.33145,2.43496,2.43108,2.32569,2.13439,1.86389,1.52729,1.14263,0.733818,0.395373,0.682834,1.09813,1.48616,1.82578,2.09849,2.29178,2.39876,2.40368,2.28522,2.09069,1.81794,1.47982,1.09469,0.686661,0.353679,0.638525,1.05227,1.44028,1.78118,2.05617,2.25246,2.38701,2.42385,2.24876,2.0477,1.77228,1.43275,1.04733,0.640167,0.311985,0.594241,1.00649,1.39459,1.73685,2.01418,2.22713,2.42397,2.48709,2.2555,2.00793,1.7274,1.3862,1.00035,0.594093,0.27029,0.549985,0.96082,1.34909,1.69279,1.98614,2.25272,2.50199,2.58561,2.30682,2.00885,1.68848,1.33985,0.953679,0.548287,0.228596,0.505828,0.915249,1.30658,1.67006,2.00693,2.32056,2.61342,2.71315,2.39416,2.05224,1.69009,1.3075,0.908185,0.502851,0.186902,0.473188,0.886764,1.29695,1.69241,2.06759,2.42233,2.75534,2.86717,2.50945,2.1293,1.72744,1.30954,0.882912,0.46054,0.145208,0.453451,0.883511,1.31851,1.74694,2.15975,2.55189,2.9188,3.04173,2.6509,2.23207,1.79165,1.33745,0.878972,0.430189,0.103514,0.442588,0.897671,1.36299,1.82629,2.27578,2.70401,3.10398,3.23314,2.81031,2.35511,1.87654,1.38407,0.890101,0.40909,0.0618194,0.437895,0.924477,1.42468,1.92397,2.41068,2.87422,3.30503,3.43913,2.98521,2.49459,1.97833,1.44644,0.913137,0.394792,0.0201252,0.437674,0.960409,1.49866,2.03725,2.5605,3.05868,3.51948
8,2.7237,2.63471,2.45661,2.19504,1.86121,1.47119,1.04474,0.603844,0.904718,1.32869,1.71797,2.05242,2.31471,2.49357,2.58333,2.59332,2.503,2.32477,2.06486,1.73551,1.35484,0.950523,0.56215,0.8603,1.28243,1.67131,2.00664,2.27088,2.45255,2.54572,2.54799,2.45354,2.27175,2.00876,1.6769,1.2939,0.885389,0.520456,0.815901,1.23624,1.62479,1.96107,2.22733,2.41184,2.50845,2.50742,2.4094,2.2242,1.9587,1.62511,1.24128,0.831814,0.478761,0.771523,1.19012,1.57842,1.91574,2.18408,2.37148,2.47153,2.46864,2.36706,2.17868,1.9108,1.57563,1.19129,0.781913,0.437067,0.727167,1.14408,1.53221,1.87064,2.14113,2.33145,2.43496,2.43108,2.32569,2.13439,1.86389,1.52729,1.14263,0.733818,0.395373,0.682834,1.09813,1.48616,1.82578,2.09849,2.29178,2.39876,2.40368,2.28522,2.09069,1.81794,1.47982,1.09469,0.686661,0.353679,0.638524,1.05227,1.44028,1.78118,2.05617,2.25246,2.38701,2.42385,2.24876,2.0477,1.77228,1.43275,1.04733,0.640167,0.311985,0.594241,1.00649,1.39459,1.73685,2.01418,2.22713,2.42397,2.48709,2.2555,2.00793,1.7274,1.3862,1.00035,0.594093,0.27029,0.549984,0.96082,1.34908,1.69279,1.98614,2.25272,2.50199,2.58561,2.30682,2.00885,1.68848,1.33985,0.953679,0.548286,0.228596,0.505828,0.915249,1.30658,1.67006,2.00693,2.32056,2.61342,2.71315,2.39416,2.05224,1.69009,1.3075,0.908185,0.502851,0.186902,0.473188,0.886763,1.29695,1.69241,2.06759,2.42233,2.75534,2.86717,2.50945,2.1293,1.72744,1.30954,0.882912,0.46054,0.145208,0.45345,0.883511,1.31851,1.74694,2.15975,2.55189,2.9188,3.04173,2.6509,2.23207,1.79165,1.33745,0.878972,0.430189,0.103514,0.442587,0.897671,1.36299,1.82629,2.27578,2.70401,3.10398,3.23314,2.81031,2.35511,1.87654,1.38407,0.890101,0.40909,0.0618194,0.437894,0.924477,1.42468,1.92397,2.41068,2.87422,3.30502,3.43913,2.98521,2.49459,1.97833,1.44644,0.913136,0.394791,0.0201252,0.437673,0.960409,1.49866,2.03725,2.5605,3.05868,3.51948
9,2.7237,2.63471,2.45661,2.19504,1.86121,1.47119,1.04474,0.603844,0.904718,1.32869,1.71797,2.05242,2.31471,2.49357,2.58333,2.59332,2.503,2.32477,2.06486,1.73551,1.35484,0.950523,0.56215,0.8603,1.28243,1.67131,2.00664,2.27088,2.45255,2.54572,2.54799,2.45354,2.27175,2.00876,1.6769,1.2939,0.885389,0.520456,0.815901,1.23624,1.62479,1.96107,2.22733,2.41184,2.50845,2.50742,2.4094,2.2242,1.9587,1.62511,1.24128,0.831814,0.478761,0.771523,1.19012,1.57842,1.91574,2.18408,2.37148,2.47153,2.46864,2.36706,2.17868,1.9108,1.57563,1.19129,0.781913,0.437067,0.727167,1.14408,1.53221,1.87064,2.14113,2.33145,2.43496,2.43108,2.32569,2.13439,1.86389,1.52729,1.14263,0.733818,0.395373,0.682834,1.09813,1.48616,1.82578,2.09849,2.29178,2.39876,2.40368,2.28522,2.09069,1.81794,1.47982,1.09469,0.686661,0.353679,0.638524,1.05227,1.44028,1.78118,2.05617,2.25246,2.38701,2.42385,2.24876,2.0477,1.77228,1.43275,1.04733,0.640167,0.311985,0.594241,1.00649,1.39459,1.73685,2.01418,2.22713,2.42397,2.48709,2.2555,2.00793,1.7274,1.3862,1.00035,0.594093,0.27029,0.549984,0.96082,1.34908,1.69279,1.98614,2.25272,2.50199,2.58561,2.30682,2.00885,1.68848,1.33985,0.953679,0.548286,0.228596,0.505828,0.915249,1.30658,1.67006,2.00693,2.32056,2.61342,2.71315,2.39416,2.05224,1.69009,1.3075,0.908185,0.502851,0.186902,0.473188,0.886763,1.29695,1.69241,2.06759,2.42233,2.75534,2.86717,2.50945,2.1293,1.72744,1.30954,0.882912,0.46054,0.145208,0.45345,0.883511,1.31851,1.74694,2.15975,2.55189,2.9188,3.04173,2.6509,2.23207,1.79165,1.33745,0.878972,0.430189,0.103514,0.442587,0.897671,1.36299,1.82629,2.27578,2.70401,3.10398,3.23314,2.81031,2.35511,1.87654,1.38407,0.890101,0.40909,0.0618194,0.437894,0.924477,1.42468,1.92397,2.41068,2.87422,3.30502,3.43913,2.98521,2.49459,1.97833,1.44644,0.913136,0.394791,0.0201252,0.437673,0.960409,1.49866,2.03725,2.5605,3.05868,3.51948
